Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
A&B Auto Detailing,,+1-510-424-6681,,,Alameda,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/ab.detailsz?igsh=NTc4MTIwNjQ2YQ==,,Car Detailers
SteamWorks Auto Detailing,,+1-510-621-7433,,"1801 Park St Suite A, Alameda, CA 94501, United States",Alameda,CA,P1 | Class A | only a Facebook/booking/directory page | https://calendly.com/steamworksinc,,Car Detailers
All 4 One Auto Detail,,+1-323-456-3527,,"1416 S 9th St, Alhambra, CA 91803, United States",Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://all-4-one-auto-detail.square.site/,,Car Detailers
Cabralsdetailing,,+1-626-457-1741,,,Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/cabralsdetailing?igsh=NTc4MTIwNjQ2YQ==,,Car Detailers
Johnny's Mobile Auto Wash and Detail,,+1-626-561-8532,,"9207 Valley Blvd, Rosemead, CA 91770, United States",Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | http://facebook.com/johnnysautomobilecarwashanddetail.com,,Car Detailers
Rich Detailzz,,+1-626-639-5587,,,Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/Richdetailzz,,Car Detailers
Shiny Cruize Mobile Detailing,,+1-318-479-0198,,,Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://shinycruizedetailing.square.site/,,Car Detailers
Vintage Green Professional Auto Detailing,,+1-323-274-9988,,"2700 N Eastern Ave, Los Angeles, CA 90032, United States",Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://m.facebook.com/profile.php?id=1043168932429725&ref=content_filter,,Car Detailers
Alturas Hand Car Wash & Auto Detailing,,+1-530-708-0539,,"100 E 12th St, Alturas, CA 96101, United States",Alturas,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/MODOCDETAILKING/,,Car Detailers
Detailing Lucas,,+1-714-926-7908,,,Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.tiktok.com/@detailing.lucas?_r=1&_t=ZP-93Pbi0RwyNz,,Car Detailers
GC Mobile Auto Detailing,,+1-714-860-5774,,"Rose, Anaheim, CA 92805, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/gcautodetail,,Car Detailers
JJ’s Auto Detail,,+1-657-262-0246,,,Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/JJsAutoDetail92/services,,Car Detailers
Js auto detailing O.C. Co,,+1-714-356-8993,,"2614 Alona St, Santa Ana, CA 92706, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/jsauto_detailingoc/,,Car Detailers
"Mikes Mobile Detailing AUTO,RVs, Boats, Motorcycles",,+1-714-728-4447,,"1455 W Roberta Ave, Fullerton, CA 92833, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/mikes.mobile.detailing?igshid=pin9i66tgm3f,,Car Detailers
OC Shine Mobile Detailing,,+1-714-342-1342,,"128 N Woodridge Cir, Orange, CA 92868, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://premium-mobile-detailingoc.square.site/,,Car Detailers
Paint Doctor Auto Detailing,,+1-714-609-1330,,,Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://thepaintdocs.square.site/,,Car Detailers
Refresh Mobile Auto Spa,,+1-951-479-6687,,"1235 W Town and Country Rd, Orange, CA 92868, United States",Anaheim,CA,P1 | Class A | only a Facebook/booking/directory page | https://refresh-mobile-auto-spa.square.site/,,Car Detailers
Focus On The Details,,+1-209-559-0574,,"Vallecito, CA 95251, United States",Angels Camp,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/focusonthedetails,,Car Detailers
Frank's Auto Detailing,,+1-209-840-2896,,"3268 Yana Ct, Copperopolis, CA 95228, United States",Angels Camp,CA,P1 | Class A | only a Facebook/booking/directory page | https://franks-auto-detailing.square.site/,,Car Detailers
AM2 Auto Detailing (WE COME TO YOU),,+1-925-393-8884,,"2400 Shady Willow Ln, Brentwood, CA 94513, United States",Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/am2autodetailing,,Car Detailers
Classy Mobile Detailing,,+1-925-390-2369,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/ClassyMobile_Detailing,,Car Detailers
Detailing_Dude_,,+1-408-643-3095,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/detailing_dude_,,Car Detailers
Sal’s Mobile Car Detailing & Mobile Car Wash,,+1-925-726-7410,,"3 Seaview Dr, Bay Point, CA 94565, United States",Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/gk406uzu36g52v/location/LN69AR52Y203W/services?fbclid=PAQ0xDSwMA2A5leHRuA2FlbQIxMAABpzu6lF9U9Yvu-VDcNfZcsA13_rAKyU8uCSjg9lQMW1lB6W-_oiRUFcPDXxAL_aem_v6DPBni4HNfiPvWlgebhyw,,Car Detailers
Slick & Shine Auto Detailing,,+1-925-813-4967,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/slickandshine25,,Car Detailers
Spotless revive Mobile Wash & Detail,,+1-925-390-1350,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://spotless-revive-auto-wash-detail.square.site/,,Car Detailers
Fresh Look Detailing LLC,,+1-707-515-0743,,"1905 H St, Eureka, CA 95501, United States",Arcata,CA,P1 | Class A | only a Facebook/booking/directory page | http://freshlook707.square.site/,,Car Detailers
