Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
All 4 One Auto Detail,,+1-323-456-3527,,"1416 S 9th St, Alhambra, CA 91803, United States",Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://all-4-one-auto-detail.square.site/,,Car Detailers
Johnny's Mobile Auto Wash and Detail,,+1-626-561-8532,,"9207 Valley Blvd, Rosemead, CA 91770, United States",Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | http://facebook.com/johnnysautomobilecarwashanddetail.com,,Car Detailers
Shiny Cruize Mobile Detailing,,+1-318-479-0198,,,Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://shinycruizedetailing.square.site/,,Car Detailers
Vintage Green Professional Auto Detailing,,+1-323-274-9988,,"2700 N Eastern Ave, Los Angeles, CA 90032, United States",Alhambra,CA,P1 | Class A | only a Facebook/booking/directory page | https://m.facebook.com/profile.php?id=1043168932429725&ref=content_filter,,Car Detailers
Spidey's Auto Detailing,,+1-661-865-9067,,,Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/spideysauto?igshid=OGIzYTJhMTRmYQ==,,Car Detailers
Auto Detailing Gómez,,+1-626-426-5409,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/autodetailing_gomez?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Betr Details,,+1-626-848-3929,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://betterdetails.square.site/,,Car Detailers
Covina Mobile Detailers,,+1-626-206-7980,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://covinamobiledetailers.com/,,Car Detailers
Double A Pro Detailing,,+1-213-284-1985,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/doubleaprodetailing/,,Car Detailers
Hardbody Detailing - Ceramic Coatings / Headlight Restoration,,+1-626-269-4781,,"2436 S Nancy St, West Covina, CA 91792, United States",Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://hardbodydetailing.square.site/,,Car Detailers
Hot Rod’s Quick Wash,,+1-626-209-5620,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/adrianrod1700?utm_source=linktree_profile_share&ltsid=5fa801a2-d93f-4adf-a7b4-c731cd6ace15,,Car Detailers
Jworks Mobile Auto Detailing,,+1-626-541-6700,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://jworksdetailusa.square.site/,,Car Detailers
Molina’s Mobile Detailing,,+1-626-498-7545,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/fg973hjhr61rvd/location/LWE8DRAJ435TR/services,,Car Detailers
Premier Detail Club,,+1-626-709-8145,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/premierdetailing.ie?igsh=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,,Car Detailers
Rickydetailing,,+1-626-494-4828,,"1030 S Susanna Ave, West Covina, CA 91790, United States",Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/rickydetailing/,,Car Detailers
Ride & Shine Auto Detail Supplies,,+1-626-672-0722,,"2229 Durfee Ave Ste i, El Monte, CA 91732, United States",Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | http://instagram.com/rideandshine_detailsupplies,,Car Detailers
Socals Finest Auto Detailing,,+1-323-406-4573,,,Baldwin Park,CA,P1 | Class A | only a Facebook/booking/directory page | https://calendly.com/socalsfinestautodetailing/appt,,Car Detailers
562mntautodetailing,,+1-714-931-6480,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/562mntautodetailing,,Car Detailers
Deluge Detailing Los Angeles,,+1-323-513-4957,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/delugedetailinglosangeles,,Car Detailers
Finesse Auto Car Detailing Lakewood,,+1-562-548-1255,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://finesse-auto-detailing.square.site/,,Car Detailers
JxB Auto Detailing,,+1-562-283-4340,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/jxb_autodetailing?utm_medium=copy_link,,Car Detailers
Suds and Buds Detailing,,+1-562-445-1930,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://app.squareup.com/appointments/book/rb78h64pm0tesc/L2PM8XGJSR9XT/start,,Car Detailers
Top-Tier Auto Detailing OC,,+1-323-719-8621,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | http://toptierautodetailingoc.booksy.com/a/,,Car Detailers
Velas Mobile Detailing,,+1-562-732-7506,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/velas_mobiledetailing/,,Car Detailers
Genesis Mobile Detailing,,+1-818-743-6857,,,Burbank,CA,P1 | Class A | only a Facebook/booking/directory page | http://www.instagram.com/genesis_mobile_svc,,Car Detailers
JV Mobile Wash & Detailing,,+1-818-632-4214,,"11754 Roscoe Blvd, Sun Valley, CA 91352, United States",Burbank,CA,P1 | Class A | only a Facebook/booking/directory page | https://auto-detailing-service.square.site/,,Car Detailers
Los Angeles Immaculate Detailing | Ceramic Coating Specialist,,+1-626-206-1897,,"5225 Agnes Ave, Valley Village, CA 91607, United States",Burbank,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/la.immaculatedetailing?utm_medium=copy_link,,Car Detailers
Maine’s Auto Spa,,+1-747-244-9500,,"10505 Victory Blvd, North Hollywood, CA 91606, United States",Burbank,CA,P1 | Class A | only a Facebook/booking/directory page | http://mainesautospa.booksy.com/,,Car Detailers
Mario's Mobile Wash,,+1-818-791-2831,,,Burbank,CA,P1 | Class A | only a Facebook/booking/directory page | https://marios-mobile-wash.square.site/,,Car Detailers
San Fernando Valley Mobile Auto Detailing L.L.C,,+1-818-390-3425,,"15252 Nordhoff St, North Hills, CA 91343, United States",Burbank,CA,P1 | Class A | only a Facebook/booking/directory page | https://sanfernando-valley-mobile-auto-detailing.square.site/,,Car Detailers
A1 Auto Spa,,+1-424-202-7300,,"1548 W 208th St apartment #3, Torrance, CA 90501, United States",Carson,CA,P1 | Class A | only a Facebook/booking/directory page | https://l.instagram.com/?u=https%3A%2F%2Fa1-auto-spa-100524.square.site%2F&e=AT2HNJC9LAYRKr1g860w7glCS6cDfKLCNeyCiFPfze35LfQpvWlNxtZBSjfo4GsGcboUO302B-zaP4A_cFIyNh3kfYS4PqY1dwDzfM-hRoDVLQ4l,,Car Detailers
All Touch Detailing,,+1-310-693-1386,,"419 W 224th St, Carson, CA 90745, United States",Carson,CA,P1 | Class A | only a Facebook/booking/directory page | https://all-touch-detailing.square.site/,,Car Detailers
