Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
L & E Eco Mobile Detailing,,+1-562-357-3989,,,Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
Left Shining Auto Spa,,+1-562-786-7111,,,Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
Local Mobile Wash & Detail,,+1-805-794-8894,,,Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
PERFORMANCE DETAILING,,+1-562-618-2523,,"1430 E 28th St, Signal Hill, CA 90755, United States",Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
Pristine Detailing LA,,+1-562-306-9557,,,Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
Tito’s Auto Details,,+1-562-394-2043,,"1487 N Molino Ave, Long Beach, CA 90804, United States",Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
Torres Auto Detail,,+1-562-225-5246,,"1806 Gaviota Ave, Long Beach, CA 90806, United States",Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
Trujillo Mobile Detailing,,+1-562-471-1913,,,Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
VIP Auto Detailing,,+1-626-321-3322,,,Long Beach,CA,P2 | Class A | no website found on Google,,Car Detailers
Aztec Auto Detailing,,+1-310-557-2277,,"2029 Century Pk E p3, Los Angeles, CA 90067, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Detail Of One: Auto Shine,,+1-818-572-5589,,"3217 W 73rd St, Los Angeles, CA 90043, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
DiamondGloss Auto Spa,,+1-424-421-4210,,"535 S Curson Ave 4 L, Los Angeles, CA 90036, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Galaxy Detailing,,+1-818-730-4949,,"5501 Venice Blvd., Los Angeles, CA 90019, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
George's Auto Detailing,,+1-310-231-1933,,"11771 W Pico Blvd, Los Angeles, CA 90064, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
International Detail,,+1-310-312-8989,,"11305 Santa Monica Blvd, Los Angeles, CA 90025, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Jn Details Luxury Auto Services,,+1-310-591-9817,,"11152 Culver Blvd, Los Angeles, CA 90230, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Lucerne Car Detailing,,+1-213-513-6391,,"347 S Lucerne Blvd, Los Angeles, CA 90020, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
MA-Auto Detailing,,+1-310-570-3810,,"4639 Coliseum St #5, Los Angeles, CA 90016, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Marlex Mobile Car Wash,,+1-323-617-0799,,"320 S Ardmore Ave, Los Angeles, CA 90020, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Mena Detail,,+1-323-301-2923,,"6175 Santa Monica Blvd, Los Angeles, CA 90038, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Ohj Custom Detailing,,+1-310-923-8342,,"8017 W 3rd St, Los Angeles, CA 90048, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Partow Detailing,,+1-310-849-7132,,"8513 1/2 Horner St, Los Angeles, CA 90035, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
Primos Detailing,,+1-213-292-3414,,"5004 S Van Ness Ave, Los Angeles, CA 90062, United States",Los Angeles,CA,P2 | Class A | no website found on Google,,Car Detailers
