Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Zero Defects Aircraft Detailing LLC,,+1-747-777-9869,,,Simi Valley,CA,P3 | Class A | website broken or unreachable | https://zerodefectsdetailing.com/,,Car Detailers
Avenue South Car Detailing,,+1-213-583-4196,,"8614 S Gate Ave, South Gate, CA 90280, United States",South Gate,CA,P3 | Class A | website broken or unreachable | https://gatesouthcardetailing.site/,,Car Detailers
Brightsun Auto Car Detailing,,+1-747-758-5260,,"1241 E 90th St, Los Angeles, CA 90002, United States",South Gate,CA,P3 | Class A | website broken or unreachable | https://brightsunautocardetailing.site/,,Car Detailers
Grafon Mobile Detailing,,+1-323-781-8628,,"#2200, Walnut Park, CA 90255, United States",South Gate,CA,P3 | Class A | website broken or unreachable | http://grafondetailing.com/?utm_source=gmb&utm_medium=referral,,Car Detailers
Huntington Park Car Detailing,,+1-213-516-5044,,"6353 Arbutus Ave, Huntington Park, CA 90255, United States",South Gate,CA,P3 | Class A | website broken or unreachable | https://huntingtonparkcardetailing.site/,,Car Detailers
Relevant Mobile Detailing,,+1-323-570-2228,,,South Gate,CA,P3 | Class A | website broken or unreachable | http://relevantmobiledetailing.com/?utm_source=gmb&utm_medium=referral,,Car Detailers
True Gold Auto Spa | Mobile Detailing in Los Angeles/South Bay,,+1-310-819-0354,,,South Gate,CA,P3 | Class A | website broken or unreachable | https://truegoldautospa.com/,,Car Detailers
GT Elite Auto Lounge,,+1-818-532-7377,,"31304 Via Colinas #102, Westlake Village, CA 91362, United States",Thousand Oaks,CA,P3 | Class A | website broken or unreachable | http://www.gteliteauto.com/,,Car Detailers
Spotless Shine Auto Car Detailing,,+1-747-285-7214,,"5768 Ridgebrook Dr, Agoura Hills, CA 91301, United States",Thousand Oaks,CA,P3 | Class A | website broken or unreachable | https://spotlesscleanautocardetailing.site/,,Car Detailers
Vanta Shine Detailing,,+1-661-227-8440,,"31293 Via Colinas, Westlake Village, CA 91362, United States",Thousand Oaks,CA,P3 | Class A | website broken or unreachable | https://www.vantashine.com/,,Car Detailers
AUTOHAUS Detail & Tint,,+1-424-492-2458,,"1800 Lomita Blvd, Lomita, CA 90717, United States",Torrance,CA,P3 | Class A | website broken or unreachable | http://autohausdetailandtint.com/,,Car Detailers
Guardian Angel Car Detailing,,+1-747-237-4742,,"5515 Sunnyview St, Torrance, CA 90505, United States",Torrance,CA,P3 | Class A | website broken or unreachable | https://guardianangelcardetailing.site/,,Car Detailers
Peter Rabbits Mobile Detailing,,+1-626-268-3638,,"2447 Pacific Coast Hwy Ste 228, Hermosa Beach, CA 90254, United States",Torrance,CA,P3 | Class A | website broken or unreachable | https://cardetailforyou.com/,,Car Detailers
TRY OUR DETAIL,,+1-310-308-5590,,,Torrance,CA,P3 | Class A | website broken or unreachable | http://www.tryourdetail.com/,,Car Detailers
UC Mobile Detailing,,+1-424-677-0267,,,Torrance,CA,P3 | Class A | website broken or unreachable | https://ucdetailers.com/,,Car Detailers
Jarelle Details,,+1-626-646-8340,,"1113 E Harvest Moon St, West Covina, CA 91792, United States",West Covina,CA,P3 | Class A | website broken or unreachable | https://www.jarelleintl.com/home,,Car Detailers
D.A. Detailing,,+1-562-332-4921,,"16307 Lambert Rd, Whittier, CA 90604, United States",Whittier,CA,P3 | Class A | website broken or unreachable | http://www.d.a.detailing.com/,,Car Detailers
Miller Auto Detailing,,+1-714-759-4330,,,Whittier,CA,P3 | Class A | website broken or unreachable | https://madwash.shop/,,Car Detailers
Apex Luxe Detailing,,+1-657-310-6775,,,Carson,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/apexluxedetailing?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Detailers
New Life Auto Detail,,+1-626-820-3526,,,Duarte,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/newlifeautodetail_?igsh=OGQ5ZDc2ODk2ZA==&utm_source=qr,,Car Detailers
CBX Detailing,,+1-747-231-9367,,,Glendale,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | http://linktr.ee/cbxdetailing,,Car Detailers
Ross Auto Mobile Detailing,,+1-424-219-4378,,,Inglewood,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/rossautodetails,,Car Detailers
Brothers Automotive Proper Care | Car Wash |Auto Detailing | Ceramic Coating | Wax South El Monte l San Gabriel Valley,,+1-626-769-8128,,,La Puente,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | http://brothersautomotive.square.site/,,Car Detailers
Royal Detailing LA,,+1-424-542-2910,,,Los Angeles,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | http://royaldetailingla.booksy.com/a/,,Car Detailers
Top level detailz,,+1-562-955-8841,,,Norwalk,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://top-level-detailz.square.site/,,Car Detailers
GreenStreet Auto Spa & Detail Center,,+1-310-379-8898,,,Redondo Beach,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/greenstreetautospa,,Car Detailers
Black Diamond Auto Delicacy,,+1-323-945-6428,,,South Gate,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://blackdiamondservices.square.site/,,Car Detailers
Detail Manila,,+1-917-533-8637,,,South Gate,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/DetailManilaOfficial/,,Car Detailers
Transcendent detail,,+1-562-447-5257,,,West Covina,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://transcendentdetailing.square.site/,,Car Detailers
ROOSTER MOBILE DETAILING,,+1-714-678-7341,,,Alhambra,CA,V1 | P2 | Class A | no website found,,Car Detailers
Del Real mobile auto detail,,+1-626-409-6676,,,Baldwin Park,CA,V1 | P2 | Class A | no website found,,Car Detailers
Stay Wavy Mobile Detailing,,+1-626-709-8365,,,Baldwin Park,CA,V1 | P2 | Class A | no website found,,Car Detailers
A1A Detail,,+1-909-441-9862,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
Auto's Car Detailing Los Angeles,,+1-562-385-4676,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
Ernie Mobile Auto Detail,,+1-562-313-4980,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
Essential Detailing,,+1-310-595-5850,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
JMV Detailing,,+1-562-412-2036,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
"Simple car detailing , Mobile Car Wash And Auto Detailing, for hand wash and wax , interior, and ceramic coating",,+1-562-719-3203,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
The Way Wash Works LLC,,+1-562-740-3687,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
spotlessmobiledetailing,,+1-562-416-7008,,,Bellflower,CA,V1 | P2 | Class A | no website found,,Car Detailers
GN Mobile Car Detailing,,+1-213-982-0906,,,Burbank,CA,V1 | P2 | Class A | no website found,,Car Detailers
Glenoaks Car Wash,,+1-818-841-5000,,,Burbank,CA,V1 | P2 | Class A | no website found,,Car Detailers
Motorsport Detailing,,+1-323-794-3680,,,Burbank,CA,V1 | P2 | Class A | no website found,,Car Detailers
Panda Hub,,+1-213-372-0110,,,Burbank,CA,V1 | P2 | Class A | no website found,,Car Detailers
Precision Detailing,,+1-747-363-6270,,,Burbank,CA,V1 | P2 | Class A | no website found,,Car Detailers
Munoz' Elite Mobile Detailing,,+1-775-671-2509,,,Carson,CA,V1 | P2 | Class A | no website found,,Car Detailers
Top 1 Mobile Detailing,,+1-562-682-9886,,,Carson,CA,V1 | P2 | Class A | no website found,,Car Detailers
Vantage Auto Detailing,,+1-213-700-9404,,,Carson,CA,V1 | P2 | Class A | no website found,,Car Detailers
Unique Auto Spa Oil & Lube,,+1-562-923-2500,,,Downey,CA,V1 | P2 | Class A | no website found,,Car Detailers
Super Auto Body Shop,,+1-818-244-2423,,,Glendale,CA,V1 | P2 | Class A | no website found,,Car Detailers
Hawaiian Gardens Car Wash & Detail,,+1-562-429-7646,,,Hawaiian Gardens,CA,V1 | P2 | Class A | no website found,,Car Detailers
TWnW car wash & detailing,,+1-424-653-7758,,,Hollywood,CA,V1 | P2 | Class A | no website found,,Car Detailers
AI Auto Detailing,,+1-310-498-8066,,,Inglewood,CA,V1 | P2 | Class A | no website found,,Car Detailers
BruceBDetailing,,+1-424-567-9714,,,Inglewood,CA,V1 | P2 | Class A | no website found,,Car Detailers
OC Car Care,,+1-657-758-9202,,,Lakewood,CA,V1 | P2 | Class A | no website found,,Car Detailers
Plutos Car Wash Supply,,+1-661-886-8389,,,Lancaster,CA,V1 | P2 | Class A | no website found,,Car Detailers
Andres Car Wash,,+1-562-989-1237,,,Long Beach,CA,V1 | P2 | Class A | no website found,,Car Detailers
Daniel's Detail's LLC,,+1-833-208-4541,,,Long Beach,CA,V1 | P2 | Class A | no website found,,Car Detailers
Auto Detail,,+1-323-378-4094,,,Los Angeles,CA,V1 | P2 | Class A | no website found,,Car Detailers
Black Label Care,,+1-323-492-5086,,,Los Angeles,CA,V1 | P2 | Class A | no website found,,Car Detailers
The Look Detail: At Home Auto Detailing Service,,+1-323-333-0692,,,Los Angeles,CA,V1 | P2 | Class A | no website found,,Car Detailers
Clean Carwash,,+1-562-881-5067,,,Lynwood,CA,V1 | P2 | Class A | no website found,,Car Detailers
Antelope Valley Detailing,,+1-818-626-2182,,,Palmdale,CA,V1 | P2 | Class A | no website found,,Car Detailers
GLI Car Detailing Services,,+1-661-566-9302,,,Palmdale,CA,V1 | P2 | Class A | no website found,,Car Detailers
It’s all in the detailz,,+1-661-878-5675,,,Palmdale,CA,V1 | P2 | Class A | no website found,,Car Detailers
Robinson's Professional Car Detailing Unlimited,,+1-661-227-8809,,,Palmdale,CA,V1 | P2 | Class A | no website found,,Car Detailers
Pasadena Hand Wash,,+1-626-365-1153,,,Pasadena,CA,V1 | P2 | Class A | no website found,,Car Detailers
Db_autowrks,,+1-909-538-2201,,,Pomona,CA,V1 | P2 | Class A | no website found,,Car Detailers
Detail Empire,,+1-909-568-5606,,,Pomona,CA,V1 | P2 | Class A | no website found,,Car Detailers
Detailing Classy Auto,,+1-909-588-8557,,,Pomona,CA,V1 | P2 | Class A | no website found,,Car Detailers
Detail lab Mobile detailing,,+1-661-755-3560,,,Santa Clarita,CA,V1 | P2 | Class A | no website found,,Car Detailers
So So clean autocare,,+1-323-919-1963,,,Santa Clarita,CA,V1 | P2 | Class A | no website found,,Car Detailers
Bonus Hand Wash & Auto Spa,,+1-310-399-5773,,,Santa Monica,CA,V1 | P2 | Class A | no website found,,Car Detailers
Advanced Touch Auto Detailing,,+1-323-422-1431,,,South Gate,CA,V1 | P2 | Class A | no website found,,Car Detailers
Atomic Cruiser Auto Detailing,,+1-310-704-9151,,,South Gate,CA,V1 | P2 | Class A | no website found,,Car Detailers
G27 Details,,+1-323-613-4526,,,South Gate,CA,V1 | P2 | Class A | no website found,,Car Detailers
Moreno.mobiledetailing,,+1-323-796-9656,,,South Gate,CA,V1 | P2 | Class A | no website found,,Car Detailers
Palenque detailing,,+1-323-977-0361,,,South Gate,CA,V1 | P2 | Class A | no website found,,Car Detailers
Salapare Auto Care,,+1-962-698-9906,,,South Gate,CA,V1 | P2 | Class A | no website found,,Car Detailers
