Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
LUX Wash & Detail,,+1-858-314-8064,,"2336 La Mirada Dr #600, Vista, CA 92081, United States",Carlsbad,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/luxwashdetail/,,Car Detailers
State Beach Mobile Detailing,,+1-619-701-6956,,"1300 Laurel Tree Ln, Carlsbad, CA 92011, United States",Carlsbad,CA,P1 | Class A | only a Facebook/booking/directory page | https://calendly.com/statebeachmobiledetailing?fbclid=PAY2xjawI00YpleHRuA2FlbQIxMQABpkqY6g1ttxTocB8WJ9SA5SjZ9DrYfQ700QMbS1FOP7v5WPoEkcl6I2VrmA_aem_W30S6FdCZOn0Q0UHVqBWhw,,Car Detailers
Tey Tey's Mobile Shine,,+1-760-421-8174,,,Carlsbad,CA,P1 | Class A | only a Facebook/booking/directory page | https://tey-teys-mobile-shine.square.site/,,Car Detailers
Aura Labs Mobile Detailing,,+1-619-755-0400,,,Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/auralabsdetail/,,Car Detailers
Exclusive Auto Pros,,+1-619-779-5680,,"2374 Smythe Ave, San Ysidro, CA 92173, United States",Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/exclusiveautopros?igsh=MWYwM2M1bXZzN2tiOA==,,Car Detailers
NAZ Professional Automotive Detailing,,+1-619-779-8250,,"995 Bay Blvd Suite L, Chula Vista, CA 91911, United States",Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | http://nazautomotivetint.square.site/,,Car Detailers
Otay Mobile Detailing,,+1-619-601-7977,,,Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/otaymobiledetails,,Car Detailers
Preciso Mobile Detailing,,+1-619-646-7772,,,Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | http://preciso-mobile-detailing.square.site/,,Car Detailers
Reborn mobile auto-detail,,+1-619-495-2278,,,Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | http://facebook.com/rebornmobautodetail,,Car Detailers
ReviveNdrive car wash and mobile detailing,,+1-858-610-2779,,"582 Arizona St, Chula Vista, CA 91911, United States",Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/revivendrivesd?igsh=YzAwZjE1ZTI0Zg==&utm_source=qr,,Car Detailers
Sleeked Detailing,,+1-619-830-7468,,,Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/invites/contact/?i=13131x1tbsp2o&utm_content=jdf0sj1,,Car Detailers
Sun Detailing,,+1-619-537-8790,,"1730 Bramblewood St, Chula Vista, CA 91913, United States",Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://sundetailing.square.site/,,Car Detailers
Swift N Clean Specialists,,+1-858-293-5252,,"913 Via Terecina, Chula Vista, CA 91910, United States",Chula Vista,CA,P1 | Class A | only a Facebook/booking/directory page | https://swift-n-clean-specialists.square.site/who-we-are,,Car Detailers
A1 Detailing San Diego,,+1-619-897-7078,,,El Cajon,CA,P1 | Class A | only a Facebook/booking/directory page | http://linktr.ee/a1detailingsd,,Car Detailers
Espinoza Auto Detail,,+1-619-626-3770,,,El Cajon,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/espinozaautodetail/,,Car Detailers
Quality Touch Mobile Detailing,,+1-619-830-8997,,,El Cajon,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/d3sqws7r4jyumu/location/LVHXGWQHWG5J2/services,,Car Detailers
The wash king mobile detail,,+1-619-806-8070,,,El Cajon,CA,P1 | Class A | only a Facebook/booking/directory page | https://the-wash-king-mobile-detail.square.site/,,Car Detailers
Premier Auto Detailing,,+1-760-936-3401,,,Escondido,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/premierautodetailingsd/,,Car Detailers
Serrano’s Mobile Detailing Services,,+1-619-751-8534,,,Murrieta,CA,P1 | Class A | only a Facebook/booking/directory page | http://serranos-mobile-detailing-services-llc.square.site/,,Car Detailers
F&D Mobile Detailing Car Wash,,+1-760-450-6030,,,Oceanside,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=100063855590347,,Car Detailers
Prodash Auto Styling,,+1-619-709-6941,,"7374 Convoy Ct, San Diego, CA 92111, United States",San Diego,CA,P1 | Class A | only a Facebook/booking/directory page | https://prodash-auto-styling.square.site/,,Car Detailers
High End Detailing,,+1-442-238-8431,,,Calexico,CA,P2 | Class A | no website found on Google,,Car Detailers
WOW Detailing,,+1-760-818-3659,,,Calexico,CA,P2 | Class A | no website found on Google,,Car Detailers
Black Forest Mobile Detail,,+1-760-622-2122,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Bryan Mobile Detailing Services,,+1-760-783-8514,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Carlsbad Detailing,,+1-714-653-5511,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Carlsbad Mobile Auto Detailing,,+1-760-592-0203,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Coastline Auto Detailing of Oceanside,,+1-760-400-6318,,"2110 S Coast Hwy ste 0, Oceanside, CA 92054, United States",Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Diamond mobile detail,,+1-760-893-6879,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Dirty Rudy's Detail,,+1-760-994-2850,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Dynamic Luxury Auto Spa,,+1-951-347-6949,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Five Star Mobile Detailing,,+1-760-889-3923,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Gold Eagle Mobile Detailing – Vista & North County,,+1-760-410-2061,,"907 Ruby Dr, Vista, CA 92083, United States",Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Goodfellas Auto Detailing,,+1-760-450-6323,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Guerrero Detailing LTD.,,+1-760-879-5782,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Hoss Auto Detail,,+1-760-798-5234,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
LotWash,,+1-760-452-4252,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
MD AUTO DETAIL MOBILE SERVICES,,+1-760-613-2463,,"3503 De Leone Rd, San Marcos, CA 92069, United States",Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Massimo's Mobile Detail,,+1-760-420-6313,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Pristine Clean Mobile Detailing,,+1-442-444-0273,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
RVIVE LUXURY MOBILE DETAILING,,+1-760-842-3231,,"3330 Harding St, Carlsbad, CA 92008, United States",Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
SR Elite Mobile Detailing & Ceramic Coating,,+1-760-405-6813,,"3316 Par Dr, Oceanside, CA 92056, United States",Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Super Soakers Mobile Detail,,+1-619-415-1162,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
The Auto Revival,,+1-858-791-4685,,,Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Time to Shine Detailing,,+1-858-848-1127,,"169 Balboa St Ste B1, San Marcos, CA 92069, United States",Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
Zepedas Mobile Detailing,,+1-760-916-6212,,"1251 Armorlite Dr, San Marcos, CA 92069, United States",Carlsbad,CA,P2 | Class A | no website found on Google,,Car Detailers
