Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
AM2 Auto Detailing (WE COME TO YOU),,+1-925-393-8884,,"2400 Shady Willow Ln, Brentwood, CA 94513, United States",Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/am2autodetailing,,Car Detailers
Classy Mobile Detailing,,+1-925-390-2369,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/ClassyMobile_Detailing,,Car Detailers
Detailing_Dude_,,+1-408-643-3095,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/detailing_dude_,,Car Detailers
Sal’s Mobile Car Detailing & Mobile Car Wash,,+1-925-726-7410,,"3 Seaview Dr, Bay Point, CA 94565, United States",Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/gk406uzu36g52v/location/LN69AR52Y203W/services?fbclid=PAQ0xDSwMA2A5leHRuA2FlbQIxMAABpzu6lF9U9Yvu-VDcNfZcsA13_rAKyU8uCSjg9lQMW1lB6W-_oiRUFcPDXxAL_aem_v6DPBni4HNfiPvWlgebhyw,,Car Detailers
Slick & Shine Auto Detailing,,+1-925-813-4967,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/slickandshine25,,Car Detailers
Spotless revive Mobile Wash & Detail,,+1-925-390-1350,,,Antioch,CA,P1 | Class A | only a Facebook/booking/directory page | https://spotless-revive-auto-wash-detail.square.site/,,Car Detailers
Spiffy Mobile Detailing,,+1-925-207-0510,,,Brentwood,CA,P1 | Class A | only a Facebook/booking/directory page | http://www.facebook.com/spiffymobile/,,Car Detailers
Daniels Mobile Detailing,,+1-925-595-7251,,,Concord,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/danielsmobiledetailing_?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Detailers
DetailedbySB,,+1-925-877-5494,,,Concord,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/detailedbysb/profilecard/?igsh=MzRlODBiNWFlZA==,,Car Detailers
Mobile Car Detailing - Shine and Drive mobile detailing,,+1-925-404-8012,,"1997 Olympic Blvd, Walnut Creek, CA 94595, United States",Concord,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/marketplace/item/1119919966873511/?mibextid=6ojiHh,,Car Detailers
Shine N Protect,,+1-925-349-9471,,"418 N Buchanan Cir #19, Pacheco, CA 94553, United States",Concord,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/boltautodetailing?utm_medium=copy_link,,Car Detailers
Ethan's Mobile Detailz,,+1-925-487-1120,,,Hayward,CA,P1 | Class A | only a Facebook/booking/directory page | https://ethans-mobile-detailz.square.site/,,Car Detailers
Islas Auto Detailing,,+1-925-290-8554,,,Livermore,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/islasautodetailing?utm_source=linktree_profile_share&ltsid=3404b8f1-5d4a-472a-a333-a8b75523010d,,Car Detailers
Convenient Auto Detailing,,+1-510-677-9278,,"1001 Hensley St A, Richmond, CA 94801, United States",Richmond,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/convenient_autodetail/,,Car Detailers
RichmondMobileDetailerz,,+1-415-870-5373,,,Richmond,CA,P1 | Class A | only a Facebook/booking/directory page | https://l.facebook.com/l.php?u=https://champion-tadpole.10web.cloud/?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExYXptbEhBbmN2TWtic1U0d3NydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR5yv7BgBCV_Vv41MkJZj0pA96u8dR3Erbt5-aMbPkQ5xLAs_8nusGYS2FGNIA_aem_wypOBk45xrXKFq0-7b8NqQ&h=AUDOlA2xm_pGg8Um5QYBZC7MGd4_iUKIe600X3YuLNHSoNHKZIBNc4eLgsByR_T3146yfWg8qWKos7e4m8zPi_D1I4-Vm0qF2FiAoV32KYpDZHZWWrsS0cpUHOKZKRITnrSZr_rSEVq_COfk03rp,,Car Detailers
Tropical Details,,+1-510-736-3930,,,Richmond,CA,P1 | Class A | only a Facebook/booking/directory page | https://tropical-cleaners.square.site/,,Car Detailers
Leo Detailing,,+1-408-597-2097,,,Watsonville,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/leo_detailing01,,Car Detailers
AB's mobile detailing,,+1-925-595-0615,,"D St, Antioch, CA 94509, United States",Antioch,CA,P2 | Class A | no website found on Google,,Car Detailers
ACRS Mobile Detailing,,+1-925-481-0965,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Detailers
All For Us Enterprise,,+1-415-926-0459,,"4464 Lone Tree Wy, Antioch, CA 94531, United States",Antioch,CA,P2 | Class A | no website found on Google,,Car Detailers
C&Z Detailing,,+1-209-740-1014,,,Antioch,CA,P2 | Class A | no website found on Google,,Car Detailers
CRL’Z Mobile Auto Detailing,,+1-510-760-9493,,"849 Walnut Dr, Oakley, CA 94561, United States",Antioch,CA,P2 | Class A | no website found on Google,,Car Detailers
