Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Rodriguez Professional Auto Detailing,,+1-925-726-9724,,"1000 Detroit Ave, Concord, CA 94518, United States",Concord,CA,P2 | Class A | no website found on Google,,Car Detailers
Spotless Show Time Mobile Detailing,,+1-925-202-5603,,,Concord,CA,P2 | Class A | no website found on Google,,Car Detailers
Xxxxx,,+1-925-464-9591,,"4875 Clayton Rd, Concord, CA 94521, United States",Concord,CA,P2 | Class A | no website found on Google,,Car Detailers
925 Auto Detail,,+1-925-831-2846,,"23 Beta Ct Ste h, San Ramon, CA 94583, United States",Dublin,CA,P2 | Class A | no website found on Google,,Car Detailers
Bay Area Headlightz,,+1-925-640-6342,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Detailers
BlackHawkDetailCo,,+1-925-875-8031,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Detailers
Diablo Valley Detailing,,+1-925-886-1723,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Detailers
Elite Detailing,,+1-209-262-8516,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Detailers
TVA Mobile Detailing,,+1-925-413-3080,,,Dublin,CA,P2 | Class A | no website found on Google,,Car Detailers
Ironclad Auto Detailing,,+1-408-666-1737,,,Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
925 Auto Detailing,,+1-925-214-5108,,,Martinez,CA,P2 | Class A | no website found on Google,,Car Detailers
A1bombdetailing,,+1-925-250-4824,,"Lucille Ln, Pleasant Hill, CA 94523, United States",Martinez,CA,P2 | Class A | no website found on Google,,Car Detailers
Leo’s ClearView Auto Detail,,+1-925-956-3882,,,Martinez,CA,P2 | Class A | no website found on Google,,Car Detailers
Major 1 Details,,+1-925-490-5829,,,Martinez,CA,P2 | Class A | no website found on Google,,Car Detailers
Yazi’s Detailing,,+1-510-672-2448,,,Martinez,CA,P2 | Class A | no website found on Google,,Car Detailers
ICE Detail,,+1-925-483-4894,,,Pittsburg,CA,P2 | Class A | no website found on Google,,Car Detailers
JC mobile detailing,,+1-925-501-0244,,,Pittsburg,CA,P2 | Class A | no website found on Google,,Car Detailers
Nando’s Detail’s,,+1-925-783-4831,,,Pittsburg,CA,P2 | Class A | no website found on Google,,Car Detailers
Sanchez Auto Details,,+1-925-498-3962,,,Pittsburg,CA,P2 | Class A | no website found on Google,,Car Detailers
Autodetailsandmore,,+1-341-799-5198,,"156 16th St, Richmond, CA 94801, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
Bay Area Auto Detail,,+1-415-879-7680,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
EJD_Detailz,,+1-510-221-8805,,"3000 Nevin Ave, Richmond, CA 94804, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
Golden Bay Auto Spa,,+1-510-994-7995,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
IV.car detailing,,+1-510-513-9985,,"Richmond, CA 94801, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
J&J detail,,+1-510-292-9175,,"2926 Rheem Ave, Richmond, CA 94804, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
PUREGLASS MOBILE DETAIL,,+1-510-691-4772,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
Quick& efficient mobile detailing,,+1-510-417-7835,,"5200 Olinda Rd, El Sobrante, CA 94803, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
TAP2CLEAN AUTO SALON,,+1-510-502-3259,,"819 Liberty St, El Cerrito, CA 94530, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
The Bays Detailing,,+1-510-650-9681,,,Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
The alchemist detailing,,+1-510-478-3279,,"1400 Fitzgerald Dr, Pinole, CA 94564, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
Tomeka & Level Custom Auto,,+1-510-424-8794,,"239 S 45th St, Richmond, CA 94804, United States",Richmond,CA,P2 | Class A | no website found on Google,,Car Detailers
San Francisco Car Detailing,,+1-628-400-0264,,,San Francisco,CA,P2 | Class A | no website found on Google,,Car Detailers
A Touch of Pride Detailing,,+1-925-525-7820,,"67 Front St, Danville, CA 94526, United States",San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
ARCDetailing,,+1-925-263-6575,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
Drew’s Mobile Detailing,,+1-925-984-0817,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
Drip Auto Detailing,,+1-650-400-5121,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
Golden State Auto Armour Wrap and More,,+1-925-895-9984,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
LB Street Shine,,+1-925-474-7568,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
Peterson Details,,+1-925-915-7765,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
5150 Detailing,,+1-925-933-3500,,"2038 N Main St Ste a, Walnut Creek, CA 94598, United States",Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
At-Home Car Detail,,+1-925-501-8924,,"1948 Desert Cir, Walnut Creek, CA 94598, United States",Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
Deetz West Coast Detail,,+1-925-208-0288,,"57 Waldale Ct, Walnut Creek, CA 94597, United States",Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
Dirty Dan's Detailing,,+1-510-432-2909,,"191 Village Ct, Walnut Creek, CA 94596, United States",Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
Fusion Detail Pro,,+1-925-270-5267,,,Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
Royal Touch Detailing,,+1-925-320-3744,,"1250 Walker Ave Apt 72, Walnut Creek, CA 94596, United States",Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
Super Fresh Details,,+1-833-274-4358,,"1261 Locust St Apt 258, Walnut Creek, CA 94596, United States",Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
quick mobile detailing,,+1-925-818-4010,,,Walnut Creek,CA,P2 | Class A | no website found on Google,,Car Detailers
Armando mobile Detailing,,+1-925-744-1020,,,Woodland,CA,P2 | Class A | no website found on Google,,Car Detailers
Car Detailing All Day,,+1-510-978-7679,,,Alameda,CA,P3 | Class A | website broken or unreachable | http://cardetailingallday.com/,,Car Detailers
A to Z Mobile Detail,,+1-925-323-2698,,,Antioch,CA,P3 | Class A | website broken or unreachable | https://atozmobiledetail.com/,,Car Detailers
Mobile Foam Auto Detail,,+1-925-864-6725,,,Antioch,CA,P3 | Class A | website broken or unreachable | https://mobilefoamautodetail.com/,,Car Detailers
Prolevelshine,,+1-925-338-9719,,"2520 Verne Roberts Cir Suite 101, Antioch, CA 94509, United States",Antioch,CA,P3 | Class A | website broken or unreachable | https://proshine2021.com/,,Car Detailers
392 auto detailing,,+1-510-599-8593,,"133 Brighton St, Hercules, CA 94547, United States",Benicia,CA,P3 | Class A | website broken or unreachable | http://392autodetailing.com/,,Car Detailers
JH Pro Detailing,,+1-925-206-7167,,,Brentwood,CA,P3 | Class A | website broken or unreachable | https://www.jhprodetailing.com/,,Car Detailers
Final Touch Auto Interiors,,+1-925-787-2001,,"2900 Willow Pass Rd A, Concord, CA 94519, United States",Concord,CA,P3 | Class A | website broken or unreachable | https://finaltouchautocare.com/,,Car Detailers
GOLD TIER AUTO MOBILE DETAILING,,+1-925-678-6625,,,Concord,CA,P3 | Class A | website broken or unreachable | http://www.goldtiermobile.com/,,Car Detailers
No-H2O Auto Detailing,,+1-925-238-8182,,,Concord,CA,P3 | Class A | website broken or unreachable | https://noh2o.com/auto-detailing-walnut-creek/,,Car Detailers
Prestige Mobile Auto Detailing,,+1-925-272-7735,,,Concord,CA,P3 | Class A | website broken or unreachable | http://prestigemobileautodetailers.com/home,,Car Detailers
YoungZ Details,,+1-925-834-9422,,"1650 Monument Blvd, Concord, CA 94520, United States",Concord,CA,P3 | Class A | website broken or unreachable | https://youngzdetails.store/,,Car Detailers
duckfeet mobile detail,,+1-408-905-9415,,,Concord,CA,P3 | Class A | website broken or unreachable | http://duckfeetmobiledetail.wordpress.com/,,Car Detailers
detailogistic car wash and transport log,,+1-209-905-3462,,,Daly City,CA,P3 | Class A | website broken or unreachable | https://detailogisticstore.com/,,Car Detailers
Golden State Auto Detailing,,+1-925-404-7530,,"104 Valdivia Cir, San Ramon, CA 94583, United States",Dublin,CA,P3 | Class A | website broken or unreachable | https://www.precisionshinedetailing.net/,,Car Detailers
JayAye Details,,+1-925-339-8818,,,Livermore,CA,P3 | Class A | website broken or unreachable | https://www.jayayedetail.com/,,Car Detailers
Bayarea Detailing Solutions,,+1-510-426-4724,,"2266 Central St, Richmond, CA 94801, United States",Richmond,CA,P3 | Class A | website broken or unreachable | https://bayareadetailingsolutions.com/?gad_source=1&gbraid=0AAAAA_HZtWIFcwJJc8yIslx68wy0ikG02,,Car Detailers
Caleb's Car Detailing,,+1-925-856-0367,,"108 Merano St, Danville, CA 94526, United States",San Ramon,CA,P3 | Class A | website broken or unreachable | https://calebscardetailing.simplybook.me/,,Car Detailers
Cali Mobile Car Wash,,+1-925-319-5157,,,Antioch,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/cali_mobile_car_wash/,,Car Detailers
Glistening Rides Auto Detailing,,+1-510-504-9504,,,Richmond,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/glistening.rides/,,Car Detailers
24/7 mobile detail,,+1-925-437-6343,,,Antioch,CA,V1 | P2 | Class A | no website found,,Car Detailers
Beyonddetailing,,+1-925-852-3220,,,Antioch,CA,V1 | P2 | Class A | no website found,,Car Detailers
Number 1 Mobile Detailing LLC,,+1-510-470-0755,,,Antioch,CA,V1 | P2 | Class A | no website found,,Car Detailers
Am Autostyling,,+1-925-338-3765,,,Brentwood,CA,V1 | P2 | Class A | no website found,,Car Detailers
Brentwood Auto detail,,+1-925-206-8328,,,Brentwood,CA,V1 | P2 | Class A | no website found,,Car Detailers
Clean car detailing California,,+1-925-405-2218,,,Concord,CA,V1 | P2 | Class A | no website found,,Car Detailers
Neo Auto Luxe,,+1-628-235-7401,,,Concord,CA,V1 | P2 | Class A | no website found,,Car Detailers
