Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Gonzalez Mobile Auto Detail,,+1-408-608-7740,,"1582 Sawleaf Ct, San Jose, CA 95131, United States",Fremont,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/gonzalezmobileautodetail?igsh=NTc4MTIwNjQ2YQ==,,Car Detailers
RM Mobile DETAILING,,+1-408-640-9084,,"1325 Zephyr Ct #95127, San Jose, CA 95127, United States",Fremont,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.tiktok.com/@rm_mobile.detailing?_t=8prUgCaNNTr&_r=1,,Car Detailers
Pristinefinishdetailing,,+1-669-345-8265,,,Gilroy,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/pristinefinish.detailing?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Detailers
SV Detailing,,+1-831-258-8931,,,Gilroy,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/sv.detailz?igsh=NTc4MTIwNjQ2YQ==,,Car Detailers
Solanos Automotive Detailing,,+1-831-673-1761,,,Hollister,CA,P1 | Class A | only a Facebook/booking/directory page | https://solanos-automotive-detailing.square.site/,,Car Detailers
Adrians Mobile Detailing,,+1-209-829-9412,,,Los Banos,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/adriansmobiledetailing1?igsh=MWM0NDM4dzBua3I4eA==&utm_source=qr,,Car Detailers
Detailing Masters,,+1-408-352-5438,,"1206 Norman Ave, Santa Clara, CA 95054, United States",Milpitas,CA,P1 | Class A | only a Facebook/booking/directory page | https://detailing-masters.square.site/,,Car Detailers
HL Auto Detail,,+1-408-931-4255,,,Morgan Hill,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/hl.auto.detail,,Car Detailers
Perfect Details,,+1-408-710-4024,,,Morgan Hill,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/perfect_details_mh?igsh=NGVhN2U2NjQ0Yg%3D%3D&utm_source=qr,,Car Detailers
Cured Detailing,,+1-408-829-7928,,,San Jose,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/r9f9cffz5dmajm/location/LYW3241MARMFN/services,,Car Detailers
Medinacars,,+1-341-800-2830,,"943 Phelan Ave, San Jose, CA 95122, United States",San Jose,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/medinacars_?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
MidnightDetailing,,+1-408-805-4195,,,San Jose,CA,P1 | Class A | only a Facebook/booking/directory page | https://midnight-detailing.square.site/,,Car Detailers
"Luxury Vehicle Wraps, LLC",,+1-650-394-6290,,"1869 Walsh Ave, Santa Clara, CA 95050, United States",Santa Clara,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/luxuryvehiclewraps,,Car Detailers
Only Sudz,,+1-408-608-9265,,,Santa Clara,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/onlysudz?igshid=MjEwN2IyYWYwYw==,,Car Detailers
Hud Details,,+1-408-710-9192,,,Berkeley,CA,P2 | Class A | no website found on Google,,Car Detailers
The Dream Team Mobile Car Wash & Detail,,+1-415-410-4639,,,Daly City,CA,P2 | Class A | no website found on Google,,Car Detailers
Sagil Detailing,,+1-480-395-9241,,,Fairfield,CA,P2 | Class A | no website found on Google,,Car Detailers
Best Mobile Auto Detailing,,+1-408-509-5951,,"301 Educational Park Dr, San Jose, CA 95133, United States",Fremont,CA,P2 | Class A | no website found on Google,,Car Detailers
Interstate Mobile Detailing,,+1-510-901-9998,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Detailers
JRS Mobile Auto Spa,,+1-408-582-4365,,,Fremont,CA,P2 | Class A | no website found on Google,,Car Detailers
OMG Mobile Auto / RV Detailing,,+1-408-320-3847,,"3559 Oakleaf Dr, San Jose, CA 95127, United States",Fremont,CA,P2 | Class A | no website found on Google,,Car Detailers
A&J Sudz,,+1-408-206-1901,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Coastline Car Care,,+1-669-208-9984,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Crown Detailing Gilroy Car Detailing,,+1-669-239-1730,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Danny's Mobile Auto Detailing,,+1-408-393-7518,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
El Gordo Scrubs,,+1-408-857-8882,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Elite Auto Glow,,+1-831-837-7652,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Famous Mobile Detail,,+1-408-590-8197,,"325 Cohansey Ave, Gilroy, CA 95020, United States",Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Fast And Furious Detail,,+1-408-722-8923,,"6901 Monterey Rd # C, Gilroy, CA 95020, United States",Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
JlDetailing ceramic coatings,,+1-831-537-6374,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Primo Mobile Detailing,,+1-831-741-8535,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
South Valley Mobile Detailing,,+1-669-304-8624,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Willy's Wash ~N~ Wax,,+1-408-312-9961,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
Blue Tide Auto Detailers – Mobile Auto Detailing Bay Area,,+1-510-942-1055,,,Hayward,CA,P2 | Class A | no website found on Google,,Car Detailers
