Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Calix Auto Detailing,,+1-408-726-7259,,"2845 Monterey Rd, San Jose, CA 95111, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Diamond detailing cars & boats,,+1-408-469-5768,,"6960 Bolado Dr, San Jose, CA 95119, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Dream Auto Detailing,,+1-408-630-7217,,"1518 Mt Everest Ct, San Jose, CA 95127, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Empire Detailz_,,+1-408-677-1963,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Full service auto detailing & paint enhancem,,+1-408-835-3867,,"484 E San Fernando St, San Jose, CA 95112, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Hypershine Detailworks,,+1-408-637-5392,,"123 E San Carlos St, San Jose, CA 95112, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
InDepth Mobile Detailing SJ,,+1-408-482-4737,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Jr. Car Detailing,,+1-408-595-4465,,"458 S King Rd, San Jose, CA 95116, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Kleen Works Mobile Auto Detailing,,+1-408-819-1143,,"519 N 13th St, San Jose, CA 95112, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Monterey Car Detailing,,+1-408-643-0412,,"4100 Monterey Rd, San Jose, CA 95111, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Mox Detailing,,+1-408-685-9168,,"3210 Lamond Ct, San Jose, CA 95148, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Not avaible.,,+1-408-890-1147,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Patillas Cars Detailing,,+1-669-261-2424,,"804 Lincoln Ave, San Jose, CA 95126, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Precision Auto Styles408,,+1-408-512-8862,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Prestige Shine Mobile Detailing,,+1-408-799-0931,,"504 Fuller Ave, San Jose, CA 95125, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Prestige auto detailing,,+1-408-849-1582,,"10285 Regan St, San Jose, CA 95127, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Rays Detallado Interior Movil,,+1-408-375-1269,,"5095 Roeder Rd, San Jose, CA 95111, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Rouge Mobile Detailing,,+1-831-334-6910,,"1375 Blossom Hill Rd, San Jose, CA 95118, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
S&S Auto Detailing,,+1-408-757-7207,,"2541 Chant Ct, San Jose, CA 95122, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
SOS auto detail,,+1-408-876-2138,,"2024 Nottoway Ave, San Jose, CA 95116, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
SRSAutoSpa Mobile,,+1-408-418-8536,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Sons Mobile Detailing,,+1-408-421-2331,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Stephen’s Mobile Detailing,,+1-408-218-2106,,"San Jose, CA 95148, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Tonys mobile auto detailing,,+1-669-799-6279,,,San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
UMC Mobile Detail,,+1-323-606-3777,,"Santa Teresa Ct, San Jose, CA 95123, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Valley automotive detailing,,+1-669-454-9301,,"51 S 19th St, San Jose, CA 95116, United States",San Jose,CA,P2 | Class A | no website found on Google,,Car Detailers
Chuey Details,,+1-650-353-7922,,,Santa Barbara,CA,P2 | Class A | no website found on Google,,Car Detailers
Autospark,,+1-669-210-2633,,"530 Mansion Ct, Santa Clara, CA 95054, United States",Santa Clara,CA,P2 | Class A | no website found on Google,,Car Detailers
KB’s mobile auto detailing,,+1-408-422-8028,,,Santa Clara,CA,P2 | Class A | no website found on Google,,Car Detailers
MJ Detailing,,+1-408-561-2026,,"2985 El Camino Real, Santa Clara, CA 95051, United States",Santa Clara,CA,P2 | Class A | no website found on Google,,Car Detailers
Prestige Detailing,,+1-669-306-0099,,"1300 Norman Ave, Santa Clara, CA 95054, United States",Santa Clara,CA,P2 | Class A | no website found on Google,,Car Detailers
Speed mobile restoration,,+1-408-691-8834,,"1306 Sandia Ave, Sunnyvale, CA 94089, United States",Santa Clara,CA,P2 | Class A | no website found on Google,,Car Detailers
VIP Detailing pro,,+1-650-921-1676,,"1415 Laurelwood Rd, Santa Clara, CA 95054, United States",Santa Clara,CA,P2 | Class A | no website found on Google,,Car Detailers
DZR Mobile Car Detailing,,+1-408-466-6464,,,Santa Cruz,CA,P2 | Class A | no website found on Google,,Car Detailers
Detail brothers. Car detailing and restoration,,+1-669-225-0416,,"755 E Homestead Rd, Sunnyvale, CA 94087, United States",Sunnyvale,CA,P2 | Class A | no website found on Google,,Car Detailers
Premium Creations,,+1-510-598-0851,,,Union City,CA,P2 | Class A | no website found on Google,,Car Detailers
Mr. Wash Detailing,,+1-831-254-1938,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Mobile Detailing,,+1-408-872-9262,,"1120 Wrigley Way, Milpitas, CA 95035, United States",Fremont,CA,P3 | Class A | website broken or unreachable | https://gl-mobile-detailing.com/,,Car Detailers
Cervantes Details - Ceramic Coatings - Window Tinting,,+1-408-500-7107,,"13555 Depot St unit c, San Martin, CA 95046, United States",Gilroy,CA,P3 | Class A | website broken or unreachable | http://cervantesdetails.com/,,Car Detailers
Detail Dom,,+1-408-478-0287,,"505 Mayock Rd Unit B-8, Gilroy, CA 95020, United States",Gilroy,CA,P3 | Class A | parked/expired domain | http://detaildomusa.com/,,Car Detailers
Eagle Calibration,,+1-408-705-5345,,"250 Nagareda Dr, Gilroy, CA 95020, United States",Gilroy,CA,P3 | Class A | website broken or unreachable | http://www.eaglecalibration.net/,,Car Detailers
Sparkle Bay Detailing,,+1-408-658-6107,,,Gilroy,CA,P3 | Class A | website broken or unreachable | https://sparklebaydetailing.com/,,Car Detailers
FlyZonia Car Detailing Service,,+1-408-351-1906,,"1788 Willow Lake Ln, San Jose, CA 95131, United States",Milpitas,CA,P3 | Class A | website broken or unreachable | https://flyzoniadetail.site/,,Car Detailers
Sensation Mobile Car Wash,,+1-408-413-1946,,,Milpitas,CA,P3 | Class A | website broken or unreachable | https://sensationmobilecarwash.com/,,Car Detailers
Skyrise Automobile Car Detailing,,+1-408-617-9476,,"4082 Davis St, Santa Clara, CA 95054, United States",Milpitas,CA,P3 | Class A | website broken or unreachable | https://auramaxdetails.site/,,Car Detailers
Bambino Car Wash,,+1-408-786-1993,,,Mountain View,CA,P3 | Class A | website broken or unreachable | https://cacardetailingsvc.com/,,Car Detailers
Bay Areas Finest Detailing,,+1-650-335-5487,,,Mountain View,CA,P3 | Class A | website broken or unreachable | https://www.bayareasfinestdetailing.com/,,Car Detailers
Elite Mobile Auto Body And Detailing,,+1-408-375-1308,,"2126 Del Monte Ave, Santa Clara, CA 95051, United States",Mountain View,CA,P3 | Class A | website broken or unreachable | https://www.elitemobileautobodyanddetailing.com/,,Car Detailers
L&L Mobile Car Wash,,+1-408-210-1438,,,Mountain View,CA,P3 | Class A | website broken or unreachable | https://llmobilecarwash.com/,,Car Detailers
Miar's Mobile Detailing,,+1-650-336-0296,,,Mountain View,CA,P3 | Class A | website broken or unreachable | https://miarsmobiledetailing.com/,,Car Detailers
Mobile auto spa,,+1-650-789-0409,,,Mountain View,CA,P3 | Class A | website broken or unreachable | https://bayareamobiledetailer.com/,,Car Detailers
Ceramic Pro,,+1-408-218-7331,,"1501 Terminal Ave, San Jose, CA 95112, United States",San Jose,CA,P3 | Class A | website broken or unreachable | https://ceramicpronorthsanjose.com/,,Car Detailers
Detail Run | Mobile Car Detailing San Jose,,+1-408-214-9355,,,San Jose,CA,P3 | Class A | website broken or unreachable | https://www.detail-run.com/,,Car Detailers
FreshMaxing Car Detailing,,+1-408-662-1160,,"630 Blossom Hill Rd, San Jose, CA 95123, United States",San Jose,CA,P3 | Class A | website broken or unreachable | https://freshmaxdetail.site/,,Car Detailers
JB Auto Spa,,+1-408-636-6723,,"5725 Winfield Blvd #2b, San Jose, CA 95123, United States",San Jose,CA,P3 | Class A | website broken or unreachable | https://ceramicprosouthsanjose.com/,,Car Detailers
Nivo Detail,,+1-408-242-9975,,,San Jose,CA,P3 | Class A | website broken or unreachable | https://nivodetail.com/,,Car Detailers
