Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Navas Auto Detailing,,+1-323-382-6761,,,Bellflower,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/navas.auto.detailing/,,Car Detailers
Auto Perfection Detailing Studio・Best,,+1-916-673-6875,,,Citrus Heights,CA,P1 | Class A | only a Facebook/booking/directory page | http://autoperfectiondetailingstudiobest.booksy.com/f/,,Car Detailers
559 Fire Detailing,,+1-559-765-7271,,,Clovis,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/559firedetailing,,Car Detailers
A&M Auto Detailing,,+1-415-758-0919,,,Clovis,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/amautodetailing,,Car Detailers
Car Care Tec. Mobile services . Send us a text!!,,+1-559-513-1563,,"2817 E Spruce Ave, Fresno, CA 93720, United States",Clovis,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/carzcaretec?mibextid=ZbWKwL,,Car Detailers
Clovis Auto Detailing,,+1-559-776-2517,,,Clovis,CA,P1 | Class A | only a Facebook/booking/directory page | http://instagram.com/clovis_auto_detailing,,Car Detailers
Moonlight.Detail,,+1-559-392-4097,,,Clovis,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/moonlight.detail/,,Car Detailers
Pro Finish Mobile Detailing,,+1-559-991-2200,,"227 W Sierra Ave, Clovis, CA 93612, United States",Clovis,CA,P1 | Class A | only a Facebook/booking/directory page | https://pro-finish-detailing.square.site/,,Car Detailers
Shine & Protect Detailing,,+1-559-545-5753,,,Clovis,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/2a35i2nkdgmh7x/location/L1AQV6BMAC5ZQ,,Car Detailers
A&J Mobile Detailing,,+1-626-922-3812,,,El Monte,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/a_j_mobiledetailing/,,Car Detailers
Lux Mobile Detailing,,+1-626-558-6662,,,El Monte,CA,P1 | Class A | only a Facebook/booking/directory page | https://lux-mobile-detailing-106125.square.site/,,Car Detailers
Gloss Labs Auto Care,,+1-916-708-8754,,,Elk Grove,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/glosslabs.autocare?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Diamond's Mobile Detailing,,+1-559-577-8708,,"1459 W Olive Ave, Fresno, CA 93728, United States",Fresno,CA,P1 | Class A | only a Facebook/booking/directory page | https://diamonds-mobiledetailing.square.site/,,Car Detailers
Fresno Refined Detailing,,+1-559-213-5576,,,Fresno,CA,P1 | Class A | only a Facebook/booking/directory page | https://fresno-refined-detailing.square.site/,,Car Detailers
RiveraDetailCo,,+1-559-213-6235,,,Fresno,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/riveradetailco/,,Car Detailers
Smiths Curbside Services,,+1-559-960-9037,,"S Summerfield Ln, Fresno, CA 93725, United States",Fresno,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/9bmeyco9uda835/location/8YR18TR9FPR12/services?utm_source=sqmktg_email,,Car Detailers
Sublime Auto Detail,,+1-559-917-2451,,,Madera,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/sublimeautodetail?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Infinitykarwashers,,+1-925-496-8154,,,Pittsburg,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/infinitykarwashers/,,Car Detailers
Jay’s Mobile Auto Detail LLC,,+1-515-567-9904,,,Porterville,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=61555420042166&mibextid=LQQJ4d,,Car Detailers
4autodetail,,+1-805-660-1885,,,Thousand Oaks,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/4autodetail?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Diamond Detailing,,+1-559-827-1123,,,Visalia,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/v0l9qbqphur00m/location/LQ7M8H1XJFPWY/services,,Car Detailers
