Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
East Bay Headlight Restoration,,+1-510-815-3917,,"8480 Edes Ave, Oakland, CA 94621, United States",Oakland,CA,P2 | Class A | no website found on Google,,Car Detailers
JP's Mobile Detailing,,+1-510-830-7613,,,Oakland,CA,P2 | Class A | no website found on Google,,Car Detailers
Jireh Mobile Repair,,+1-510-569-3952,,"8925 San Leandro St, Oakland, CA 94621, United States",Oakland,CA,P2 | Class A | no website found on Google,,Car Detailers
Lady's Mobile Auto Detailing,,+1-510-692-2001,,,Oakland,CA,P2 | Class A | no website found on Google,,Car Detailers
Oak Detail,,+1-925-565-2966,,"1901 Park Blvd, Oakland, CA 94606, United States",Oakland,CA,P2 | Class A | no website found on Google,,Car Detailers
Quick Shine Mobile Detailing,,+1-628-999-6277,,"419 2nd St, Oakland, CA 94607, United States",Oakland,CA,P2 | Class A | no website found on Google,,Car Detailers
A&K Mobile Wash and Detailing,,+1-510-634-6077,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
Alpinist Motor Sport,,+1-415-583-3297,,"1666 Timothy Dr, San Leandro, CA 94577, United States",San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
BVAutoDetails,,+1-510-695-8640,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
Bsapp,,+1-510-707-8705,,"1169 Mersey Ave, San Leandro, CA 94579, United States",San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
Clean Choice Auto Detailing,,+1-510-228-8902,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
Ebrakes Mobile Detail,,+1-510-329-4918,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
Mochito mobile wash,,+1-510-767-2508,,,San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
Villa's Auto Detail Services,,+1-510-461-5127,,"1560 167th Ave, San Leandro, CA 94578, United States",San Leandro,CA,P2 | Class A | no website found on Google,,Car Detailers
BioBlock Mobile Detailing,,+1-925-787-6710,,,San Ramon,CA,P2 | Class A | no website found on Google,,Car Detailers
BayLightRestorations,,+1-510-456-5002,,,Union City,CA,P2 | Class A | no website found on Google,,Car Detailers
Boba's Detailing,,+1-510-934-8499,,,Union City,CA,P2 | Class A | no website found on Google,,Car Detailers
