Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
A&Z Auto Detailing,,+1-805-708-5885,,,Fontana,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/anzautodetailing/,,Car Detailers
Bravo's Mobile Detailing,,+1-805-636-2033,,"377 E Harrison Ave, Ventura, CA 93001, United States",Oxnard,CA,P1 | Class A | only a Facebook/booking/directory page | https://bravosdetailing.square.site/,,Car Detailers
MNT Detailing,,+1-805-827-1160,,,Oxnard,CA,P1 | Class A | only a Facebook/booking/directory page | http://mntdetailing.square.site/,,Car Detailers
Solis Auto Detailing,,+1-805-758-0346,,"Unique Auto Center, 1101 Saviers Rd, Oxnard, CA 93033, United States",Oxnard,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/solis_autodetailing?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Torres Mobile CarWash & Detailing,,+1-805-760-4253,,,Oxnard,CA,P1 | Class A | only a Facebook/booking/directory page | https://torresdetail.square.site/,,Car Detailers
Valexy mobile car wash & auto detail,,+1-626-620-1342,,,Oxnard,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/valexycarwash?igsh=OGQ5ZDc2ODk2ZA==&utm_source=qr,,Car Detailers
1 Auto Detail,,+1-714-495-7381,,,Riverside,CA,P1 | Class A | only a Facebook/booking/directory page | https://1-auto-detail.square.site/,,Car Detailers
Apex Detailing CA,,+1-805-368-7935,,,Simi Valley,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.apexdetailingca.square.site/,,Car Detailers
MAB Auto Spa,,+1-818-826-0826,,"1351 E Jefferson Wy, Simi Valley, CA 93065, United States",Simi Valley,CA,P1 | Class A | only a Facebook/booking/directory page | https://mabautospa.square.site/,,Car Detailers
So Cal Detailing,,+1-818-437-2583,,,Simi Valley,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/m97x6l7xfvoy15/location/L777MYKJPFWZA/services,,Car Detailers
Janos Mobile Detailing,,+1-805-341-9932,,"1211 E Avenida De Los Arboles, Thousand Oaks, CA 91360, United States",Thousand Oaks,CA,P1 | Class A | only a Facebook/booking/directory page | https://janosmobiledetailing.square.site/,,Car Detailers
Anthony’s Mobile Detailing,,+1-747-344-6228,,,Burbank,CA,P2 | Class A | no website found on Google,,Car Detailers
5 Star Mobile Detail and Car wash,,+1-805-607-8691,,"606 Dorena Dr, Newbury Park, CA 91320, United States",Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
Cali's Detailing,,+1-805-819-8776,,"49 Raemere St, Camarillo, CA 93010, United States",Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
Classic Detailing,,+1-805-558-1003,,"436 Via Del Lago, Newbury Park, CA 91320, United States",Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
Evolution Mobile detailing,,+1-805-248-2774,,"735 W Ventura Blvd STE B, Camarillo, CA 93010, United States",Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
Executive auto detailing CO,,+1-805-414-3828,,,Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
Eye Catcher's Unlimited,,+1-805-388-0446,,"Camarillo, CA 93010, United States",Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
LucidLenz805,,+1-805-657-4392,,,Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
SRVdetail,,+1-805-284-8972,,"13170 Andalusia Dr, Camarillo, CA 93012, United States",Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
The Detail Doctor,,+1-805-388-5660,,"817 Osage Cir, Camarillo, CA 93012, United States",Camarillo,CA,P2 | Class A | no website found on Google,,Car Detailers
Mena Mobile Carwash and Detail,,+1-661-916-4085,,,Lancaster,CA,P2 | Class A | no website found on Google,,Car Detailers
4 Season Detailing,,+1-805-330-1791,,"535 Diaz Ave, Oxnard, CA 93030, United States",Oxnard,CA,P2 | Class A | no website found on Google,,Car Detailers
805Detailz - Mobile detailing,,+1-805-827-3205,,"Henry Pl, Oxnard, CA 93033, United States",Oxnard,CA,P2 | Class A | no website found on Google,,Car Detailers
All star detail,,+1-805-908-2106,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Detailers
Beyond Detail,,+1-805-443-4258,,"132 Lambert St #1, Oxnard, CA 93036, United States",Oxnard,CA,P2 | Class A | no website found on Google,,Car Detailers
Classic Auto Detail,,+1-805-793-6671,,"233 St Marys Dr, Oxnard, CA 93036, United States",Oxnard,CA,P2 | Class A | no website found on Google,,Car Detailers
DLM Auto Spa,,+1-805-336-2132,,,Oxnard,CA,P2 | Class A | no website found on Google,,Car Detailers
