Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
A1 Auto Detailing wash & wax,,+1-209-735-9737,,"2200 Rockefeller Dr #7, Ceres, CA 95307, United States",Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://m.facebook.com/A1-Auto-Detailing-wash-wax-1624008194551063/,,Car Detailers
Elite Care Detailing,,+1-209-300-3118,,,Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/elite_care_detailing_?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Freshh Details,,+1-209-968-4676,,,Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/freshhdetails,,Car Detailers
GlowPro Detailing,,+1-209-252-4165,,"1937 Mitchell Rd, Ceres, CA 95307, United States",Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=61583633626685&mibextid=ZbWKwL,,Car Detailers
Holy Shine Auto Detailing,,+1-209-395-1114,,,Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/holyshinedetailing,,Car Detailers
Jetz_detailing,,+1-209-287-9492,,,Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.tiktok.com/@jetz_detailing?_r=1&_t=ZT-97DDHj0m5UM,,Car Detailers
J’s Auto Spa,,+1-209-552-6309,,"2201 Shadowbrook Way, Modesto, CA 95351, United States",Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/js_autospa_?utm_medium=copy_link,,Car Detailers
Nunez Details,,+1-209-809-5339,,,Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/nunezdetails209?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Detailers
Premium Mobile Detailing®️,,+1-209-496-7727,,"2400 Echo Park Ct, Modesto, CA 95358, United States",Ceres,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/premium_mobiledetailing/,,Car Detailers
D-LUX DETAILS,,+1-209-629-2000,,,Modesto,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/dmh58c0spwld00/location/L3A3C9Z048XQV/services,,Car Detailers
James Details,,+1-209-719-8737,,"123 Eula Dr, Modesto, CA 95354, United States",Modesto,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/james_details0,,Car Detailers
Platinum Wash & Mobile Detail LLC,,+1-209-841-9400,,,Modesto,CA,P1 | Class A | only a Facebook/booking/directory page | http://platinum-wash-mobile-detail-llc.square.site/,,Car Detailers
J.B'S Detailing,,+1-209-895-9207,,,Patterson,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/J.BS.Detailing1/?ref=page_internal,,Car Detailers
AA Detailing Co.,,+1-209-683-0440,,"1650 Greenwood Ln, Turlock, CA 95380, United States",Turlock,CA,P1 | Class A | only a Facebook/booking/directory page | https://aadetailco.square.site/,,Car Detailers
BC Auto Detailing,,+1-209-225-7191,,,Turlock,CA,P1 | Class A | only a Facebook/booking/directory page | http://bcautodetailing.square.site/,,Car Detailers
SM Auto Detailing,,+1-209-410-2248,,"1091 Teakwood St, Turlock, CA 95380, United States",Turlock,CA,P1 | Class A | only a Facebook/booking/directory page | https://square.site/book/LV9YVHX3BSPAA/sm-auto-detailing-turlock-ca,,Car Detailers
Speedy Wax and Shine Detail,,+1-916-599-3944,,,Turlock,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/speedywaxandshinedetail?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Top Tier Detailing,,+1-209-226-2175,,"845 Jessica St, Turlock, CA 95380, United States",Turlock,CA,P1 | Class A | only a Facebook/booking/directory page | http://toptierdetailing209.square.site/,,Car Detailers
Visalia Auto Spa,,+1-559-381-6620,,,Visalia,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/visalia_auto_spa,,Car Detailers
A Plus Auto Detailing,,+1-209-345-1408,,"1001 Reno Ave, Modesto, CA 95351, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Adelfos AutoDetailing,,+1-209-750-8137,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
America Auto Detail / Ceramic Pro,,+1-209-559-0733,,"11 Urmi Ave, Ceres, CA 95307, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Catrin Detailing,,+1-209-618-6976,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Ceres Mobile Auto Detailing,,+1-209-485-7889,,"2925 Alphonse Dr, Ceres, CA 95307, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Dying Breed Detailing,,+1-209-281-1550,,"5278 Jerusalem Ct Ste 2, Modesto, CA 95356, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Final Touch mobile detailing,,+1-209-681-3766,,"2316 Glendale Ave, Modesto, CA 95354, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Gold Blooded Detailing,,+1-209-214-9163,,"928 Stonum Rd, Modesto, CA 95351, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Golden Hour Auto Detailing,,+1-209-214-9461,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
HP Auto Detailing,,+1-209-300-9959,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Happy Car Detail,,+1-209-303-8965,,"701 M St, Modesto, CA 95354, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Happy Jetts auto sales/detailing & more,,+1-510-822-4052,,"613 S 9th St, Modesto, CA 95351, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
K1 Auto Detailing,,+1-408-597-5522,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
LJDC DETAIL CO,,+1-209-808-3045,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Limitless Auto Detailing,,+1-209-409-1387,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Luke's Auto Detailing,,+1-209-485-8884,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Luxe Mobile Detailing,,+1-209-608-4978,,"216 Yosemite Ave, Modesto, CA 95351, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Mobile Auto Detailing Gold Coast detailing,,+1-209-303-0645,,"2316 Glendale Ave, Modesto, CA 95354, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Mr Shiny Mobile Car Detailing Modesto,,+1-201-720-5158,,"Near 409, W Morris Ave, Modesto, CA 95354, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
PRIME AUTO DETAILING,,+1-209-303-6569,,"1411 Yosemite Blvd, Modesto, CA 95354, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Perfect Detail,,+1-209-618-0532,,"405 McHenry Ave B, Modesto, CA 95354, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Raw auto interior detailing,,+1-209-222-8254,,"2841 Fowler Rd, Ceres, CA 95307, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Second2noneGarage,,+1-209-252-5505,,"903 Kansas Ave, Modesto, CA 95351, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
The Elite Detailers,,+1-209-281-9360,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Top Notch Detail and Window Tint Modesto,,+1-209-595-6415,,"1020 Partee Ln, Ceres, CA 95307, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Toriitos auto Details inc,,+1-209-303-4551,,"696 Crows Landing Rd Suite E, Modesto, CA 95351, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Valley Detailing,,+1-209-541-5009,,,Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
Xgmobiledetailing,,+1-209-360-8453,,"2228 Lavon Ln, Ceres, CA 95307, United States",Ceres,CA,P2 | Class A | no website found on Google,,Car Detailers
JS DETAILING SERVICE,,+1-916-335-2881,,,Elk Grove,CA,P2 | Class A | no website found on Google,,Car Detailers
