Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
All In One Detailing,,+1-661-549-9770,,"3454 Alken St ste b, Bakersfield, CA 93308, United States",Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://all-in-one-detailing-103193.square.site/?fbclid=PAZXh0bgNhZW0CMTEAAabu3OSac69I_jNw49nGbJFdO-g79pz5GUKjncLgfFf7jJST99BVWoxZvrY_aem_ShndM-UQFvxIyD86U5fsXA,,Car Detailers
Bakersfield Premier Detailing,,+1-661-421-1718,,,Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/BPDetail/?ref=page_internal,,Car Detailers
Brian’s Mobile Detailing,,+1-661-421-4171,,"4819 La Posta St, Bakersfield, CA 93307, United States",Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://brianautodetail.square.site/,,Car Detailers
Kurt's Auto Detailing,,+1-661-817-2608,,"5311 Silvergate St, Bakersfield, CA 93313, United States",Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/kurtsautodetailing/,,Car Detailers
OG DETAILING,,+1-831-889-3175,,"Heely Ct, Bakersfield, CA 93311, United States",Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://ogdetail.booksy.com/,,Car Detailers
Overkill Detailing,,+1-661-699-3917,,"2809 Laurel Dr, Bakersfield, CA 93304, United States",Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/overkilldetailingllc/,,Car Detailers
Platinum Detail Studio | Window Tinting | Ceramic Coatings,,+1-661-889-8443,,"2429 Fruitvale Ave Ste 10, Bakersfield, CA 93308, United States",Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://square.site/book/3WVAG8HZF19BN/platinum-mobile-auto-detailing,,Car Detailers
Stan's Detail Center,,+1-661-325-4845,,"2215 N St, Bakersfield, CA 93301, United States",Bakersfield,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/stans_detail_center?igshid=1wx0akuclj0rf,,Car Detailers
Iron Detailing,,+1-661-912-3610,,"1500 Poplar Ave Apt. 11B, Wasco, CA 93280, United States",Delano,CA,P1 | Class A | only a Facebook/booking/directory page | https://iron-detailing.square.site/,,Car Detailers
AB Mobile Carwash & Detail,,+1-661-302-2971,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Detailers
All Shine No Grime Detailing,,+1-661-900-6825,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Detailers
Aloha Mobile Wash & Detail,,+1-661-487-1541,,,Bakersfield,CA,P2 | Class A | no website found on Google,,Car Detailers
Azul Detailing,,+1-661-670-6343,,"Bakersfield, CA 93309, United States",Bakersfield,CA,P2 | Class A | no website found on Google,,Car Detailers
