Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Rod’s Auto Detailing,,+1-530-228-5874,,,Chico,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/rods_auto_detailing/profilecard/?igsh=MzRlODBiNWFlZA==,,Car Detailers
Dripping Wet Auto Detailing,,+1-209-287-9150,,"Pacheco and 10th, Los Banos, CA 93635, United States",Los Banos,CA,P1 | Class A | only a Facebook/booking/directory page | http://www.instagram.com/drippingwetauto,,Car Detailers
The Foam Spa,,+1-831-905-2207,,,Los Banos,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/thefoamspa,,Car Detailers
Valley Top Car Detailing,,+1-209-737-4690,,,Los Banos,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/valleytopdetailing?utm_source=linktree_admin_share,,Car Detailers
diamond_detailing_209,,+1-209-829-9862,,"Los Banos, CA 93635, United States",Los Banos,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/p/C4nzq9iRMe6/,,Car Detailers
Car Detailing 209 (Mobile Detailing),,+1-209-600-1505,,,Mariposa,CA,P1 | Class A | only a Facebook/booking/directory page | https://app.urable.com/virtual-shop/8JkYwFa8W3KuAmNTDzUg,,Car Detailers
LV Reflection Detailing,,+1-209-626-6280,,,Mariposa,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/lv.reflection?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
OP STANDARD DETAILING,,+1-209-259-0150,,,Mariposa,CA,P1 | Class A | only a Facebook/booking/directory page | https://app.urable.com/virtual-shop/oh9Hu4vvQVE4BXKHk2Rl,,Car Detailers
O`s Detailing,,+1-209-769-8918,,,Mariposa,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/osdetailing209,,Car Detailers
Vargas Signature Detail,,+1-831-406-9779,,,Mariposa,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/jd_.detailing?igsh=OGQ5ZDc2ODk2ZA==&utm_source=qr,,Car Detailers
Delgado's Detail,,+1-209-355-0705,,,Merced,CA,P1 | Class A | only a Facebook/booking/directory page | https://delgadosdetail.square.site/,,Car Detailers
Nate’s Headlight Restoration & Cleaning (Headlights By Nate),,+1-209-233-0893,,,Merced,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/headlightsbynate,,Car Detailers
Top Level Auto Detailing • PPF • Ceramic Coatings • Interior/Exterior Details • Polishing,,+1-209-449-6802,,"341 Business Park Way Ste E, City of Atwater, CA 95301, United States",Merced,CA,P1 | Class A | only a Facebook/booking/directory page | https://toplevel-auto-detailing.square.site/,,Car Detailers
Valleys finest detail Co,,+1-209-681-4934,,,Merced,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/valleysfinestdetail.co?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Windy City Detailing,,+1-209-819-0057,,,Merced,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/WindyCityDetailingMerced/,,Car Detailers
Pearl Shine Auto Detailing,,+1-530-537-6868,,,Elk Grove,CA,P2 | Class A | no website found on Google,,Car Detailers
LPS Detailing,,+1-209-263-5112,,,Galt,CA,P2 | Class A | no website found on Google,,Car Detailers
5-Stardetailing,,+1-209-495-3905,,,Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
ACE Mobile Auto Detailing,,+1-408-724-2402,,,Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
Aurum Auto Studio,,+1-408-422-3618,,"339 H St, Los Banos, CA 93635, United States",Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
CalPro Detailing,,+1-209-519-3176,,,Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
DeLeon auto detailing,,+1-408-661-4438,,"1121 Symphony St, Los Banos, CA 93635, United States",Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
Ernesto's,,+1-209-270-0501,,,Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
Express Auto Spa & Detail,,+1-209-619-1950,,,Los Banos,CA,P2 | Class A | no website found on Google,,Car Detailers
