Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Azevedo Detail,,+1-925-250-4368,,,Concord,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/azevedodetail/,,Car Detailers
I.C.Details,,+1-831-240-9150,,"1943 Princeton Ct, Salinas, CA 93906, United States",Monterey,CA,P1 | Class A | only a Facebook/booking/directory page | https://app.urable.com/virtual-shop/5BhVDnJIrIKrFrH01avm,,Car Detailers
Driveway Auto Detail,,+1-831-809-1102,,"15 Rincon Ave, Salinas, CA 93905, United States",Salinas,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/invites/contact/?i=9hymx8562h8y&utm_content=lgwwfj6,,Car Detailers
LS Details,,+1-831-747-0026,,"328 Larson Ln, Greenfield, CA 93927, United States",Salinas,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/lsdetailss?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
MaxShine Auto Detailing,,+1-831-269-6745,,,Salinas,CA,P1 | Class A | only a Facebook/booking/directory page | http://facebook.com/maxshinead,,Car Detailers
Zavala Auto Detailing,,+1-831-809-9887,,,Salinas,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/zavalaautodetailing?igshid=OGQ5ZDc2ODk2ZA==,,Car Detailers
Victory Auto Clean,,+1-831-421-2467,,,Escondido,CA,P2 | Class A | no website found on Google,,Car Detailers
A&O Automotive Mobile Detailing,,+1-831-601-7217,,,Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
Auto Shine Detailing,,+1-831-917-6715,,"1278 Hamilton Ave, Seaside, CA 93955, United States",Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
Hernandez mobile car detail,,+1-831-210-7014,,"222 Cypress Ave, Marina, CA 93933, United States",Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
L&C Detailing,,+1-831-265-2463,,,Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
Mc Call Motorsports,,+1-831-372-6433,,"517 Airport Way # C, Monterey, CA 93940, United States",Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
Primedetails831,,+1-831-383-3402,,,Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
ivan’s Autodetailing 🧪,,+1-831-328-2926,,"12825 Vía Linda, Castroville, CA 95012, United States",Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
superior auto detail,,+1-831-601-1831,,"Monterey Bay Coastal Trail, Monterey, CA 93940, United States",Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
Locastro's Pinstriping,,+1-805-296-6736,,,Paso Robles,CA,P2 | Class A | no website found on Google,,Car Detailers
3 Kings Auto Detail,,+1-831-596-0181,,"Riker St, Salinas, CA 93901, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
A&J Mobile Detailing,,+1-831-809-7368,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
AutoMotive Detailing,,+1-831-269-6223,,"1312 Linwood Dr, Salinas, CA 93906, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
AutomobileDetailBros,,+1-831-223-6587,,"1124 San Gabriel, Soledad, CA 93960, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Coastal Details,,+1-831-455-6462,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Cortes Express Detailing,,+1-831-210-0790,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Cruz Auto Detailing,,+1-831-258-1869,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Fresh Whips Mobile Detailing,,+1-831-383-0282,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Highline detail,,+1-831-229-0616,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
I.details.831 Mobile Detailing,,+1-831-756-4195,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
JR's Mobile Detailing,,+1-831-710-0955,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Leo's Mobile Interior Detailing,,+1-209-291-9761,,"18760 Linda Vista Pl, Prunedale, CA 93907, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
MAD Detailing,,+1-831-210-5892,,"216 Boronda Rd Unit A4, Salinas, CA 93907, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Royal Details at Perfection,,+1-831-235-1009,,"1112 N Sanborn Rd Apt 2, Salinas, CA 93905, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Sunshine Mobile Automotive Detailing,,+1-831-236-5784,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Tito's Mobile Detail,,+1-831-585-4886,,"2006 Santa Rita St, Salinas, CA 93906, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
WC Twins Car Detailing,,+1-507-840-1335,,"1007 Beech St, Salinas, CA 93905, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Wetless wash & Detail,,+1-831-272-8817,,"820 Park Row, Salinas, CA 93901, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
nv autospa,,+1-831-296-0889,,"18699 Eisenhower St, Salinas, CA 93906, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
831RicardoDetailing,,+1-831-869-3011,,,Seaside,CA,P2 | Class A | no website found on Google,,Car Detailers
HyLo Detailing,,+1-831-710-0225,,,Seaside,CA,P2 | Class A | no website found on Google,,Car Detailers
Luxury Auto Detailing,,+1-831-284-9287,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Royalty Auto Detailing,,+1-831-750-9998,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Diamond detail,,+1-408-658-5362,,"Del Monte Blvd, Seaside, CA 93955, United States",Monterey,CA,P3 | Class A | website broken or unreachable | http://www.xn--diamonddetailz-8ua3199jba.org/,,Car Detailers
APL Auto Detailing,,+1-831-235-0069,,,Salinas,CA,P3 | Class A | website broken or unreachable | http://aplautodetailing.com/home-1,,Car Detailers
Adrian Mobile Detail,,+1-831-737-3113,,"228 Amador, Soledad, CA 93960, United States",Salinas,CA,P3 | Class A | website broken or unreachable | http://adrianmobiledetailsirveces.com/miduimcc,,Car Detailers
Bling Bling King Clean,,+1-831-800-3191,,"635 Sanborn Pl Suite 7, Salinas, CA 93901, United States",Salinas,CA,P3 | Class A | website broken or unreachable | http://blingblingkingclean.com/,,Car Detailers
Hydro Swift Mobile Detailing,,+1-831-594-4720,,,Salinas,CA,P3 | Class A | website broken or unreachable | https://www.hydroswiftautodetailing.com/home,,Car Detailers
LucidWorx,,+1-831-785-9709,,"1280 Rider Ave spc 17, Salinas, CA 93905, United States",Salinas,CA,P3 | Class A | website broken or unreachable | https://washy.pro/lucidworx/landing,,Car Detailers
Avila’s Auto Detailing,,+1-831-682-8885,,,Seaside,CA,P3 | Class A | website broken or unreachable | https://avilasautodetailing.com/,,Car Detailers
A&I Auto Detailing,,+1-831-756-6358,,,Greenfield,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/ai_detailing1/,,Car Detailers
Cardetailz831,,+1-831-269-4098,,,Salinas,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://cardetailz831.square.site/s/appointments,,Car Detailers
Delgados Details LLC,,+1-831-484-8977,,,Salinas,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://delgados-details-llc.square.site/,,Car Detailers
Central Coast Wraps & Detail,,+1-831-296-6889,,,Salinas,CA,V1 | P2 | Class A | no website found,,Car Detailers
"Grease Monkeys Customs, Window Tinting & Detailing",,+1-831-776-0755,,,Salinas,CA,V1 | P2 | Class A | no website found,,Car Detailers
Organic Detailing,,+1-831-484-8404,,,Salinas,CA,V1 | P2 | Class A | no website found,,Car Detailers
Herreras Auto Detailing,,+1-831-258-6089,,,Salinas,CA,V1 | P3 | Class A | website broken or unreachable | https://www.appointfix.com/Herreras-Auto-Detail,,Car Detailers
