Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
ELITE MOBILE DETAILING,,+1-279-256-6065,,,Citrus Heights,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/emd_sacramento/,,Car Detailers
Sohanpal Shines 916,,+1-916-626-1779,,"1333 Southwick Ln, Lincoln, CA 95648, United States",Lincoln,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/qvwdygpxmk?utm_source=linktree_profile_share&ltsid=a18d4048-951b-48e8-bc0c-6989aea1c272,,Car Detailers
Odius Auto Detailing,,+1-916-472-5441,,,Rocklin,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/OdiusAutoDetailing,,Car Detailers
Roseville Veteran Detailing,,+1-530-350-9148,,"1623 Cindy Cir B, Roseville, CA 95661, United States",Roseville,CA,P1 | Class A | only a Facebook/booking/directory page | http://roseville-veteran-detailing.square.site/,,Car Detailers
Classic Detail,,+1-916-783-9393,,"324 Church St, Roseville, CA 95678, United States",Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Detailers
GK Detailing,,+1-916-757-2632,,,Citrus Heights,CA,P2 | Class A | no website found on Google,,Car Detailers
Upgrade Auto Details,,+1-916-229-8720,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
JS Motorsports,,+1-916-201-5985,,,Folsom,CA,P2 | Class A | no website found on Google,,Car Detailers
OG Mobile Detailing,,+1-916-936-7123,,,Folsom,CA,P2 | Class A | no website found on Google,,Car Detailers
Transform Auto Detailing,,+1-916-295-3123,,,Folsom,CA,P2 | Class A | no website found on Google,,Car Detailers
NorCal Dependable Mobile Detailing,,+1-530-648-8331,,,Grass Valley,CA,P2 | Class A | no website found on Google,,Car Detailers
Bhatoy Detailing,,+1-530-443-6036,,"5696 Saratoga Cir, Rocklin, CA 95765, United States",Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
Bucket Hat Detailing,,+1-916-295-2194,,"2256 Torc Mountain Ln, Lincoln, CA 95648, United States",Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
Carson Cleans Cars,,+1-916-474-9427,,,Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
Clean Freaks Detailing,,+1-833-772-3687,,"6520 Lonetree Blvd #2022, Rocklin, CA 95765, United States",Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
Nomad detailing,,+1-916-915-4601,,"1801 Figg St, Lincoln, CA 95648, United States",Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
OnyxShine Detailing,,+1-916-975-3860,,,Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
Sparkle N Clean Mobile Auto Detailing,,+1-916-521-1010,,,Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
Xpress detailing llc,,+1-916-295-8694,,,Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
