Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
J's Auto Detailing,,+1-530-715-4144,,"2961 CA-32 #22, Chico, CA 95973, United States",Chico,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/Js-Auto-Detailing-101972524777601/,,Car Detailers
Luminous Detailing & Ceramic Coatings,,+1-530-721-7718,,,Chico,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/iuwzu1oypfvcjh/location/LY5JGK160JH72/services,,Car Detailers
Curry’s Detailing,,+1-530-712-7446,,"1915 5th St, Oroville, CA 95965, United States",Oroville,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/n3g49aldq42rgm/location/LEGPQ13AAR6BV/services,,Car Detailers
GT Detailing,,+1-530-353-7999,,"2560 Feather River Blvd, Oroville, CA 95965, United States",Oroville,CA,P1 | Class A | only a Facebook/booking/directory page | https://gt-detailing.square.site/,,Car Detailers
S&P Details & Ceramic Coatings,,+1-530-403-0251,,"451 Grand Ave, Oroville, CA 95965, United States",Oroville,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/bi1kd5cbbzaygf/location/LWYC63SJX8NBF,,Car Detailers
Tangerine Detailing,,+1-530-764-6272,,,Oroville,CA,P1 | Class A | only a Facebook/booking/directory page | https://tangerine-detailing.square.site/,,Car Detailers
Advanced Car Care,,+1-530-899-8964,,"2290 Ivy St #100, Chico, CA 95928, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Bennys Auto Detailing,,+1-530-513-1620,,"Sheridan Ave, Chico, CA 95926, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Detail Bros Chico,,+1-530-680-9064,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Don’t call,,+1-530-369-4539,,"406 Nord Ave, Chico, CA 95926, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Dugan’s Detailing,,+1-530-815-9476,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
ESQUIVEL AUTO CARE AND DETAILING,,+1-530-717-5101,,"2961 CA-32 #19, Chico, CA 95973, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Farmers Detailing & Ceramic Coatings,,+1-530-826-6767,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Hurricane Auto Detail,,+1-530-591-4723,,"4331 Hedstrom Way, Chico, CA 95973, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
JC Auto Detailing,,+1-530-519-6483,,"9011 Stanford Ln, Durham, CA 95938, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Luxe Auto Detailing,,+1-530-781-2589,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Luxury Auto Detail,,+1-530-630-8507,,"1329 Sherman Ave, Chico, CA 95926, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
MIKES auto detailing,,+1-650-267-0899,,"2961 CA-32 #19, Chico, CA 95973, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Quality Automotive Detailing,,+1-760-498-8559,,"1163 Arcadian Ave, Chico, CA 95926, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Signature Details,,+1-214-815-3696,,"11 Commerce Ct, Chico, CA 95928, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
SlickNShine,,+1-530-630-7097,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Superior Shine Mobile Detailing,,+1-916-899-7915,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
TL Auto Detailing,,+1-530-487-1428,,"177 E 15th St, Chico, CA 95928, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
UHD Auto Detailing,,+1-530-717-0600,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
United Shine Chico,,+1-530-809-1976,,"2246 Esplanade, Chico, CA 95926, United States",Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
W Precision Mobile Details,,+1-530-510-0890,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
skullex mobile car detailing,,+1-530-907-7281,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
CEJ Auto Detailing,,+1-650-679-2883,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
RSC Detailing,,+1-530-216-3403,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
Soria Detailing,,+1-323-712-9543,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
BRS detailing,,+1-530-403-0105,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Burruss mobile detailing,,+1-530-353-9980,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Echelon Detail Experts,,+1-530-491-9384,,"1801-1847 Montgomery St, Oroville, CA 95965, United States",Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Jake’s Detailing,,+1-937-269-1396,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Liberty Cleaning and Auto Detailing,,+1-530-703-1466,,"2210 Oro Bangor Hwy Apt 1, Oroville, CA 95966, United States",Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Lopez_luxe_detaling,,+1-530-353-8593,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Ruiz mobile detail service,,+1-530-403-9192,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
onsite garage,,+1-530-854-0835,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Shiny mobile detail,,+1-530-703-1663,,,West Sacramento,CA,P2 | Class A | no website found on Google,,Car Detailers
Renew Detailing,,+1-209-680-6350,,,Angels Camp,CA,P3 | Class A | website broken or unreachable | http://renewdetailing209.com/,,Car Detailers
David's Automotive Detailing by Ceramic Pro,,+1-530-591-7136,,"2684 CA-32 Unit 160, Chico, CA 95973, United States",Chico,CA,P3 | Class A | parked/expired domain | https://www.davidsautomotivedetaling.com/,,Car Detailers
Strong Mobile Detailing,,+1-415-918-8639,,,Chico,CA,P3 | Class A | website broken or unreachable | http://strongmobiledetailing.co/,,Car Detailers
V8 Auto Detail,,+1-530-965-5905,,"2961 CA-32 #35, Chico, CA 95973, United States",Chico,CA,P3 | Class A | website broken or unreachable | http://www.v8autodetail.com/,,Car Detailers
MPDetailing530,,+1-530-592-8951,,,Corning,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | http://mpdetailing530.square.site/,,Car Detailers
Stealth Window Tint In Chico,,+1-530-809-2310,,,Chico,CA,V1 | P3 | Class A | website broken or unreachable | https://stealthwindowtint.com/home,,Car Detailers
Papaz Detailing,,+1-530-282-5401,,,Paradise,CA,V1 | P3 | Class A | website broken or unreachable | http://papazdetailing.com/?utm_source=gmb&utm_medium=referral,,Car Detailers
