Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
831 Auto Spa,,+1-831-313-7654,,,Hollister,CA,P1 | Class A | only a Facebook/booking/directory page | https://831autospa.square.site/,,Car Detailers
Detail Therapy Santa Cruz,,+1-831-600-5266,,,Santa Cruz,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/detailtherapysc/,,Car Detailers
Verdugo’s Mobile Detailing,,+1-831-400-9276,,"38th Ave, Santa Cruz, CA 95062, United States",Santa Cruz,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/verdugos_detailing?igsh=MzRlODBiNWFlZA==,,Car Detailers
JV Gloss Auto Spa,,+1-831-201-2670,,,Watsonville,CA,P1 | Class A | only a Facebook/booking/directory page | http://instagram.com/_jvglossautospa,,Car Detailers
Elite shine Autospa,,+1-831-869-5041,,,Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
911 Mobile wash,,+1-831-794-3527,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Always Clean Mobile Detail,,+1-831-776-2202,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Danny's Detail,,+1-831-359-8110,,"412 Airport Blvd, Watsonville, CA 95076, United States",Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Abraham Auto Detail,,+1-831-421-1934,,"1000 Water St, Santa Cruz, CA 95062, United States",Santa Cruz,CA,P2 | Class A | no website found on Google,,Car Detailers
Autospecialistz,,+1-831-794-7930,,,Santa Cruz,CA,P2 | Class A | no website found on Google,,Car Detailers
Coastal detailing,,+1-831-332-3707,,"Fairway Dr, Soquel, CA 95073, United States",Santa Cruz,CA,P2 | Class A | no website found on Google,,Car Detailers
Epic Shine Auto Detailing,,+1-831-243-5732,,"849 Almar Ave #209, Santa Cruz, CA 95060, United States",Santa Cruz,CA,P2 | Class A | no website found on Google,,Car Detailers
Nextleveldetailing831,,+1-831-428-3590,,,Santa Cruz,CA,P2 | Class A | no website found on Google,,Car Detailers
T.E.DEROCHEA ON THE SPOT DETAILING,,+1-831-400-7450,,,Santa Cruz,CA,P2 | Class A | no website found on Google,,Car Detailers
Detailed 4 You,,+1-831-840-8993,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Details By Gio,,+1-831-840-3647,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
DetailzbyDiego,,+1-831-254-7975,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Friquez Auto Detailers,,+1-831-566-3341,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Luminex Auto Lights,,+1-831-431-9959,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Revitalize Auto Care,,+1-831-254-1298,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Rodríguez mobile detailing 831,,+1-657-248-1580,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
SignatureShineDetail,,+1-831-840-1628,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Suavecitos detailing,,+1-831-539-7012,,"56 Blackbird Cir, Watsonville, CA 95076, United States",Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Superior auto spa,,+1-831-359-9451,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
V&M Detailing,,+1-831-254-7466,,"3 Crescent Dr, Watsonville, CA 95076, United States",Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Arkadiy's Mobile Luxury Car Detailing - Los Gatos,,+1-669-208-8231,,,Santa Cruz,CA,P3 | Class A | website broken or unreachable | https://www.arkadiysmobiledetailing.com/,,Car Detailers
El Chapín Mobile Car Wash,,+1-831-297-8776,,,Santa Cruz,CA,P3 | Class A | website broken or unreachable | http://elchapincarwash.com/,,Car Detailers
J&W mobile car detailing,,+1-831-348-2282,,,Santa Cruz,CA,P3 | Class A | website broken or unreachable | http://www.jwmobilecardetailing.com/,,Car Detailers
Deluxe Auto Detailing,,+1-831-238-9732,,"17 Hangar Way STE 3B, Watsonville, CA 95076, United States",Watsonville,CA,P3 | Class A | website broken or unreachable | https://www.deluxedetail.net/,,Car Detailers
precision detail,,+1-408-634-9181,,,Watsonville,CA,P3 | Class A | website broken or unreachable | https://precision-detail.com/,,Car Detailers
Shine Mobile Auto Detailing LLC,,+1-425-610-9225,,,Santa Cruz,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://shine-108727.square.site/,,Car Detailers
Ez Auto Mobile Service,,+1-408-515-6935,,,Santa Cruz,CA,V1 | P2 | Class A | no website found,,Car Detailers
Z & Z Auto Lab,,+1-920-911-9377,,,Santa Cruz,CA,V1 | P2 | Class A | no website found,,Car Detailers
Cruz Car Wash,,+1-831-476-7246,,,Soquel,CA,V1 | P2 | Class A | no website found,,Car Detailers
Fresha Auto Detail LLC,,+1-831-216-7837,,,Watsonville,CA,V1 | P2 | Class A | no website found,,Car Detailers
Gomez Mobile Auto Detail/ Ceramic protection Watsonville,,+1-831-406-2979,,,Watsonville,CA,V1 | P2 | Class A | no website found,,Car Detailers
Jaimes Detailing,,+1-831-313-6241,,,Watsonville,CA,V1 | P2 | Class A | no website found,,Car Detailers
Olas Auto Detailing,,+1-831-359-9897,,,Watsonville,CA,V1 | P2 | Class A | no website found,,Car Detailers
precision.detailing831,,+1-831-587-3833,,,Watsonville,CA,V1 | P2 | Class A | no website found,,Car Detailers
