Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Detailing Dreams,,+1-530-720-9291,,,Red Bluff,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/lurkingsc?igsh=NTc4MTIwNjQ2YQ==&utm_source=qr,,Car Detailers
Holy Detailing Mobile Detailing,,+1-530-232-7826,,,Redding,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/qr/33f16477-8397-41b9-bffa-34fdb942d701,,Car Detailers
Less Stress Details,,+1-530-440-2684,,"11814 Hootenanny Ln, Redding, CA 96003, United States",Redding,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=100082675244401&mibextid=LQQJ4d,,Car Detailers
Professional Mobile Auto Detailing,,+1-530-440-6528,,"19806 Hirsch Ct Unit 1, Anderson, CA 96007, United States",Redding,CA,P1 | Class A | only a Facebook/booking/directory page | https://m.facebook.com/100063635077651/,,Car Detailers
RCAT Detailing,,+1-530-945-8203,,"2725 Favretto Ave, Redding, CA 96001, United States",Redding,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/RCATdetailing/,,Car Detailers
Pro Detailing,,+1-530-567-8244,,,Red Bluff,CA,P2 | Class A | no website found on Google,,Car Detailers
Allstar Detailing,,+1-530-917-4970,,"2001 Hartnell Ave #24, Redding, CA 96002, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
CR BR Automotive Detailing,,+1-530-515-2853,,"9311 Irish Creek Ln, Redding, CA 96001, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Custom Auto Detailing,,+1-530-243-9590,,"1180 Industrial St F, Redding, CA 96002, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Danielson Express Detailing,,+1-530-276-8848,,"2434 Victor Ave, Redding, CA 96002, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Elite Auto Detail,,+1-530-921-2672,,"2774 Tarmac Rd, Redding, CA 96003, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Flagship Detailing,,+1-530-524-9018,,"2450 Sacramento Dr, Redding, CA 96001, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Golden State Mobile Detailing,,+1-530-806-3173,,,Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Jensen detailing,,+1-530-917-8325,,,Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Lux details mobile car detailing,,+1-530-999-8031,,,Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
My Detail Shop,,+1-530-921-6342,,"8865 Airport Rd Ste v, Redding, CA 96003, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Prime Detailing,,+1-530-524-3836,,"5260 Westside Rd, Redding, CA 96001, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
ProGleam Auto Detail,,+1-530-410-6447,,,Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
R.A.I.D Detail,,+1-530-784-7765,,"2666 Cecilia Ct, Redding, CA 96002, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Recovery Mobile Detailing,,+1-630-696-2120,,,Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Redding Auto Detail,,+1-530-921-9997,,"1270 Hartnell Ave Ste A, Redding, CA 96002, United States",Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Sterling solutions,,+1-530-782-3588,,,Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
Pops Mobile Services,,+1-530-359-8530,,,Yreka,CA,P2 | Class A | no website found on Google,,Car Detailers
Asier Auto Detailing Specialists.,,+1-530-513-9357,,"273 Boulder Creek Dr, Redding, CA 96003, United States",Redding,CA,P3 | Class A | website broken or unreachable | http://www.asierautodetail.com/,,Car Detailers
Black Diamond Detail,,+1-530-604-1270,,"3834 Fujiyama Way, Redding, CA 96001, United States",Redding,CA,P3 | Class A | website broken or unreachable | https://www.blackdiamonddetailredding.net/,,Car Detailers
On Point Auto Detailz,,+1-530-464-1536,,,Redding,CA,P3 | Class A | website broken or unreachable | https://www.onpointdetailz.com/?utm_source=gbp&utm_medium=social-profile&utm_campaign=gbp,,Car Detailers
RockCleano Car Detailing Service,,+1-530-444-8606,,"1048 Mistletoe Ln, Redding, CA 96002, United States",Redding,CA,P3 | Class A | website broken or unreachable | https://rockcleanodetail.site/,,Car Detailers
Singleton Detailing & Paint Protection,,+1-530-510-1167,,"2434 Victor Ave, Redding, CA 96002, United States",Redding,CA,P3 | Class A | website broken or unreachable | http://www.singletondetailing.com/,,Car Detailers
Splash Bros. Mobile Detailing,,+1-530-806-8602,,"4385 Hoopa Path, Redding, CA 96003, United States",Redding,CA,P3 | Class A | website broken or unreachable | https://www.splash-bros-mobile-detailing.net/,,Car Detailers
The Detailing Lab,,+1-530-638-3216,,,Redding,CA,P3 | Class A | website broken or unreachable | https://thedetailinglab.com/,,Car Detailers
2nd Chance Mobile Detailing,,+1-530-691-3312,,,Redding,CA,V1 | P2 | Class A | no website found,,Car Detailers
Empowered Services,,+1-419-631-3263,,,Redding,CA,V1 | P3 | Class A | website broken or unreachable | http://www.empoweredservicesdetailing.com/,,Car Detailers
Evolve Detailing Co,,+1-530-691-6886,,,Redding,CA,V1 | P3 | Class A | website broken or unreachable | https://evolvedetailingco.com/,,Car Detailers
Stealth Window Tint in Redding,,+1-530-882-3666,,,Redding,CA,V1 | P3 | Class A | website broken or unreachable | https://stealthwindowtint.com/home,,Car Detailers
