Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Murillo's Coatings and Auto Protection,,+1-916-230-0472,,,Citrus Heights,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/murillosautoprotection?igsh=OGQ5ZDc2ODk2ZA==,,Car Detailers
ART Detailing,,+1-916-500-4847,,,El Dorado Hills,CA,P1 | Class A | only a Facebook/booking/directory page | http://facebook.com/detailingisart,,Car Detailers
GleamWorks Mobile Detailing,,+1-530-208-5055,,,El Dorado Hills,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=61551621971674&sk=directory_personal_details,,Car Detailers
Pink Slips Automotive,,+1-530-785-5000,,,Grass Valley,CA,P1 | Class A | only a Facebook/booking/directory page | http://www.facebook.com/pinkslipsautomotive,,Car Detailers
4k Detailz,,+1-916-956-3454,,"2431 Morrene Dr, Placerville, CA 95667, United States",Placerville,CA,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/pz63411xpn5468/location/L4PD0PNGBCVNM/services,,Car Detailers
Colin's Mobile Detailing,,+1-916-280-8689,,,Rocklin,CA,P1 | Class A | only a Facebook/booking/directory page | https://colins-mobile-detailing.square.site/,,Car Detailers
Inside out mobile details,,+1-925-664-6501,,,Concord,CA,P2 | Class A | no website found on Google,,Car Detailers
AAV DETAILING,,+1-279-842-8366,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
Arrowhead Elegance - Mobile Detailing,,+1-916-705-8532,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
Derek's Mobile Detailing,,+1-530-306-2241,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
EAC Elite Auto Care Inc.,,+1-916-627-0971,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
NorCal Detailing,,+1-916-586-5019,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
Old Blue Detailing,,+1-916-800-8077,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
Palm Bros Mobile Detailing,,+1-916-260-1734,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
Schurr Detailing,,+1-858-987-6747,,,El Dorado Hills,CA,P2 | Class A | no website found on Google,,Car Detailers
Smooth Mobile Detail,,+1-916-521-6930,,,Lincoln,CA,P2 | Class A | no website found on Google,,Car Detailers
Norcal Spit Shine,,+1-530-957-5873,,,Placerville,CA,P2 | Class A | no website found on Google,,Car Detailers
Qs Mobile detailing,,+1-530-651-8374,,,Placerville,CA,P2 | Class A | no website found on Google,,Car Detailers
Indy Express Mobile Detail,,+1-650-630-4541,,,Redwood City,CA,P2 | Class A | no website found on Google,,Car Detailers
Precision Detailing & Ceramic Coating LLC,,+1-916-548-6019,,,Rocklin,CA,P2 | Class A | no website found on Google,,Car Detailers
Refine Roseville Detailing,,+1-916-299-5839,,,Rocklin,CA,P2 | Class A | no website found on Google,,Car Detailers
Lex’s Auto Detailing,,+1-650-680-6548,,,San Mateo,CA,P2 | Class A | no website found on Google,,Car Detailers
South Shore Custom Detailing,,+1-530-318-7893,,"1144 Emerald Bay Rd, South Lake Tahoe, CA 96150, United States",South Lake Tahoe,CA,P2 | Class A | no website found on Google,,Car Detailers
Mr Shine Mobile,,+1-707-317-0944,,,Vallejo,CA,P2 | Class A | no website found on Google,,Car Detailers
NorCal Mobile Detailing Specialists,,+1-510-394-5539,,,Berkeley,CA,P3 | Class A | website broken or unreachable | http://norcalmds.com/,,Car Detailers
LuxeClean Mobile Detailing,,+1-916-945-0339,,"2081 Lamego Way, El Dorado Hills, CA 95762, United States",El Dorado Hills,CA,P3 | Class A | website broken or unreachable | https://www.luxecleanmd.com/,,Car Detailers
Tacky Mac Detailing,,+1-925-448-1781,,,El Dorado Hills,CA,P3 | Class A | website broken or unreachable | https://tackydetailing.com/,,Car Detailers
O.S. Suds,,+1-530-903-3074,,,Placerville,CA,P3 | Class A | website broken or unreachable | https://www.ossudsautodetailing.com/,,Car Detailers
Blackout Detailing,,+1-669-271-2106,,,Roseville,CA,P3 | Class A | website broken or unreachable | https://blackoutdetailing.org/,,Car Detailers
Grand Luxury Detailing LLC.,,+1-916-899-9358,,,Granite Bay,CA,V1 | P2 | Class A | no website found,,Car Detailers
Paragon Automotive Detail,,+1-916-412-7840,,,El Dorado Hills,CA,V1 | P3 | Class A | website broken or unreachable | https://www.purveyorsofshine.com/,,Car Detailers
Niemann's Auto Touch Inc.,,+1-530-622-5418,,,Placerville,CA,V1 | P3 | Class A | website broken or unreachable | http://niemannsautotouch.com/,,Car Detailers
A&N Protective Films,,+1-916-305-0095,,,Rocklin,CA,V1 | P3 | Class A | website broken or unreachable | https://anprotectivefilms.com/,,Car Detailers
