Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Fresh Look Detailing LLC,,+1-707-515-0743,,"1905 H St, Eureka, CA 95501, United States",Arcata,CA,P1 | Class A | only a Facebook/booking/directory page | http://freshlook707.square.site/,,Car Detailers
E.G Auto Detailing,,+1-715-781-5815,,"1260 N Park Ln, McKinleyville, CA 95519, United States",Arcata,CA,P2 | Class A | no website found on Google,,Car Detailers
Mobile Car Wash & Detailing,,+1-805-396-4889,,"1971 Daniels St, Arcata, CA 95521, United States",Arcata,CA,P2 | Class A | no website found on Google,,Car Detailers
Redwood Reflections Mobile Detailing,,+1-707-572-5744,,,Arcata,CA,P2 | Class A | no website found on Google,,Car Detailers
Spot to Spot Mobile Detailing,,+1-707-382-0773,,"3065 McKinleyville Ave A, McKinleyville, CA 95519, United States",Arcata,CA,P2 | Class A | no website found on Google,,Car Detailers
The Detail Surgeon,,+1-707-440-9868,,"2330 Central Ave #3, McKinleyville, CA 95519, United States",Arcata,CA,P2 | Class A | no website found on Google,,Car Detailers
Tilley's mobil Detailing service,,+1-707-440-9006,,,Arcata,CA,P2 | Class A | no website found on Google,,Car Detailers
Tymber’s Automotive Detailing,,+1-435-219-5128,,,Arcata,CA,P2 | Class A | no website found on Google,,Car Detailers
707 Mobile Auto Detailing,,+1-707-854-5284,,,Eureka,CA,P2 | Class A | no website found on Google,,Car Detailers
AC's Auto Detailing,,+1-707-298-3676,,,Eureka,CA,P2 | Class A | no website found on Google,,Car Detailers
Deep Clean Detailing,,+1-707-496-2573,,"2039 Broadway St Unit B, Eureka, CA 95501, United States",Eureka,CA,P2 | Class A | no website found on Google,,Car Detailers
Elite Auto Detailing,,+1-707-273-0360,,"F St, Eureka, CA 95503, United States",Eureka,CA,P2 | Class A | no website found on Google,,Car Detailers
Topetes Auto Detail,,+1-707-362-9531,,,Eureka,CA,P2 | Class A | no website found on Google,,Car Detailers
Unlimited Detail,,+1-707-613-7143,,"2000 Rolica Cir, Eureka, CA 95503, United States",Eureka,CA,P2 | Class A | no website found on Google,,Car Detailers
American Auto Detail,,+1-707-445-2947,,"2332 2nd St, Eureka, CA 95501, United States",Arcata,CA,P3 | Class A | website broken or unreachable | http://americanautodetail.shop/,,Car Detailers
Juniors Auto Detail,,+1-707-444-3696,,"1824 5th St, Eureka, CA 95501, United States",Arcata,CA,P3 | Class A | website broken or unreachable | http://www.juniorsautodetailhumboldt.com/,,Car Detailers
Redwood Auto Detail,,+1-707-498-6882,,,Arcata,CA,P3 | Class A | website broken or unreachable | https://redwoodautodetail.org/,,Car Detailers
Refined Vision Detailing,,+1-707-854-5012,,"26 W 6th St, Eureka, CA 95501, United States",Arcata,CA,P3 | Class A | website broken or unreachable | http://www.refinedvisiondetailing.com/,,Car Detailers
Apex Auto,,+1-707-840-6200,,,Arcata,CA,V1 | P2 | Class A | no website found,,Car Detailers
GlowGo,,+1-707-599-6635,,,Eureka,CA,V1 | P2 | Class A | no website found,,Car Detailers
Mendes Family Auto Detailing,,+1-707-725-1893,,,Fortuna,CA,V1 | P2 | Class A | no website found,,Car Detailers
Platinum Detail,,+1-707-617-2580,,,Fortuna,CA,V1 | P2 | Class A | no website found,,Car Detailers
Partners In Grime Detailing,,+1-707-923-2285,,,Redway,CA,V1 | P2 | Class A | no website found,,Car Detailers
The Detail Shop,,+1-707-499-8880,,,Willow Creek,CA,V1 | P2 | Class A | no website found,,Car Detailers
