Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Joses official tru.shine,,+1-510-701-4888,,,Hayward,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/josesofficialtru.shine?igsh=MWFpYzU0ajBnYnBmOA==&utm_source=qr,,Car Detailers
831 Tys mobile autodetailing,,+1-831-383-2298,,"7450 Lovers Ln, Hollister, CA 95023, United States",Hollister,CA,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/Tyy831,,Car Detailers
Mobile Auto Spa,,+1-831-673-5097,,,Hollister,CA,P1 | Class A | only a Facebook/booking/directory page | https://mobile-auto-spa-148019.square.site/,,Car Detailers
Perfect Auto Details,,+1-209-752-9300,,,Hollister,CA,P1 | Class A | only a Facebook/booking/directory page | https://squareup.com/appointments/book/v837r9iukus3mr/L9CSQ54NS4XFV/services,,Car Detailers
GP Detailing,,+1-831-498-3514,,,Salinas,CA,P1 | Class A | only a Facebook/booking/directory page | https://squareup.com/appointments/book/ft5mshbzp21t5u/L9PT6AP28QQQ5/services,,Car Detailers
RC Mobile Detailing,,+1-209-996-7230,,,Gilroy,CA,P2 | Class A | no website found on Google,,Car Detailers
California Finest Auto Salon,,+1-831-207-1524,,"41 5th St Ste B, Hollister, CA 95023, United States",Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
E&S mobile detailing,,+1-831-537-6956,,,Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
Elite Auto Detailing,,+1-831-297-4942,,"40 Thompson St, Hollister, CA 95023, United States",Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
Forsyth detailing and tint,,+1-831-313-2024,,"1586 Foxtail Ct, Hollister, CA 95023, United States",Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
OT’S MOBILE PERFECT SHINE,,+1-831-821-2437,,,Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
Pro Spectrum Auto,,+1-408-707-7000,,,Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
ProShine Auto Detail,,+1-831-265-9881,,,Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
Royal Clean Detailing,,+1-831-313-6567,,,Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
Xtreme Wash,,+1-831-673-1639,,,Hollister,CA,P2 | Class A | no website found on Google,,Car Detailers
BullDog Auto Mobile Detail & Wash LLC,,+1-408-646-2861,,,Lancaster,CA,P2 | Class A | no website found on Google,,Car Detailers
RC Finishing Touch,,+1-831-236-9128,,,Monterey,CA,P2 | Class A | no website found on Google,,Car Detailers
Chempro Auto Detailing,,+1-831-276-6359,,,Salinas,CA,P2 | Class A | no website found on Google,,Car Detailers
Tyler's Auto Care,,+1-415-310-4095,,,Santa Maria,CA,P2 | Class A | no website found on Google,,Car Detailers
Handy Mike does it all,,+1-831-406-1379,,,Watsonville,CA,P2 | Class A | no website found on Google,,Car Detailers
Brilliance Auto Detailing,,+1-831-235-1344,,,Salinas,CA,P3 | Class A | website broken or unreachable | https://www.icdetails.net/,,Car Detailers
FM Detailing,,+1-415-919-8781,,,Walnut Creek,CA,P3 | Class A | website broken or unreachable | https://www.fm-detailing.com/,,Car Detailers
