Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Detail By Luis,,+1-530-315-4466,,,Marysville,CA,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/detailbyluis,,Car Detailers
Nate’s Detailing,,+1-916-257-0751,,,Marysville,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/natesdetails_?igsh=YTQwZjQ0NmI0OA==&utm_source=qr,,Car Detailers
Dream Details Yuba City,,+1-530-455-9483,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
I-And-E-Detail-And-Co,,+1-530-649-4015,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
Turbo Detail,,+1-530-237-4660,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
Cesar's Auto Detailing,,+1-530-813-3789,,"3580 Butte House Rd, Yuba City, CA 95993, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Decker Detailing Services,,+1-530-674-5406,,"1097 Kimberly Dr, Yuba City, CA 95993, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Detail Cleaner,,+1-530-237-4619,,"Shanghai Bend Rd, Yuba City, CA 95991, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
GlossBoss Auto Detailing,,+1-530-312-4991,,"1530 Jodi Dr, Yuba City, CA 95993, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
K.A.M Detailing,,+1-530-812-3719,,,Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Metalwax,,+1-530-923-2972,,"1250 Market St, Yuba City, CA 95991, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Quality detailing,,+1-530-645-8472,,"250 Bridge St, Yuba City, CA 95991, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Royal Detailing,,+1-530-990-6528,,,West Sacramento,CA,P2 | Class A | no website found on Google,,Car Detailers
A1 mobile detail and wash,,+1-530-682-3175,,"849 Lincoln Rd, Yuba City, CA 95991, United States",Yuba City,CA,P2 | Class A | no website found on Google,,Car Detailers
Detail Dudes Yuba City,,+1-530-755-8838,,"2717 Palm St, Sutter, CA 95982, United States",Yuba City,CA,P2 | Class A | no website found on Google,,Car Detailers
Lopez Auto Detailing Services,,+1-530-821-7995,,,Yuba City,CA,P2 | Class A | no website found on Google,,Car Detailers
Superior Auto Detail,,+1-530-565-3271,,"727 Anna Dr, Yuba City, CA 95993, United States",Yuba City,CA,P2 | Class A | no website found on Google,,Car Detailers
Yuba City Quality Detail,,+1-530-933-8302,,"Eureka Dr, Yuba City, CA 95991, United States",Yuba City,CA,P2 | Class A | no website found on Google,,Car Detailers
Evolution Customz,,+1-530-701-9022,,,Yuba City,CA,V1 | P2 | Class A | no website found,,Car Detailers
Highway 99 Car Wash,,+1-530-751-1000,,,Yuba City,CA,V1 | P2 | Class A | no website found,,Car Detailers
"Raintree Car Wash of Yuba City, CA",,+1-530-755-0766,,,Yuba City,CA,V1 | P2 | Class A | no website found,,Car Detailers
Resurrection Detailing,,+1-530-487-3879,,,Yuba City,CA,V1 | P2 | Class A | no website found,,Car Detailers
