Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Almaguer Auto Detailing,,+1-530-709-9695,,,Colusa,CA,P1 | Class A | only a Facebook/booking/directory page | https://almaguerautodetailing.square.site/,,Car Detailers
Carnales Mobile Detailing,,+1-530-978-3119,,,Marysville,CA,P1 | Class A | only a Facebook/booking/directory page | https://carnalesmobiledetailing.square.site/,,Car Detailers
Zays Mobile Auto Detailing,,+1-530-790-5657,,"6328 Trevor Dr, Marysville, CA 95901, United States",Marysville,CA,P1 | Class A | only a Facebook/booking/directory page | https://zays-auto-detailing.square.site/,,Car Detailers
Hozzer’s Mobile Detailing,,+1-916-640-6710,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
Jdubs Auto Detailing,,+1-530-844-3873,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
OREGEL.DETAILING.CO,,+1-530-812-4118,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
Premier Auto Detailing,,+1-530-370-5147,,,Colusa,CA,P2 | Class A | no website found on Google,,Car Detailers
Aloha Auto Detail And Custom Paint,,+1-530-749-2204,,"2314 Canyon Creek Trail, Plumas Lake, CA 95961, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
B.M.A Auto Detailing,,+1-916-699-9436,,"5564 Arboga Rd, Olivehurst, CA 95961, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Ferguson Mobile Auto Spa,,+1-530-782-0943,,,Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Juniors auto premiere detailing,,+1-530-813-8412,,,Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Larry Stevens Detailing and cleaning,,+1-530-565-5512,,,Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
NB Auto Detailing,,+1-530-434-1569,,"6298 Trevor Dr, Marysville, CA 95901, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
Shine N Show Detail,,+1-530-701-8985,,"Swezy St, Marysville, CA 95901, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
The Finish Lab,,+1-530-268-5468,,"2205 Harvest St, Linda, CA 95901, United States",Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
detailuzz,,+1-530-812-6789,,,Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
not brad auto details,,+1-530-315-9736,,,Marysville,CA,P2 | Class A | no website found on Google,,Car Detailers
A1 Mobile Detailing,,+1-530-353-5968,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Shine time mobile detailing,,+1-530-403-7607,,,Oroville,CA,P2 | Class A | no website found on Google,,Car Detailers
Street Works Mobile Detail,,+1-530-870-0440,,,Colusa,CA,P3 | Class A | website broken or unreachable | http://onion-sparrow-3m9b.squarespace.com/,,Car Detailers
Hunters mobile car detailing yuba city,,+1-530-418-6407,,,Marysville,CA,P3 | Class A | website broken or unreachable | https://www.huntersdetailing.com/yuba-city,,Car Detailers
Shine Time Mobile Detailing,,+1-530-763-0100,,,Marysville,CA,P3 | Class A | website broken or unreachable | http://shinetimemobiledetailing.com/,,Car Detailers
