Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Sunday Details,,+1-442-250-7176,,"801 Encanto Terrace, Calexico, CA 92231, United States",Calexico,CA,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/sunday_ivdetail/,,Car Detailers
Top Car Mobile Detailing,,+1-760-556-5284,,,Calexico,CA,P1 | Class A | only a Facebook/booking/directory page | https://topcarmobiledetailing.square.site/,,Car Detailers
Undercover Auto Detail,,+1-760-977-6387,,"2742 Saddleback Dr, Imperial, CA 92251, United States",El Centro,CA,P1 | Class A | only a Facebook/booking/directory page | https://undercoverautodetail.square.site/,,Car Detailers
Heatwave Detailing,,+1-760-592-3539,,,Calexico,CA,P2 | Class A | no website found on Google,,Car Detailers
Men's Carwash and Detail,,+1-214-684-8679,,,Calexico,CA,P2 | Class A | no website found on Google,,Car Detailers
Organic Mobile Detailing,,+1-442-297-6326,,,Calexico,CA,P2 | Class A | no website found on Google,,Car Detailers
Renaissance Car Wash & Detail Shop,,+1-760-353-6626,,"690 Main St, El Centro, CA 92243, United States",Calexico,CA,P2 | Class A | no website found on Google,,Car Detailers
Auto Brite,,+1-760-404-8016,,"1898 Wake Ave, El Centro, CA 92243, United States",El Centro,CA,P2 | Class A | no website found on Google,,Car Detailers
Auto Shop Auto Detailing,,+1-760-482-8260,,"101 N 8th St, El Centro, CA 92243, United States",El Centro,CA,P2 | Class A | no website found on Google,,Car Detailers
Emerald Mobile,,+1-760-970-3888,,"782 W Heil Ave, El Centro, CA 92243, United States",El Centro,CA,P2 | Class A | no website found on Google,,Car Detailers
Hope Detailing LLC,,+1-760-595-5221,,,El Centro,CA,P2 | Class A | no website found on Google,,Car Detailers
J's detailing shine,,+1-760-886-1963,,,El Centro,CA,P2 | Class A | no website found on Google,,Car Detailers
Off Duty Detailing,,+1-760-235-5766,,,El Centro,CA,P2 | Class A | no website found on Google,,Car Detailers
Pro Image Mobile Auto Detailing,,+1-951-850-7969,,,Menifee,CA,P2 | Class A | no website found on Google,,Car Detailers
Rogerz Mobile Detailing,,+1-760-996-7225,,,Palm Desert,CA,P2 | Class A | no website found on Google,,Car Detailers
C&S Mobile Detailing,,+1-442-250-5717,,,Calexico,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/c.s_mobiledetailing?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Detailers
DesertWave Headlight Restoration,,+1-442-283-7639,,,El Centro,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=61574302001873&mibextid=wwXIfr&mibextid=wwXIfr,,Car Detailers
Cooper Auto Cleaning,,+1-760-556-7284,,,El Centro,CA,V1 | P2 | Class A | no website found,,Car Detailers
Precise Solar Solutions & Mobil Detailing LLC.,,+1-760-554-7316,,,El Centro,CA,V1 | P2 | Class A | no website found,,Car Detailers
Daddy Detailers,,+1-760-332-8075,,,El Centro,CA,V1 | P3 | Class A | website broken or unreachable | https://www.daddydetailers.com/,,Car Detailers
