Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Serrano Auto Spa,,+1-530-690-0992,,,Red Bluff,CA,P1 | Class A | only a Facebook/booking/directory page | https://squareup.com/appointments/book/5gzumrs8zw0xuq/LSPPXJV85NF2F/services,,Car Detailers
North State Mobile Detail,,+1-530-444-2022,,,Chico,CA,P2 | Class A | no website found on Google,,Car Detailers
Amazing detail,,+1-530-561-4689,,,Red Bluff,CA,P2 | Class A | no website found on Google,,Car Detailers
Hoffer Auto Detail,,+1-530-736-1456,,"621 Antelope Blvd, Red Bluff, CA 96080, United States",Red Bluff,CA,P2 | Class A | no website found on Google,,Car Detailers
Jose’s mobile detailing,,+1-530-737-8796,,"426 Ross Rd, Red Bluff, CA 96080, United States",Red Bluff,CA,P2 | Class A | no website found on Google,,Car Detailers
Mr.Barbershop'NDetail LLC,,+1-530-360-0521,,"1130 Franzel Rd, Red Bluff, CA 96080, United States",Red Bluff,CA,P2 | Class A | no website found on Google,,Car Detailers
NorCal Wheel Repair,,+1-925-214-1846,,"20 Tranquility Ct, Red Bluff, CA 96080, United States",Red Bluff,CA,P2 | Class A | no website found on Google,,Car Detailers
Celestial car cleaning services,,+1-816-634-9244,,,Redding,CA,P2 | Class A | no website found on Google,,Car Detailers
wyckoff custom detailing,,+1-530-990-6518,,,Red Bluff,CA,P3 | Class A | website broken or unreachable | https://www.wyckoffcustoms.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11173614013181489589,,Car Detailers
Bang for your Buck Mobile detailing,,+1-530-917-9529,,,Red Bluff,CA,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/bfyb_mobiledetail?igsh=NTc4MTIwNjQ2YQ%3D%3D&utm_source=qr,,Car Detailers
