Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Detailed Auto PNW Limited Liability Company,,+1-971-990-9768,,,Beaverton,OR,P1 | Class A | only a Facebook/booking/directory page | https://detailedautopnw.square.site/,,Car Detailers
Sevster Mobile Detailing,,+1-971-202-0708,,"3368 SW Fairmount Blvd, Portland, OR 97239, United States",Beaverton,OR,P1 | Class A | only a Facebook/booking/directory page | https://sevsterdetailing.square.site/,,Car Detailers
tadsmobiledetail,,+1-206-565-9862,,,Beaverton,OR,P1 | Class A | only a Facebook/booking/directory page | https://tads-mobile-detail.square.site/,,Car Detailers
CarSpa Wash & Detail,,+1-503-877-7252,,"12668 SE Bush St, Portland, OR 97236, United States",Gresham,OR,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/carspawd?utm_source=linktree_profile_share,,Car Detailers
Clean Line Detailing,,+1-503-421-8570,,"17655 NE Flanders Ct, Portland, OR 97230, United States",Gresham,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/clean_line_detailing?igsh=MWh4eWljczlvcjQ4Yw==&utm_source=qr,,Car Detailers
Muddy Wheels Auto Detailing,,+1-503-208-4028,,,Gresham,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/muddy_wheels_pdx/,,Car Detailers
A+ Auto Detailing,,+1-206-406-8880,,,Happy Valley,OR,P1 | Class A | only a Facebook/booking/directory page | https://a-autodetailing.square.site/,,Car Detailers
MC Auto Detail,,+1-503-422-7428,,"6521 SE 82nd Ave, Portland, OR 97206, United States",Happy Valley,OR,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/mc_autodetaill?igshid=YmMyMTA2M2Y=,,Car Detailers
LUCHO’S Mobile Detailing,,+1-503-318-1984,,,Hillsboro,OR,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/carwashdetaillucho?igshid=MzRlODBiNWFlZA==,,Car Detailers
A&E Mobile Detailing,,+1-503-750-0658,,,Lake Oswego,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/ae_mobile_detailing/,,Car Detailers
Cowboy mobile detailing,,+1-805-888-1691,,,Lake Oswego,OR,P1 | Class A | only a Facebook/booking/directory page | https://l.instagram.com/?u=https://brand.page/cowboymobiledetailing?fbclid=PAAaYagqtGCu9whsiF4lDYEKuUvpGDgwjo2hvma4hBkSnVrFyu-8mfUdKF9_A_aem_Acf2Rtt53aKZV_iVOUN_Nu3gu3Z1LEH6FYLbOe6b5WDQQt6HOT8JV6wiw46yUSFPv90&e=AT16sfhA8weM7Xsce2WNM9nANAlu5c7d3otOmSmjmPfn5lOtV-VH2d8flfXbeZfuGEEqbmUZPLqrgQ00LZ-9fAMRIT60hkj7_38KqJgO4IYaxK9NJlji_Q,,Car Detailers
Everette's Auto Detailing LLC,,+1-971-440-8189,,,Milwaukie,OR,P1 | Class A | only a Facebook/booking/directory page | http://everettesautodetailing.square.site/,,Car Detailers
Enox,,+1-503-869-0412,,,Oregon City,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=61552282104195,,Car Detailers
K Clean Details PDX,,+1-503-799-6196,,"4547 NE 42nd Ave, Portland, OR 97218, United States",Portland,OR,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/kcleandetailspdx?utm_source=linktree_profile_share&ltsid=f72367d0-5e9d-421f-8170-561adc7e2940,,Car Detailers
Maxzy’s Auto Spa,,+1-971-280-1601,,,Troutdale,OR,P1 | Class A | only a Facebook/booking/directory page | https://maxzysautospa.square.site/,,Car Detailers
Banks Precision Auto,,+1-971-703-0708,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Detail Oasis,,+1-503-828-4849,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
First Class Detailz,,+1-971-454-2760,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Mobile Shine Pros PDX,,+1-503-347-1312,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Optimum Mobile Detail,,+1-503-830-4005,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Premium Mobile Detailing,,+1-971-245-9074,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Rip City detailing,,+1-503-750-7027,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Shack's Detail Co.,,+1-971-313-4825,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
True Xtreme Mobile Detailing,,+1-678-713-1097,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Dyno Details,,+1-971-762-7688,,,Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
Next Level Auto Detail,,+1-503-421-2865,,,Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
Showroom Detailing,,+1-503-956-2008,,,Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
TNT Detailing,,+1-503-515-2855,,,Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
ADV Auto Detailing,,+1-971-409-5020,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
AJ MOTORS DETAILING SHOP INC,,+1-503-960-1043,,"23126 NE Sandy Blvd, Wood Village, OR 97060, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
AK Detailing,,+1-503-415-1149,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Atomic Auto Detail,,+1-971-420-4427,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
A’s Auto Detail & Revitalize,,+1-503-421-3293,,"185 NE 187th Ave, Portland, OR 97230, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Baldwin Mobile Detailing,,+1-971-438-9353,,"17108 SE Division St #1239, Portland, OR 97236, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Candy Paint Auto Detailing,,+1-541-921-3365,,"3200 SE 147th Ave, Portland, OR 97236, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
D & M Details LLC,,+1-503-358-6688,,"20145 NE Sandy Blvd, Fairview, OR 97024, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
D&S Mobile Auto Detailing,,+1-503-708-4703,,"325 SE 133rd Ave, Portland, OR 97233, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
DAZ Auto Detailing,,+1-971-335-2266,,"1796 SW Daybreak Way, Troutdale, OR 97060, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
DELUXE MOBILE CAR WASH & DETAILING,,+1-971-392-2831,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Dapper Boys Mobile Auto Detailing,,+1-971-396-6584,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Divine Auto Care LLC,,+1-503-444-0372,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
First-Class Mobile Detailing,,+1-512-321-5880,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Franchuk Auto Detail LLC,,+1-503-442-1629,,"7110 SE 82nd Ave, Portland, OR 97266, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Gresham Auto Detail,,+1-503-888-6259,,"18130 SE Division St Ste e, Portland, OR 97236, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Harvey’s Superior Auto Detail,,+1-503-753-7840,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Hubbard's Mobile Auto Detail,,+1-424-343-6123,,"17007 SE Stark St Unit M8, Portland, OR 97233, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
K2 Car Detailing,,+1-971-431-9229,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Legacy Mobile Car Detailing Fairview,,+1-503-563-8467,,"35 Bridge St, Fairview, OR 97024, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
