Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
EW’s Mobile Auto Detailing,,+1-541-666-6094,,,Albany,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/ewsdetailing,,Car Detailers
Afonin Auto Detailing,,+1-971-209-2243,,"2020 Hwy Ave NE, Salem, OR 97301, United States",Keizer,OR,P1 | Class A | only a Facebook/booking/directory page | http://afonin-auto-detailing.square.site/,,Car Detailers
Bryan Corrects Detailing LLC,,+1-971-209-6057,,,Keizer,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/p/ChqUWsXPnQ2/?igshid=YmMyMTA2M2Y=,,Car Detailers
JR’s Elite Detailing,,+1-503-881-6821,,"1453 Hunter Ave N, Keizer, OR 97303, United States",Keizer,OR,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/jrselitedetailing06,,Car Detailers
Shine n Go Mobile Detailing Keizer/Salem,,+1-503-752-4020,,,Keizer,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/shinengo_mobiledetailing/,,Car Detailers
MCC Detailing,,+1-971-218-9383,,"870 Hazel St, Aumsville, OR 97325, United States",Salem,OR,P1 | Class A | only a Facebook/booking/directory page | https://m.facebook.com/Mccdetail/,,Car Detailers
The Perfect Drip,,+1-971-267-5587,,,Salem,OR,P1 | Class A | only a Facebook/booking/directory page | https://instagram.com/theperfectdrip?igshid=mrq1e054ws5h,,Car Detailers
AmVet Cosmetic Restoration,,+1-971-351-2166,,,Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
Willamette Auto and Headlight Detailing,,+1-623-215-5275,,,Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
Andrade Auto Detailing,,+1-503-383-9017,,,Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Auto & Truck Detailing Plus,,+1-971-208-4835,,"8795 Portland Rd NE, Salem, OR 97305, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Ayala’s Mobile Auto Detailing,,+1-971-209-6052,,,Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Black Diamond Auto Salon LLC,,+1-971-312-7814,,"1225 Madison St NE #1, Salem, OR 97301, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Capitol city auto spa LLC,,+1-503-851-7741,,"8795 Portland Rd NE, Salem, OR 97305, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Diamond Detailing.co,,+1-971-341-5223,,,Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
DriveTime Detailing,,+1-503-378-7976,,"2590 Cherry Ave NE, Salem, OR 97301, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
G&G Supply Co. / G&G Auto Care Supply Inc.,,+1-503-362-1326,,"1270 Commercial St NE, Salem, OR 97301, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Galaxy Cleaning Legends LLC,,+1-907-350-3704,,"4045 Cherry Ave NE, Keizer, OR 97303, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Garcia's Auto Detailing,,+1-503-572-1391,,,Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Hidalgo Details,,+1-971-218-0029,,,Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
KC AUTO DETAIL,,+1-541-310-6611,,"9030 Portland Rd NE, Salem, OR 97305, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
Keizer One Car Detail,,+1-503-779-7488,,"510 Churchdale Ave N, Keizer, OR 97303, United States",Keizer,OR,P2 | Class A | no website found on Google,,Car Detailers
