Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
DNS MOBILE DETAILING LLC,,+1-971-732-2867,,"121 NE 12th Ave, Hillsboro, OR 97124, United States",Beaverton,OR,P1 | Class A | only a Facebook/booking/directory page | https://dnsmobiledetailingllc.square.site/,,Car Detailers
Impact Auto Care,,+1-503-481-1139,,"4270 SW 175th Ave, Aloha, OR 97078, United States",Beaverton,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/impactautocare/,,Car Detailers
MRG Detail co.,,+1-503-312-4578,,,Forest Grove,OR,P1 | Class A | only a Facebook/booking/directory page | https://mrg-detail-co.square.site/,,Car Detailers
TenMobileDetailing,,+1-971-217-7419,,"193 N Adair St, Cornelius, OR 97113, United States",Forest Grove,OR,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/TenAutoDetailing,,Car Detailers
Crystal Vision Auto Detailing,,+1-971-232-1288,,"1973 SE Bush St, Hillsboro, OR 97123, United States",Hillsboro,OR,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/CrystalVision_PDX,,Car Detailers
ARC Mobile Detailing,,+1-503-849-5668,,"14020 SW Berthold Ave, Beaverton, OR 97005, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Adam’s detail,,+1-971-380-9943,,"12632 SW Canvasback Way, Beaverton, OR 97007, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Black Diamond Detail LLC,,+1-503-374-5445,,"16015 SW Rosa Rd, Beaverton, OR 97007, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
DND Mobile Detailing,,+1-971-801-3380,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Expert Mobile Detailing,,+1-971-238-2026,,"13370 SW Beach Plum Terrace, Sherwood, OR 97140, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
F&F Mobile Detailing,,+1-971-999-0201,,"14335 SW Allen Blvd, Beaverton, OR 97005, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Glossreaper Mobile Detailing,,+1-503-268-7053,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Kermit's Detailing,,+1-971-266-9717,,"3737 SW 117th Ave #14, Beaverton, OR 97005, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Kmg auto detailing,,+1-971-296-7372,,"8736 NE Delamere Way, Beaverton, OR 97006, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
PDX Mobile Auto Spa,,+1-503-858-9976,,"17630 SW Declaration Way, Beaverton, OR 97006, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Perfect Solution Auto Care,,+1-503-793-2414,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Pristine Wheels Mobile Detailing,,+1-503-781-1986,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
ProShine Mobile Detailing,,+1-503-705-1087,,"2860 SW Garden View Pl, Portland, OR 97225, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Reyes Auto Detailing & Power Wash,,+1-805-297-5210,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Roo's mobile detail,,+1-503-572-3649,,"SW Tigard St, Tigard, OR 97223, United States",Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Down 2 Detailing,,+1-503-734-7988,,,Forest Grove,OR,P2 | Class A | no website found on Google,,Car Detailers
Happy Detail,,+1-503-459-9418,,,Forest Grove,OR,P2 | Class A | no website found on Google,,Car Detailers
