Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Anderson’s Detailing,,+1-541-912-2042,,"713 Oakdale Ave, Springfield, OR 97477, United States",Eugene,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/share/1F97ma3N9o/?mibextid=wwXIfr,,Car Detailers
CS Automotive Detailing,,+1-541-731-0296,,,Eugene,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/share/16nxKh692x/?mibextid=wwXIfr,,Car Detailers
Keith Jenkins Detailing,,+1-541-514-2543,,"295 Cap Ct Suite 5W, Eugene, OR 97402, United States",Eugene,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/keithjdetailing/,,Car Detailers
Lucas Mobile Detailing,,+1-541-556-9280,,"30085 Federal Ln, Eugene, OR 97402, United States",Eugene,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=100083247516498&mibextid=LQQJ4d,,Car Detailers
Sonza Bros. Mobile Auto Detailing,,+1-541-606-9549,,"1277 Colton Way, Eugene, OR 97402, United States",Eugene,OR,P1 | Class A | only a Facebook/booking/directory page | https://sonzabros-mobile-detailing.square.site/,,Car Detailers
South Valley Detailing,,+1-541-745-8775,,,Eugene,OR,P1 | Class A | only a Facebook/booking/directory page | https://app.urable.com/virtual-shop/enBG3GdX422f8MFT42xD,,Car Detailers
DayDream Auto Detail,,+1-458-201-3185,,,Springfield,OR,P1 | Class A | only a Facebook/booking/directory page | http://daydream-auto-detail.square.site/,,Car Detailers
A & J's Mobile Auto Detailing,,+1-541-419-3256,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
Alberto’s Auto Detailing,,+1-458-210-0110,,"390 Ivy St, Junction City, OR 97448, United States",Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
Angel mobile detailing LLC,,+1-541-653-3381,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
Arroyo’s Detailing,,+1-541-654-2156,,"4611 Franklin Blvd, Eugene, OR 97403, United States",Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
CarSpa,,+1-541-632-3340,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
ClearLightAuto Mobile Detailing,,+1-503-884-2892,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
Gentlemenshine Detailing LLC,,+1-541-777-9099,,"1415 S Bertelsen Rd, Eugene, OR 97402, United States",Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
Glow Garage Oregon,,+1-541-452-3107,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
J&k details,,+1-541-359-6879,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
K & B Mobile Auto Detailing,,+1-541-337-4521,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
MP Mobile Detailing,,+1-541-735-2550,,,Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
Prime & Shine Detailing,,+1-458-250-0278,,"2075 Lawrence St, Eugene, OR 97405, United States",Eugene,OR,P2 | Class A | no website found on Google,,Car Detailers
