Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
De Leon Detailing,,+1-503-703-7576,,,Beaverton,OR,P1 | Class A | only a Facebook/booking/directory page | https://app.urable.com/virtual-shop/LpCZ3yTJhkbOcKCOry08,,Car Detailers
Simple Suds mobile Detailing,,+1-503-957-3693,,,Beaverton,OR,P1 | Class A | only a Facebook/booking/directory page | https://simple-suds-detailing.square.site/,,Car Detailers
TopKnotch Auto Spa,,+1-971-396-9351,,,Canby,OR,P1 | Class A | only a Facebook/booking/directory page | https://app.urable.com/virtual-shop/v8jESH9aoL9KYJABJuiB,,Car Detailers
Rose City Quick Mobile Detailing,,+1-503-468-3903,,,Gresham,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/quickdetailpdx/,,Car Detailers
Wishy Washy Mobile Detailing,,+1-503-406-8446,,"14089 SE 115th Cir, Clackamas, OR 97015, United States",Gresham,OR,P1 | Class A | only a Facebook/booking/directory page | https://wishywashypdx.square.site/,,Car Detailers
GIO'S T AUTO DETAIL LLC,,+1-971-352-7603,,"4281 SE Roethe Rd, Portland, OR 97267, United States",Lake Oswego,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/profile.php?id=61583573227649,,Car Detailers
Cortez Automotive Detailing LLC,,+1-503-602-7636,,,Woodburn,OR,P1 | Class A | only a Facebook/booking/directory page | http://cortez-automotive-detailing.square.site/,,Car Detailers
Finish Line Mobile Detailing LLC,,+1-541-329-4640,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
Barrios Auto Detailing. LLC,,+1-503-826-4775,,"11582 Warbler Ln NE, Aurora, OR 97002, United States",Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
DNA Auto Detailing,,+1-503-798-6140,,,Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
Ray's Mirrored Finish,,+1-503-756-0831,,"24397 S Hwy 99 E, Canby, OR 97013, United States",Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
Hoerth Auto Detailing,,+1-503-676-4462,,"29815 SE Kelso Rd, Boring, OR 97009, United States",Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Maxshine Mobile Detailing,,+1-503-501-1907,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
habibi detailing,,+1-503-538-8869,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Luke's Mobile Auto Detailing,,+1-503-953-6158,,,Happy Valley,OR,P2 | Class A | no website found on Google,,Car Detailers
