Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Prineville Headlight Restoration,,+1-458-329-4470,,,Prineville,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/PrinevilleHeadlightRestoration,,Car Detailers
Chris’ Mobile Detailing,,+1-301-609-1624,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
PDX Finest Auto Detail,,+1-503-984-9818,,,Canby,OR,P2 | Class A | no website found on Google,,Car Detailers
CleanPro,,+1-541-951-9418,,,Central Point,OR,P2 | Class A | no website found on Google,,Car Detailers
Sir Shine,,+1-541-260-8010,,,Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
BRO’z auto detailing(mobile),,+1-971-419-2059,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Rose City Auto Spa,,+1-971-865-4684,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Wilmer Car Detailing,,+1-503-498-7927,,,Gresham,OR,P2 | Class A | no website found on Google,,Car Detailers
Prism Mobile Detailing,,+1-503-312-1225,,,Happy Valley,OR,P2 | Class A | no website found on Google,,Car Detailers
Muhina MOBILE DETAILING,,+1-971-280-6211,,,Hillsboro,OR,P2 | Class A | no website found on Google,,Car Detailers
Top shine mobile detailing,,+1-503-310-2667,,,Lake Oswego,OR,P2 | Class A | no website found on Google,,Car Detailers
MM Detailing,,+1-541-668-7820,,,Lebanon,OR,P2 | Class A | no website found on Google,,Car Detailers
Moonlight Auto SPA,,+1-360-720-0012,,,Lebanon,OR,P2 | Class A | no website found on Google,,Car Detailers
Josh’s car detailing,,+1-971-403-5347,,,Madras,OR,P2 | Class A | no website found on Google,,Car Detailers
M Town Detailing,,+1-541-777-7468,,,Madras,OR,P2 | Class A | no website found on Google,,Car Detailers
R&J detailing,,+1-971-545-9234,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
K’s Auto Detail,,+1-971-266-4208,,,Newberg,OR,P2 | Class A | no website found on Google,,Car Detailers
Westerback Detailing Company,,+1-971-804-1600,,,Oregon City,OR,P2 | Class A | no website found on Google,,Car Detailers
All around detailing,,+1-541-325-3100,,,Prineville,OR,P2 | Class A | no website found on Google,,Car Detailers
J.J.'s Precision Detailing LLC.,,+1-541-420-4870,,"2235 S E Melrose Dr, Prineville, OR 97754, United States",Prineville,OR,P2 | Class A | no website found on Google,,Car Detailers
Tropical Splash Mobile Detailing,,+1-541-675-8110,,,Prineville,OR,P2 | Class A | no website found on Google,,Car Detailers
Double D's Detailing & More,,+1-458-899-8791,,,Redmond,OR,P2 | Class A | no website found on Google,,Car Detailers
Car Perfection By Steve,,+1-503-581-0813,,,Salem,OR,P2 | Class A | no website found on Google,,Car Detailers
AllExteriorsDetailing,,+1-971-338-6562,,,Woodburn,OR,P2 | Class A | no website found on Google,,Car Detailers
Bouttime Mobile Detailing,,+1-503-481-8071,,,Portland,OR,P3 | Class A | website broken or unreachable | https://www.bouttimemobiledetailing.com/,,Car Detailers
Urban Edge Auto Detail,,+1-916-633-8889,,,Redmond,OR,P3 | Class A | website broken or unreachable | https://www.urbanedgeautodetail.com/,,Car Detailers
KMFM AUTO REPAIR LLC,,+1-541-408-3471,,,Prineville,OR,V1 | P2 | Class A | no website found,,Car Detailers
