Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Aloha Auto Detailing,,+1-458-329-6958,,"61272 Dayspring Dr, Bend, OR 97702, United States",Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
BahamaShine Mobile Detailing,,+1-541-788-5315,,"1855 NE Lotus Dr, Bend, OR 97701, United States",Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Bend Detail and Ceramics,,+1-541-262-6893,,,Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Bend Mobile Detailing,,+1-541-977-1392,,,Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Dad's Auto Detailing,,+1-541-728-6563,,"64415 Strickler Ave #110, Bend, OR 97703, United States",Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
FTA Detailing Bend,,+1-503-602-8483,,,Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
H&W Details,,+1-541-410-7990,,,Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Henry’s Detail Co.,,+1-707-513-5128,,,Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
KC Detailing,,+1-541-668-5031,,,Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Loeks detailing,,+1-541-405-5899,,"59848 Navajo Rd, Bend, OR 97702, United States",Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Loyal Automotive Detailing,,+1-541-527-0587,,"62835 Daniel Rd, Bend, OR 97701, United States",Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Mirror Finish Mobile Detailing,,+1-541-699-6659,,"20915 Blue Bush Ct, Bend, OR 97701, United States",Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Next Level Car Care,,+1-503-312-7285,,,Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
Wake Detailing,,+1-919-448-1560,,"1055 NE Providence Dr, Bend, OR 97701, United States",Bend,OR,P2 | Class A | no website found on Google,,Car Detailers
PrestigeCrownDetailing,,+1-541-300-5183,,,Madras,OR,P2 | Class A | no website found on Google,,Car Detailers
Buff and Shine mobile detailing,,+1-541-419-3174,,,Prineville,OR,P2 | Class A | no website found on Google,,Car Detailers
Legacy Driven Auto & Detailing LLC,,+1-541-815-4645,,,Prineville,OR,P2 | Class A | no website found on Google,,Car Detailers
Crystal Clean Auto Salon,,+1-541-604-1128,,"1926 SW Reindeer Ave, Redmond, OR 97756, United States",Redmond,OR,P2 | Class A | no website found on Google,,Car Detailers
Fresh Starts Mobile Detailing,,+1-541-639-7320,,"3137 SW Pumice Ave, Redmond, OR 97756, United States",Redmond,OR,P2 | Class A | no website found on Google,,Car Detailers
Legacy Detailing,,+1-425-350-1502,,,Redmond,OR,P2 | Class A | no website found on Google,,Car Detailers
Limitless Auto Detail LLC,,+1-541-604-9200,,,Redmond,OR,P2 | Class A | no website found on Google,,Car Detailers
Permanently Closed,,+1-223-875-4286,,,Redmond,OR,P2 | Class A | no website found on Google,,Car Detailers
All About The Details,,+1-541-410-6890,,,Bend,OR,P3 | Class A | website broken or unreachable | https://yourcardetailer.net/,,Car Detailers
Auto Recon Inc,,+1-541-420-7133,,"21408 Hyde Ln, Bend, OR 97701, United States",Bend,OR,P3 | Class A | website broken or unreachable | http://www.autoreconbend.com/?utm_source=GoogleMaps&utm_medium=WebLink,,Car Detailers
Bend auto spa,,+1-541-640-9342,,"62859 Daniel Rd, Bend, OR 97701, United States",Bend,OR,P3 | Class A | website broken or unreachable | http://bendorautospa.net/,,Car Detailers
Auto Z Mobile Detailing,,+1-573-220-7081,,,Bend,OR,V1 | P2 | Class A | no website found,,Car Detailers
