Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Apex Detail and Ceramic Coatings,,+1-541-730-2264,,"877 29th Ave SW, Albany, OR 97321, United States",Albany,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/ApexDetailAlbany,,Car Detailers
Auto Shine Detailing,,+1-541-979-7265,,,Albany,OR,P1 | Class A | only a Facebook/booking/directory page | https://linktr.ee/autoshinedetailing,,Car Detailers
Lopez Auto Detailing,,+1-541-220-9056,,"235 Pacific Blvd SW, Albany, OR 97321, United States",Albany,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/lopezautodetailing1210/,,Car Detailers
True Detailing,,+1-503-932-0405,,,Albany,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/share/5BZnrEmwsFN5PboX/,,Car Detailers
Door Step Auto Detailing.,,+1-541-579-0085,,,Eugene,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/share/1CHEruBLUm/?mibextid=wwXIfr,,Car Detailers
Black Diamond Auto Detailing,,+1-458-803-1694,,"3000 SE Geary St, Albany, OR 97322, United States",Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
Covey Mobile Detailing,,+1-541-730-3611,,"Knox Butte Rd E, Albany, OR 97322, United States",Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
It’s All In The Details,,+1-541-905-4062,,"308 34th Ave SE, Albany, OR 97322, United States",Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
Key Auto Detail,,+1-541-619-8941,,"3315 Marion St SE, Albany, OR 97322, United States",Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
Kruger’s Auto Detailing,,+1-541-974-0579,,"1808 SE 26th Pl, Albany, OR 97322, United States",Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
M&C Auto Detailing,,+1-541-730-5816,,"785 SE 24th Ave, Albany, OR 97322, United States",Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
Northern Kings Automotive Detail,,+1-559-351-7861,,,Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
Sean's Auto Detail,,+1-541-730-2598,,"525 SW 2nd Ave Unit 1297, Albany, OR 97321, United States",Albany,OR,P2 | Class A | no website found on Google,,Car Detailers
"Luxury Mobile Detailing, LLC",,+1-971-462-8942,,,Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
Spotless Mobile Detailing,,+1-541-731-3941,,,Cottage Grove,OR,P2 | Class A | no website found on Google,,Car Detailers
Automotive Studio,,+1-541-639-2134,,,Lebanon,OR,P2 | Class A | no website found on Google,,Car Detailers
Burns Auto Care LLC.,,+1-541-971-5286,,"36585 Airport Dr, Lebanon, OR 97355, United States",Lebanon,OR,P2 | Class A | no website found on Google,,Car Detailers
Driven Details,,+1-541-401-3076,,,Lebanon,OR,P2 | Class A | no website found on Google,,Car Detailers
Turbo Detailing,,+1-458-221-3631,,,Lebanon,OR,P2 | Class A | no website found on Google,,Car Detailers
Auto Detailing Direct,,+1-541-730-3484,,,Albany,OR,P3 | Class A | website broken or unreachable | https://www.autodetailingdirect.com/,,Car Detailers
Envision Autoworks LLC,,+1-541-971-8473,,"4345 Santiam Hwy SE, Albany, OR 97322, United States",Albany,OR,P3 | Class A | website broken or unreachable | http://www.envisionautoworks.com/,,Car Detailers
Street Kings Detailing,,+1-458-233-3295,,"2020 Orchard Ln SW, Albany, OR 97321, United States",Albany,OR,P3 | Class A | website broken or unreachable | https://www.steetkingsdetailingska.com/,,Car Detailers
"NextDoor Detailing, LLC",,+1-971-727-9531,,,Corvallis,OR,P3 | Class A | website broken or unreachable | http://nextdoordetailing.org/,,Car Detailers
Elite Detail - Give Your Car A Refresh!,,+1-541-730-6004,,,Albany,OR,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/EliteDetailUSA/,,Car Detailers
"Evergreen Auto Detail, LLC",,+1-541-223-9945,,,Albany,OR,V1 | P2 | Class A | no website found,,Car Detailers
Harper Auto Detailing,,+1-518-598-3140,,,Albany,OR,V1 | P2 | Class A | no website found,,Car Detailers
