Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Blue Wave Detailing Services,,+1-541-891-4521,,"3967 Greensprings Dr, Klamath Falls, OR 97601, United States",Klamath Falls,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/bluewavedetail,,Car Detailers
Cascade Detailing Company,,+1-928-399-9732,,,Klamath Falls,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/cascadedetailco,,Car Detailers
Detail 1 Mobile Detailing,,+1-458-327-5300,,,Klamath Falls,OR,P1 | Class A | only a Facebook/booking/directory page | http://detail1mobiledetailing.square.site/,,Car Detailers
Stu’s mobile detail,,+1-458-287-5975,,,Central Point,OR,P2 | Class A | no website found on Google,,Car Detailers
Andrei's Detailing Company,,+1-541-363-2991,,,Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Big Will's Auto Detailing,,+1-541-331-4223,,"1320 Oak Ave, Klamath Falls, OR 97601, United States",Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Definitive Detailing,,+1-951-409-8669,,"183 Old Fort Rd, Klamath Falls, OR 97601, United States",Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Diamond Detail Klamath Falls,,+1-209-204-1312,,"2717 Edison Ave STE. 20, Klamath Falls, OR 97603, United States",Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Elevate Auto detailing,,+1-541-591-6949,,,Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Elite auto spa,,+1-541-281-9175,,,Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Klamath custom detail,,+1-541-810-1544,,,Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Superior Auto Detailing,,+1-541-273-0275,,"2717 Edison Ave #15, Klamath Falls, OR 97603, United States",Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Time 2 Shine,,+1-541-887-2281,,"2717 Edison Ave STE. 20, Klamath Falls, OR 97603, United States",Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
We Detail,,+1-916-820-1059,,"1313 Owens St, Klamath Falls, OR 97601, United States",Klamath Falls,OR,P2 | Class A | no website found on Google,,Car Detailers
Adrian's Garage,,+1-541-331-1805,,,Klamath Falls,OR,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/adriangarage541,,Car Detailers
Unbothered Auto Styling,,+1-707-888-4183,,,Klamath Falls,OR,V1 | P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/share/1FEnXifakj/,,Car Detailers
Fireball,,+1-541-883-1744,,,Klamath Falls,OR,V1 | P2 | Class A | no website found,,Car Detailers
High desert automotive,,+1-541-887-1088,,,Klamath Falls,OR,V1 | P2 | Class A | no website found,,Car Detailers
Jl's Auto Detailing Las Vegas (Mobile),,+1-541-810-2404,,,Klamath Falls,OR,V1 | P2 | Class A | no website found,,Car Detailers
