Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Jay's Auto Detailing Northwest,,+1-971-462-1600,,"608 E Foothills Dr, Newberg, OR 97132, United States",Newberg,OR,P1 | Class A | only a Facebook/booking/directory page | https://app.urable.com/virtual-shop/E2MRuA3OldzayK1XQsfA,,Car Detailers
Millers Auto Detailing,,+1-206-715-3618,,"911 E 3rd St, Newberg, OR 97132, United States",Newberg,OR,P1 | Class A | only a Facebook/booking/directory page | https://book.squareup.com/appointments/m89zt6ff9v1mfb/location/LSACFDM56A8GN/services,,Car Detailers
Rockwood Innovations LLC,,+1-971-930-9635,,,Tillamook,OR,P1 | Class A | only a Facebook/booking/directory page | http://facebook.com/rockwoodinnovations,,Car Detailers
Auto Care Detailing,,+1-971-237-9649,,"2151 NE Cumulus Ave, McMinnville, OR 97128, United States",McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Canavans Interior Auto Care,,+1-971-267-9500,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Down To Details,,+1-503-347-6844,,"1603 NE Riverside Dr, McMinnville, OR 97128, United States",McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Jscaping,,+1-530-405-6926,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Maben Detailing,,+1-971-287-4425,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
PROFESSIONAL CAR DETAILING DUDE'S LLC.,,+1-503-560-8209,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Rodri detailz,,+1-971-446-3785,,"900 SW Booth Bend Rd, McMinnville, OR 97128, United States",McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Vincent's Mobile Detailing,,+1-971-517-6566,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Yamhill County Detailing,,+1-971-901-1402,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
Zays Details,,+1-971-601-6961,,,McMinnville,OR,P2 | Class A | no website found on Google,,Car Detailers
NWShineMobileDetailing,,+1-503-869-9016,,,Newberg,OR,P2 | Class A | no website found on Google,,Car Detailers
Mulcare Autocare,,+1-503-480-4806,,,Salem,OR,P3 | Class A | website broken or unreachable | https://www.mulcareautocare.com/,,Car Detailers
Summit Shine Co.,,+1-971-243-9490,,,Newberg,OR,V1 | P2 | Class A | no website found,,Car Detailers
