Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
MPro Auto Detailing,,+1-541-314-8786,,"80561 US-395, Hermiston, OR 97838, United States",Hermiston,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.instagram.com/mproautodetailing?igsh=aGFtY2JhbmRmNnh1&utm_source=qr,,Car Detailers
Diamond shine detail LlC,,+1-541-571-9841,,,Hermiston,OR,P2 | Class A | no website found on Google,,Car Detailers
Expert Auto Detailing LLC,,+1-541-240-4117,,"1843 NW Geer Rd, Hermiston, OR 97838, United States",Hermiston,OR,P2 | Class A | no website found on Google,,Car Detailers
JMDetails,,+1-541-720-0532,,"1215 SW 11th St, Hermiston, OR 97838, United States",Hermiston,OR,P2 | Class A | no website found on Google,,Car Detailers
On The Go Mobile Wash and Detail,,+1-541-720-4640,,"1366 SW Riverhill Dr, Hermiston, OR 97838, United States",Hermiston,OR,P2 | Class A | no website found on Google,,Car Detailers
ReVVive Auto Detail,,+1-541-561-5371,,,Hermiston,OR,P2 | Class A | no website found on Google,,Car Detailers
LosOrtegasDetailing,,+1-541-377-1880,,,Pendleton,OR,P2 | Class A | no website found on Google,,Car Detailers
Midnight apex performance,,+1-541-620-8914,,,Pendleton,OR,P2 | Class A | no website found on Google,,Car Detailers
Mudgett's Auto Detail,,+1-541-377-1977,,"903 SE Court Ave, Pendleton, OR 97801, United States",Pendleton,OR,P2 | Class A | no website found on Google,,Car Detailers
Exotic Auto Detailing,,+1-541-561-8843,,,Hermiston,OR,V1 | P2 | Class A | no website found,,Car Detailers
Kelly Details,,+1-541-561-8184,,,Hermiston,OR,V1 | P2 | Class A | no website found,,Car Detailers
Orellana’s Mobile detailing LLC,,+1-458-219-5649,,,Hermiston,OR,V1 | P2 | Class A | no website found,,Car Detailers
