Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Eager Beaver Detailing,,+1-503-877-4162,,,Corvallis,OR,P1 | Class A | only a Facebook/booking/directory page | https://calendly.com/elysianangels00/interior-detailing-session,,Car Detailers
efa detailing llc,,+1-541-806-0393,,,Coos Bay,OR,P2 | Class A | no website found on Google,,Car Detailers
Auto Aura Detailing,,+1-541-908-8303,,"5075 Philomath Blvd, Corvallis, OR 97333, United States",Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
Mid Light Detailing,,+1-541-224-5115,,,Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
Prime Detailing,,+1-503-487-1766,,"645 SW 13th St Suite A, Corvallis, OR 97333, United States",Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
Shine detailing,,+1-541-231-2494,,"31404 Bellfountain Rd, Corvallis, OR 97333, United States",Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
Superior Detailing,,+1-541-231-4199,,"350 SW Wake Robin Ave, Corvallis, OR 97333, United States",Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
Willamette Auto Detailing,,+1-541-231-5552,,,Corvallis,OR,P2 | Class A | no website found on Google,,Car Detailers
Brian’s Detailing - Albany Ceramic Coating Studio,,+1-503-908-3178,,"2989 Northwest San Pedro Avenue, Albany, OR 97321, United States",Albany,OR,P3 | Class A | website broken or unreachable | https://briansdetailing.com/albany-or/?utm_source=GBP,,Car Detailers
Top-Tier Mobile Detailing,,+1-541-609-1589,,,Corvallis,OR,V1 | P2 | Class A | no website found,,Car Detailers
