Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Columbia River Mobile Detailing LLC,,+1-503-545-4544,,,St. Helens,OR,P1 | Class A | only a Facebook/booking/directory page | https://crmobiledetail.square.site/,,Car Detailers
Auto Mobile,,+1-971-488-7316,,,Beaverton,OR,P2 | Class A | no website found on Google,,Car Detailers
God's Touch Mobile Detailing,,+1-503-994-2558,,,St. Helens,OR,P2 | Class A | no website found on Google,,Car Detailers
Jeff's Custom Detailing,,+1-503-320-6171,,"391 St Helens St, St Helens, OR 97051, United States",St. Helens,OR,P2 | Class A | no website found on Google,,Car Detailers
Neukes Auto Detailing,,+1-971-328-2533,,,St. Helens,OR,P2 | Class A | no website found on Google,,Car Detailers
Cascade Auto Detailing,,+1-503-476-2311,,"58461 Columbia River Hwy, St Helens, OR 97051, United States",St. Helens,OR,P3 | Class A | website broken or unreachable | http://cascadeautodetailing.com/,,Car Detailers
JJsSpotlessDetailing,,+1-503-438-9547,,,St. Helens,OR,V1 | P2 | Class A | no website found,,Car Detailers
Fresh Finish Detailing,,+1-971-363-6411,,,St. Helens,OR,V1 | P3 | Class A | website broken or unreachable | https://thefreshfinishdetailing.com/,,Car Detailers
Hollywood Mobile Detail,,+1-503-628-9418,,,St. Helens,OR,V1 | P3 | Class A | website broken or unreachable | https://www.hollywoodmobile.net/,,Car Detailers
Meier Detailing,,+1-412-979-5184,,,St. Helens,OR,V1 | P3 | Class A | website broken or unreachable | http://meierdetailing.com/,,Car Detailers
