Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
CB Mobile Detailing,,+1-541-232-4194,,,Grants Pass,OR,P1 | Class A | only a Facebook/booking/directory page | https://cb-mobile-detailing.square.site/,,Car Detailers
Diamond Auto Detail,,+1-541-479-0087,,"712 Redwood Hwy, Grants Pass, OR 97527, United States",Grants Pass,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/Diamond-Auto-Detail-210326909001038/,,Car Detailers
Top Spot Auto Detail,,+1-541-630-3938,,"1810 NE 7th St, Grants Pass, OR 97526, United States",Grants Pass,OR,P1 | Class A | only a Facebook/booking/directory page | https://www.facebook.com/TopSpotDetail,,Car Detailers
Crystal clear car care,,+1-541-254-3140,,,Brookings,OR,P2 | Class A | no website found on Google,,Car Detailers
Bob's Buff & Shine,,+1-541-476-8166,,"625 NE 7th St, Grants Pass, OR 97526, United States",Grants Pass,OR,P2 | Class A | no website found on Google,,Car Detailers
COME TO YOU CAR WASH,,+1-541-761-5247,,"1708 Dowell Rd, Grants Pass, OR 97527, United States",Grants Pass,OR,P2 | Class A | no website found on Google,,Car Detailers
Flawless Detail Services,,+1-541-218-8565,,"405 NW Loughridge Ave, Grants Pass, OR 97526, United States",Grants Pass,OR,P2 | Class A | no website found on Google,,Car Detailers
Miguel Details,,+1-458-257-7771,,,Grants Pass,OR,P2 | Class A | no website found on Google,,Car Detailers
O.C.Detailing,,+1-541-930-1986,,,Grants Pass,OR,P2 | Class A | no website found on Google,,Car Detailers
Streamline Auto and Exhaust,,+1-541-916-8001,,,Grants Pass,OR,V1 | P2 | Class A | no website found,,Car Detailers
