Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Hard 2 Top Mobile Detail,,+1-510-755-4738,,"4100 Redwood Rd 20A- 706, Oakland, CA 94619, United States",Alameda,CA,P4 | Class B | website has issues | http://www.hard2topdetail.com/,,Car Detailers
MIS Mobile Auto Detailing,,+1-628-224-8000,,"764 Kingston Ave, Oakland, CA 94611, United States",Alameda,CA,P4 | Class B | website has issues | https://misautodetail.com/,,Car Detailers
Markato Hand Carwash And Detail,,+1-415-889-9108,,"1901 Park Blvd, Oakland, CA 94606, United States",Alameda,CA,P4 | Class B | website has issues | https://markatodetailing.com/,,Car Detailers
Mike's Craftline Detailing,,+1-510-205-9819,,,Alameda,CA,P4 | Class B | website has issues | https://www.mikescraftlinedetailing.com/,,Car Detailers
NorthStar Mobile Detailing,,+1-510-560-3487,,"1192 71st Ave, Oakland, CA 94621, United States",Alameda,CA,P4 | Class B | website has issues | https://northstardetailingmn.com/,,Car Detailers
Prime Shiners Mobile Auto Detailing,,+1-415-990-2900,,"1823 Sixth St #2, Berkeley, CA 94710, United States",Alameda,CA,P4 | Class B | website has issues | http://www.primeshiners.com/,,Car Detailers
3-G Lux Auto Spa,,+1-323-274-4564,,"7320 N Figueroa St, Los Angeles, CA 90041, United States",Alhambra,CA,P4 | Class B | website has issues | http://3gluxauto.com/,,Car Detailers
A & N Mobile Wash Services,,+1-323-712-3289,,,Alhambra,CA,P4 | Class B | website has issues | https://anmobilewashservice.com/,,Car Detailers
Precision Finish Auto Detail,,+1-626-710-7796,,,Alhambra,CA,P4 | Class B | website has issues | https://pfautodetail.com/,,Car Detailers
Red Diamond Auto Spa- Luxury Mobile Detailing and Car Wash,,+1-323-275-7574,,,Alhambra,CA,P4 | Class B | website has issues | https://sites.google.com/view/mmmdetailing/home,,Car Detailers
Adam's Polishes California,,+1-866-965-0400,,"725 N Shepard St, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | http://adamspolishes.com/,,Car Detailers
American Mobile Truck & Car Wash Inc.,,+1-714-396-1967,,"2681 N Orange Olive Rd, Orange, CA 92865, United States",Anaheim,CA,P4 | Class B | website has issues | https://www.americanmobiletruckandcarwash.com/,,Car Detailers
Auto Detail Supplies Outlet,,+1-714-855-4776,,"325 N State College Blvd, Anaheim, CA 92806, United States",Anaheim,CA,P4 | Class B | website has issues | https://autodetailsuppliesoutletanaheim.com/?utm_source=gbp,,Car Detailers
Aventa Car Detailing Anaheim,,+1-714-386-1688,,"235 W Orangewood Ave, Anaheim, CA 92802, United States",Anaheim,CA,P4 | Class B | website has issues | https://aventacardetailinganaheim.site/,,Car Detailers
