Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
3-G Lux Auto Spa,,+1-323-274-4564,,"7320 N Figueroa St, Los Angeles, CA 90041, United States",Alhambra,CA,P4 | Class B | website has issues | http://3gluxauto.com/,,Car Detailers
A & N Mobile Wash Services,,+1-323-712-3289,,,Alhambra,CA,P4 | Class B | website has issues | https://anmobilewashservice.com/,,Car Detailers
Precision Finish Auto Detail,,+1-626-710-7796,,,Alhambra,CA,P4 | Class B | website has issues | https://pfautodetail.com/,,Car Detailers
Red Diamond Auto Spa- Luxury Mobile Detailing and Car Wash,,+1-323-275-7574,,,Alhambra,CA,P4 | Class B | website has issues | https://sites.google.com/view/mmmdetailing/home,,Car Detailers
Aesthetic Auto Detailing LLC,,+1-626-893-6810,,"1020 Eclipse Way, West Covina, CA 91792, United States",Baldwin Park,CA,P4 | Class B | website has issues | https://www.aestheticautodetailing.com/,,Car Detailers
BR Mobile Detailing,,+1-984-528-2296,,,Baldwin Park,CA,P4 | Class B | website has issues | http://brdetailing.lovable.app/,,Car Detailers
Car Bath Mobile Detailing,,+1-626-470-7359,,,Baldwin Park,CA,P4 | Class B | website has issues | https://www.carbathmobiledetailing.com/,,Car Detailers
Headlight Restoration Shark - Mobile Service,,+1-626-522-5002,,"13429 Tracy St, Baldwin Park, CA 91706, United States",Baldwin Park,CA,P4 | Class B | website has issues | https://docs.google.com/forms/d/e/1FAIpQLSf1Vy1jnzjN6V8myjoFfuhDv4QQt3PraSD0VYL-xvk6WR_Hfg/viewform?usp=publish-editor,,Car Detailers
Magician Pro Detailing,,+1-626-324-8368,,,Baldwin Park,CA,P4 | Class B | website has issues | https://magicianprodetailing.net/,,Car Detailers
Plan A Auto Spa,,+1-626-224-6127,,"222 N Dalton Ave, Azusa, CA 91702, United States",Baldwin Park,CA,P4 | Class B | website has issues | https://www.planaautospa.net/,,Car Detailers
RYNO Classics,,+1-626-873-4410,,,Baldwin Park,CA,P4 | Class B | website has issues | https://rynoclassics.com/,,Car Detailers
SGV Luxurious Detail,,+1-626-423-6964,,"2516 Troy Ave, South El Monte, CA 91733, United States",Baldwin Park,CA,P4 | Class B | website has issues | http://sgvluxuriousdetail.com/,,Car Detailers
Squeegee Mobile Detailing,,+1-323-542-3857,,,Baldwin Park,CA,P4 | Class B | website has issues | https://wcueto93.wixsite.com/my-site,,Car Detailers
The Detail Truck,,+1-626-343-2893,,"710 S Myrtle Ave PMB 631, Monrovia, CA 91016, United States",Baldwin Park,CA,P4 | Class B | website has issues | http://www.thedetailtruck.com/,,Car Detailers
