Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Glendale Detail Shop,,+1-818-299-7985,,"1124 S Brand Blvd, Glendale, CA 91204, United States",Glendale,CA,P4 | Class B | website has issues | http://www.alternatives5.com/glendale-detail-shop/,,Car Detailers
J Auto Care,,+1-213-801-4100,,"5380 Hillmont Ave, Los Angeles, CA 90041, United States",Glendale,CA,P4 | Class B | website has issues | https://msha.ke/jautocare.com,,Car Detailers
Luxury Mobile Detail,,+1-323-440-6040,,"6030 Cadillac Ave Apt 9, Los Angeles, CA 90034, United States",Glendale,CA,P4 | Class B | website has issues | http://luxurymobiledetail.com/,,Car Detailers
VI's mobile detailing,,+1-323-556-1622,,"3677 Jasmine Ave, Los Angeles, CA 90034, United States",Glendale,CA,P4 | Class B | website has issues | http://vismobileautodetailing.com/,,Car Detailers
cleanedbykyle mobile car detailing,,+1-626-262-0520,,"155 N Lake Ave #891, Pasadena, CA 91101, United States",Glendale,CA,P4 | Class B | website has issues | https://cleanedbykyle.com/,,Car Detailers
110 Detail Boyz,,+1-323-518-8338,,"Mobile street, Los Angeles, CA 90043, United States",Inglewood,CA,P4 | Class B | website has issues | http://110-detail-boyz.com/,,Car Detailers
Anwar's Mobile Detailing,,+1-323-901-5094,,"7039 1/2 S La Cienega Blvd South, Los Angeles, CA 90045, United States",Inglewood,CA,P4 | Class B | website has issues | https://anwarsmobiledetailing.com/contact-us,,Car Detailers
Cali luxury detailing (Mobile Service),,+1-323-907-9773,,"7602 S Hobart Blvd, Los Angeles, CA 90047, United States",Inglewood,CA,P4 | Class B | website has issues | http://cali-detailing.com/,,Car Detailers
Car Detailing in Los Angeles - Magic Mike's Detail LLC,,+1-424-393-7346,,"10135 S Burl Ave, Inglewood, CA 90304, United States",Inglewood,CA,P4 | Class B | website has issues | http://magicmikesdetail.com/,,Car Detailers
Clean and shine mobile car wash & detail,,+1-310-627-7717,,,Inglewood,CA,P4 | Class B | website has issues | http://cleanandshinemobilecarwashanddetail.com/,,Car Detailers
Flash Detailing,,+1-424-400-9244,,,Inglewood,CA,P4 | Class B | website has issues | https://flashxdetailing.com/?utm_source=omg-gbp&utm_medium=webclick,,Car Detailers
Gorilla Buff Automotive Service,,+1-310-650-6855,,"4865 W 132nd St, Hawthorne, CA 90250, United States",Inglewood,CA,P4 | Class B | website has issues | http://gorillabuff.com/,,Car Detailers
Klean Car Auto Detailing Supplies,,+1-424-243-0229,,"Store front entrance on La, 979 S La Brea Ave, Brea Ave Unit A, Inglewood, CA 90301, United States",Inglewood,CA,P4 | Class B | website has issues | https://sites.google.com/view/kleancarautodetailingsupplies/home,,Car Detailers
KnG Mobile Detailing,,+1-424-301-1946,,,Inglewood,CA,P4 | Class B | website has issues | https://www.kngmobiledetailing.com/,,Car Detailers
LAN Auto Detailing services,,+1-310-678-7746,,"6081 Center Dr, Los Angeles, CA 90045, United States",Inglewood,CA,P4 | Class B | website has issues | http://www.lanautodetailing.com/,,Car Detailers
Leading Mobile Detailing,,+1-310-321-8639,,"1750 E Holly Ave Ste A, El Segundo, CA 90245, United States",Inglewood,CA,P4 | Class B | website has issues | http://www.leadingdetailing.com/,,Car Detailers
