Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Wash Me Now Mobile Car Detailing,,+1-714-815-7948,,,Costa Mesa,CA,P4 | Class B | website has issues | http://www.washmenowoc.com/,,Car Detailers
professional mobile detailing,,+1-714-561-1951,,"3106 S Main St, Santa Ana, CA 92707, United States",Costa Mesa,CA,P4 | Class B | website has issues | https://theprofessionalmobiledetailing.com/,,Car Detailers
Cozz Mobile Detail,,+1-562-645-0471,,,Downey,CA,P4 | Class B | website has issues | https://www.cozzmobiledetail.com/,,Car Detailers
"Signature Mobile Detailing, LLC.",,+1-424-268-0586,,,Downey,CA,P4 | Class B | website has issues | https://signaturemdllc.com/,,Car Detailers
Aestheticar Detailing,,+1-714-329-8053,,,Fullerton,CA,P4 | Class B | website has issues | http://www.aestheticardetailing.com/,,Car Detailers
Fullerton 5Star Fresh Mobile Detailing,,+1-714-464-7940,,"339 W Whiting Ave, Fullerton, CA 92832, United States",Fullerton,CA,P4 | Class B | website has issues | https://5starfreshdetailing.com/,,Car Detailers
Luminous,,+1-949-274-9963,,,Fullerton,CA,P4 | Class B | website has issues | https://www.luminousmobiledetailing.com/,,Car Detailers
MaxShine - All For Detailing Shop,,+1-949-418-9161,,"1470 W Moonstone St, Brea, CA 92821, United States",Fullerton,CA,P4 | Class B | website has issues | https://www.maxshineusa.com/,,Car Detailers
Prestige Mobile Detailing LLC,,+1-661-800-9668,,,Fullerton,CA,P4 | Class B | website has issues | https://prestigemobiledetailing.setmore.com/angel,,Car Detailers
Rise And Shine Mobile Detail,,+1-714-584-3874,,,Fullerton,CA,P4 | Class B | website has issues | https://riseandshinemobiledetail.godaddysites.com/,,Car Detailers
Wax Coat Car Detailing,,+1-714-582-1312,,"760 Merrywood Ct, Brea, CA 92821, United States",Fullerton,CA,P4 | Class B | website has issues | https://waxcoatcardetailingbrea.site/,,Car Detailers
Apex Car Detailing Westminster,,+1-714-276-1658,,"7941 13th St, Westminster, CA 92683, United States",Garden Grove,CA,P4 | Class B | website has issues | https://apexcardetailinwestminster.site/,,Car Detailers
AutoReviveOC,,+1-714-209-5723,,"13417 Jasmine Way, Garden Grove, CA 92843, United States",Garden Grove,CA,P4 | Class B | website has issues | http://autoreviveoc.org/,,Car Detailers
Brad new mobile hands car wash detailing,,+1-630-641-3268,,"15123 Brookhurst St, Westminster, CA 92683, United States",Garden Grove,CA,P4 | Class B | website has issues | http://bradnewmobilehandscarwashdetailing.com/,,Car Detailers
Detail My Car and films,,+1-714-561-6304,,"15071 Sevilla Cir, Huntington Beach, CA 92647, United States",Garden Grove,CA,P4 | Class B | website has issues | http://www.detailmycarandfilms.com/,,Car Detailers
Dr. Gloss Mobile Detail,,+1-714-702-2761,,,Garden Grove,CA,P4 | Class B | website has issues | https://www.drglossmd.com/,,Car Detailers
ESP Detailing,,+1-714-749-8600,,,Garden Grove,CA,P4 | Class B | website has issues | https://espautodetailing.com/,,Car Detailers
Golden League Car Detailing,,+1-714-408-1269,,"11850 Beach Blvd, Stanton, CA 90680, United States",Garden Grove,CA,P4 | Class B | website has issues | http://goldenleaguecardetailing.site/,,Car Detailers
JC’s Auto Mobile Detail,,+1-949-401-3335,,,Garden Grove,CA,P4 | Class B | website has issues | http://www.jcautomobiledetail.com/,,Car Detailers
"Lightning Auto, Boat & RV Detail",,+1-714-530-5996,,,Garden Grove,CA,P4 | Class B | website has issues | https://lightningdetail.com/,,Car Detailers
MT Professional Car Detailing,,+1-714-586-2125,,"7121 21st St, Westminster, CA 92683, United States",Garden Grove,CA,P4 | Class B | website has issues | https://mtprofessionaldetail.com/Services,,Car Detailers
Mobile Polish Car Detailing,,+1-657-255-5583,,"8342 Westminster Blvd., Westminster, CA 92683, United States",Garden Grove,CA,P4 | Class B | website has issues | https://mobilepolishcardetailing.site/,,Car Detailers
OC Detail Kings LLC (Mobile Detailing),,+1-714-483-3566,,,Garden Grove,CA,P4 | Class B | website has issues | http://ocdetailkings.com/,,Car Detailers
OTW Detailing,,+1-657-204-0874,,,Garden Grove,CA,P4 | Class B | website has issues | https://otwdetailingoc.com/,,Car Detailers
Sunset Detailing,,+1-657-532-2979,,,Garden Grove,CA,P4 | Class B | website has issues | https://sunsetdetailing.my.canva.site/,,Car Detailers
URBAN AUTO DETAILING & WINDOW TINT,,+1-714-975-1076,,,Garden Grove,CA,P4 | Class B | website has issues | https://urbanautodetailingllc.com/,,Car Detailers
Elite Auto Wrap - Xpel - Xpel Fusion PPF - Xpel XR Plus - Xpel Ultimate Plus PPF,,+1-714-951-8300,,"15481 Electronic Ln # D, Huntington Beach, CA 92649, United States",Huntington Beach,CA,P4 | Class B | website has issues | http://eliteautowrap.com/,,Car Detailers
Polished Detail Products,,+1-310-944-4456,,"15422 Electronic Ln, Huntington Beach, CA 92649, United States",Huntington Beach,CA,P4 | Class B | website has issues | https://www.polisheddetail.com/,,Car Detailers
Polished Protection - Ceramic Pro Elite Huntington Beach,,+1-714-984-6555,,"15422 Electronic Ln, Huntington Beach, CA 92649, United States",Huntington Beach,CA,P4 | Class B | website has issues | https://polishedprotection.com/,,Car Detailers
Power Glow Auto Detailing,,+1-657-300-5914,,"6762 Warner Ave, Huntington Beach, CA 92647, United States",Huntington Beach,CA,P4 | Class B | website has issues | https://powerglowautodetailing.site/,,Car Detailers
Slick Look Auto Detailing,,+1-714-356-8537,,"123 Main St, Huntington Beach, CA 92647, United States",Huntington Beach,CA,P4 | Class B | website has issues | http://slicklookautodetailing.com/,,Car Detailers
Spark Finish Auto Detailing,,+1-714-477-7895,,"401 Atlanta Ave, Huntington Beach, CA 92648, United States",Huntington Beach,CA,P4 | Class B | website has issues | https://sparkfinishautodetailng.site/,,Car Detailers
VMD Auto Care,,+1-909-226-3007,,,Huntington Beach,CA,P4 | Class B | website has issues | https://www.vanderwalkermobiledetail.com/,,Car Detailers
30 Min. or Less - Mobile Detailing,,+1-714-852-0763,,,Irvine,CA,P4 | Class B | website has issues | http://www.30minorless.com/,,Car Detailers
Ark Mobile Detail,,+1-949-685-9010,,"25422 Trabuco Rd, Lake Forest, CA 92630, United States",Irvine,CA,P4 | Class B | website has issues | http://www.arkmobiledetail.com/,,Car Detailers
Aurum Auto Detailing,,+1-714-942-4780,,"2480 Irvine Blvd, Tustin, CA 92782, United States",Irvine,CA,P4 | Class B | website has issues | https://aurumautodetailing.site/,,Car Detailers
Bluepine Car Detailing,,+1-213-556-8278,,"12 Sparrowhawk, Irvine, CA 92604, United States",Irvine,CA,P4 | Class B | website has issues | https://bluepinedetailingandcleaning.replit.app/,,Car Detailers
Boldbat Detailing,,+1-832-680-8187,,"Spectrum #400, Irvine, CA 92618, United States",Irvine,CA,P4 | Class B | website has issues | http://www.boldbatdetailing.com/,,Car Detailers
Davids Car Detailing Lake Forest,,+1-949-519-4689,,"25441 Old Trabuco Rd, Lake Forest, CA 92630, United States",Irvine,CA,P4 | Class B | website has issues | https://davidscardetailinglakeforest.site/,,Car Detailers
Dialed Mobile,,+1-661-249-9711,,"24811 Magic Mountain Pkwy #1613, Santa Clarita, CA 91355, United States",Irvine,CA,P4 | Class B | website has issues | http://www.dialeddetail.com/,,Car Detailers
Executive One,,+1-949-474-2250,,"3151 Michelson Dr, Irvine, CA 92612, United States",Irvine,CA,P4 | Class B | website has issues | http://www.execonehome.com/,,Car Detailers
Hardy's Mobile Detailing,,+1-949-313-2721,,,Irvine,CA,P4 | Class B | website has issues | https://www.hardyswashnwax.com/orange-county,,Car Detailers
Hazys Mobile Car Detailing,,+1-949-422-1196,,"24206 Elrond Ln, Lake Forest, CA 92630, United States",Irvine,CA,P4 | Class B | website has issues | https://dot.cards/chazlett33?e=ZGV2aWNILWtjbG56Y25mZW5rbm56aXRmOGs1ZWw4N2MtYy1iZw,,Car Detailers
Irvine Pristine Mobile Car Detailing,,+1-714-855-8161,,,Irvine,CA,P4 | Class B | website has issues | https://pristinedetailing.lovable.app/,,Car Detailers
Kuya Mobile Detailing,,+1-949-501-3167,,"bake, Lake Forest, CA 92610, United States",Irvine,CA,P4 | Class B | website has issues | https://sites.google.com/view/kuyamobiledetailing/about-us?authuser=0,,Car Detailers
Legend 7 Motorsports - Irvine,,+1-626-379-7712,,"2493 Du Bridge Ave, Irvine, CA 92606, United States",Irvine,CA,P4 | Class B | website has issues | https://legend7motorsports.net/,,Car Detailers
Mission Viejo 5Star Fresh Mobile Detailing,,+1-714-581-9101,,"26182 Avenida Calidad, Mission Viejo, CA 92691, United States",Irvine,CA,P4 | Class B | website has issues | https://5starfreshdetailing.com/,,Car Detailers
NXT Level Auto Protection,,+1-714-274-6540,,"1542 Edinger Ave Unit 9E, Tustin, CA 92780, United States",Irvine,CA,P4 | Class B | website has issues | http://www.nxtlevelprotection.com/,,Car Detailers
OC MADS-Mobile Auto Detailing Services,,+1-949-771-5330,,"Dispatch Center, 23131 Orange Ave # F, Lake Forest, CA 92630, United States",Irvine,CA,P4 | Class B | website has issues | http://www.ocmads.com/,,Car Detailers
Over The Top Car Care,,+1-949-309-7525,,"22365 El Toro Rd #156, Lake Forest, CA 92630, United States",Irvine,CA,P4 | Class B | website has issues | https://ottcarcare.com/,,Car Detailers
Premier Car Detailing irvine,,+1-949-881-5037,,"130 Progress, Irvine, CA 92618, United States",Irvine,CA,P4 | Class B | website has issues | http://premiercardetailingirvine.site/,,Car Detailers
Pure Auto Collective,,+1-949-573-8453,,"2091 Business Center Dr #209, Irvine, CA 92612, United States",Irvine,CA,P4 | Class B | website has issues | https://www.pureautocollective.com/,,Car Detailers
Refined finish car detailing,,+1-949-822-7643,,"159 Overbrook, Irvine, CA 92620, United States",Irvine,CA,P4 | Class B | website has issues | http://refinedfinishcardetailing.site/,,Car Detailers
