Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Vega's Auto Detail (Santa Clarita Area Only),,+1-661-476-8965,,"Cinema Dr, Valencia, CA 91355, United States",Lake Forest,CA,P4 | Class B | website has issues | http://vegasautodetailers.org/,,Car Detailers
Ventura's Auto Detail,,+1-949-310-6035,,,Lake Forest,CA,P4 | Class B | website has issues | http://venturasautodetail.com/,,Car Detailers
All Pro Mobile Detailing,,+1-562-497-1457,,,Lakewood,CA,P4 | Class B | website has issues | http://www.allpromobiledetailing.com/,,Car Detailers
Golden Mobile Detailing,,+1-562-541-4169,,,Lakewood,CA,P4 | Class B | website has issues | https://www.goldencardetails.com/,,Car Detailers
Hard Hitters Car Detailing,,+1-562-526-0958,,"4395 Casa Grande Cir, Cypress, CA 90630, United States",Lakewood,CA,P4 | Class B | website has issues | https://hardhitterscardetailingcypress.site/,,Car Detailers
Signature Finish Car Detailing,,+1-657-213-3524,,"5120 Lincoln Ave, Cypress, CA 90630, United States",Lakewood,CA,P4 | Class B | website has issues | http://signaturefinishcardetailing.site/,,Car Detailers
Polished Car Detailing,,+1-562-534-5295,,"350 Marina Dr, Seal Beach, CA 90740, United States",Long Beach,CA,P4 | Class B | website has issues | https://polishedcardetailing.site/,,Car Detailers
Road One Auto Care,,+1-562-999-1597,,,Long Beach,CA,P4 | Class B | website has issues | http://roadoneautocare.com/,,Car Detailers
Rudy's Auto Detailing LB,,+1-562-508-6690,,,Long Beach,CA,P4 | Class B | website has issues | http://www.rudysautodetailing.com/contact-us,,Car Detailers
The Detail Company Mobile Detailing,,+1-323-994-3604,,,Long Beach,CA,P4 | Class B | website has issues | http://thedetailcompany.setmore.com/,,Car Detailers
Delucco’s Mobile Detailing & Ceramic Coating,,+1-562-296-7341,,,Menifee,CA,P4 | Class B | website has issues | http://deluccosmobileautospa.com/,,Car Detailers
890CityShine,,+1-949-866-2003,,,Mission Viejo,CA,P4 | Class B | website has issues | https://890cityshine.my.canva.site/,,Car Detailers
ANP Auto Detailing,,+1-949-647-4433,,,Mission Viejo,CA,P4 | Class B | website has issues | https://anpautodetailing.com/,,Car Detailers
All American Detailing,,+1-757-837-6359,,"Mission Viejo, CA 92691, United States",Mission Viejo,CA,P4 | Class B | website has issues | https://aamericandetailingllc.com/,,Car Detailers
Apex Mobile Auto Detailing,,+1-858-256-1998,,,Mission Viejo,CA,P4 | Class B | website has issues | https://apexdetails.com/,,Car Detailers
Autova Car Detailing,,+1-949-628-6362,,"27082 O'Neill Dr, Mission Viejo, CA 92694, United States",Mission Viejo,CA,P4 | Class B | website has issues | https://autovacardetailing.site/,,Car Detailers
Browne’s Mobile Detailing,,+1-949-680-5141,,,Mission Viejo,CA,P4 | Class B | website has issues | https://brownes-mobiledetailing.com/,,Car Detailers
HIGH DETAIL CAR DETAILING,,+1-949-832-6858,,"44 Coventry Ln, Aliso Viejo, CA 92656, United States",Mission Viejo,CA,P4 | Class B | website has issues | https://highdetailcardetailing.site/,,Car Detailers
Ladera Detail Mobile Car Detailing and Paint Correction Service,,+1-949-844-5867,,,Mission Viejo,CA,P4 | Class B | website has issues | https://laderadetail.com/,,Car Detailers
The Detail Haus OC,,+1-949-987-1337,,"136 Jaripol Cir, Rancho Mission Viejo, CA 92694, United States",Mission Viejo,CA,P4 | Class B | website has issues | http://www.detailhausoc.com/,,Car Detailers
VS Detailing - Professional Detailing Services,,+1-445-888-2133,,,Mission Viejo,CA,P4 | Class B | website has issues | http://www.vsdetailingusa.com/,,Car Detailers
Redeemer Mobile Detailing,,+1-714-457-7331,,,Murrieta,CA,P4 | Class B | website has issues | http://www.redeemermobile.com/,,Car Detailers
Duda’s Detailing,,+1-562-322-0063,,,Norwalk,CA,P4 | Class B | website has issues | https://dudasdetailing.net/,,Car Detailers
Spotless Auto Detailing,,+1-909-910-0473,,,Ontario,CA,P4 | Class B | website has issues | https://www.spotlessautodetaild.com/,,Car Detailers
BLACKSHIELD AUTODETAIL BY ENRIQUE TORRES,,+1-714-955-2000,,"818 W Katella Ave, Orange, CA 92867, United States",Orange,CA,P4 | Class B | website has issues | http://www.blackshieldautodetail.com/,,Car Detailers
