Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Pro Detailing and Ceramic Coatings By Luis,,+1-760-613-0298,,,Escondido,CA,P4 | Class B | website has issues | https://book.heygoldie.com/detailingbyluis,,Car Detailers
RevItClean Auto Spa • Ceramic Coating & Detail Service,,+1-760-444-0327,,"1331 Simpson Way, Escondido, CA 92026, United States",Escondido,CA,P4 | Class B | website has issues | http://www.revitclean.com/,,Car Detailers
Rivera Auto Detail,,+1-760-410-7901,,"506 N Fig St, Escondido, CA 92025, United States",Escondido,CA,P4 | Class B | website has issues | https://joserivera9124.wixsite.com/website,,Car Detailers
Smart Car Care - Detailing Supplies,,+1-760-871-8000,,"1217 Simpson Way, Escondido, CA 92029, United States",Escondido,CA,P4 | Class B | website has issues | https://smartcarcareproducts.com/,,Car Detailers
The Detail Shop,,+1-760-420-4325,,"320 N Andreasen Dr, Escondido, CA 92029, United States",Escondido,CA,P4 | Class B | website has issues | https://the1detailshop.com/,,Car Detailers
The Detailing Gentlemen,,+1-858-382-9854,,,Escondido,CA,P4 | Class B | website has issues | https://thedetailinggentlemen.com/,,Car Detailers
True Care Mobile Detailing LLC.,,+1-760-212-8616,,,Escondido,CA,P4 | Class B | website has issues | https://www.truecaremobiledetailing.com/,,Car Detailers
Visual Protection Specialists,,+1-760-708-2002,,"2180 Meyers Ave A, Escondido, CA 92029, United States",Escondido,CA,P4 | Class B | website has issues | http://www.visualprotectionspecialists.com/,,Car Detailers
Crystal Bay Car Detailing,,+1-760-621-7542,,"405 N Clementine St, Oceanside, CA 92054, United States",Oceanside,CA,P4 | Class B | website has issues | https://crystalbaycardetailing.shop/,,Car Detailers
DnA Auto Detailing,,+1-760-575-0782,,,Oceanside,CA,P4 | Class B | website has issues | https://sites.google.com/view/dnaautodetailing/home,,Car Detailers
Fresh Drive Car Detailing,,+1-760-230-0518,,"2725 Thunder Dr, Oceanside, CA 92056, United States",Oceanside,CA,P4 | Class B | website has issues | https://freshdrivecardetailing.shop/,,Car Detailers
GDNZ Auto Detail,,+1-442-271-9352,,,Oceanside,CA,P4 | Class B | website has issues | https://gdnzautodetailing.replit.app/,,Car Detailers
JC Mobile Detailing,,+1-760-385-5955,,,Oceanside,CA,P4 | Class B | website has issues | https://book.heygoldie.com/JC-Mobile-Detailing,,Car Detailers
Luis Mobile Detailing,,+1-760-846-9367,,,Oceanside,CA,P4 | Class B | website has issues | https://luismobiledetailin.wixsite.com/luismobiledetailing,,Car Detailers
Pacific Pearl car detailing,,+1-206-818-6201,,"4700 N River Rd, Oceanside, CA 92057, United States",Oceanside,CA,P4 | Class B | website has issues | https://pacificpearlcardetailing.site/,,Car Detailers
Surf and Shine Auto Detailing,,+1-760-334-9440,,,Oceanside,CA,P4 | Class B | website has issues | https://surfandshinedetail.com/,,Car Detailers
Tide Line Car Detailing,,+1-760-456-8698,,"5568 Thoroughbred St, Oceanside, CA 92057, United States",Oceanside,CA,P4 | Class B | website has issues | https://tidelinecardetailing.shop/,,Car Detailers
A&P Detailing Studio,,+1-949-966-8477,,"6920 Miramar Rd, San Diego, CA 92121, United States",San Diego,CA,P4 | Class B | website has issues | https://apdetailingstudio.com/,,Car Detailers
