Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Podium Protection Film,,+1-951-234-0622,,"26900 Jefferson Ave #120, Murrieta, CA 92562, United States",Murrieta,CA,P4 | Class B | website has issues | https://www.podiumprotectionfilm.com/,,Car Detailers
Precision Mobile Detailing,,+1-951-387-4893,,,Murrieta,CA,P4 | Class B | website has issues | https://pocketsuite.io/link/G1Gj,,Car Detailers
Signature Detail & Tint,,+1-951-484-0980,,"42066 Avenida Alvarado Ste K, Temecula, CA 92590, United States",Murrieta,CA,P4 | Class B | website has issues | http://smdtemecula.com/,,Car Detailers
Suds Auto Detailing,,+1-951-523-7837,,"42108 Roick Dr B, Temecula, CA 92590, United States",Murrieta,CA,P4 | Class B | website has issues | http://sudsmobiledetail.com/,,Car Detailers
Super Shine Mobile Auto Detailing,,+1-619-552-5291,,,Murrieta,CA,P4 | Class B | website has issues | http://www.supershinead.com/,,Car Detailers
TNC Mobile Detailing,,+1-858-239-0993,,,Murrieta,CA,P4 | Class B | website has issues | https://tnccardetailing.com/,,Car Detailers
Yancey’s auto detailing,,+1-760-828-2314,,"41746 Gilwood Ct, Temecula, CA 92591, United States",Murrieta,CA,P4 | Class B | website has issues | https://www.yaddetailing.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,Car Detailers
Anderson Mobile Detailing - Certified Ceramic Coat Installer,,+1-760-699-4092,,,Palm Desert,CA,P4 | Class B | website has issues | http://www.andersonmobiledetailing.com/,,Car Detailers
Aparicio’s Mobile Car Wash & Detailing,,+1-760-851-8778,,"73285 Santa Rosa Way, Palm Desert, CA 92260, United States",Palm Desert,CA,P4 | Class B | website has issues | http://aparicioscarwash.com/,,Car Detailers
KMH Headlights LLC,,+1-760-851-3940,,,Palm Desert,CA,P4 | Class B | website has issues | https://kmh-headlights-llc.merlin.site/,,Car Detailers
Loyalty Detail Services Certified Ceramic Installer,,+1-760-610-4049,,"hwy111, Palm Desert, CA 92260, United States",Palm Desert,CA,P4 | Class B | website has issues | http://loyaltydetailservices.com/,,Car Detailers
Melgar's Auto Detail Supplies,,+1-760-464-0406,,"32150 Candlewood Dr #4, Cathedral City, CA 92234, United States",Palm Desert,CA,P4 | Class B | website has issues | https://melgarautodetailsupplies.com/,,Car Detailers
Monster Mobile Detailing Services /Ceramic coating/ Palm Springs,,+1-866-843-5836,,,Palm Desert,CA,P4 | Class B | website has issues | https://www.monstermobiledetailingca.com/,,Car Detailers
CleanAndReady Mobile Auto Detailing,,+1-760-812-3929,,,Palm Springs,CA,P4 | Class B | website has issues | http://www.cleannready.com/,,Car Detailers
CleanRidez Mobile Detailing,,+1-760-534-4359,,,Palm Springs,CA,P4 | Class B | website has issues | https://cleanridezdetailing.wixsite.com/cleanridez,,Car Detailers
Desert Luxe Detailing,,+1-760-567-5553,,,Palm Springs,CA,P4 | Class B | website has issues | https://desertluxedetailing.com/,,Car Detailers
