Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Apex Tint,,+1-408-827-5839,,"SF Bay Area (Mobile, San Jose, CA 95134, United States",Fremont,CA,P4 | Class B | website has issues | https://xhslink.com/m/5nzKoAvr7QF,,Car Detailers
Black Sheep Auto Detailing,,+1-408-915-1488,,"1155 Reed Ave STE D, Sunnyvale, CA 94086, United States",Fremont,CA,P4 | Class B | website has issues | https://www.blacksheepautodetailing.com/,,Car Detailers
JJ Mobile Auto Detailing,,+1-408-415-9783,,"1198-B Norman Ave, Santa Clara, CA 95054, United States",Fremont,CA,P4 | Class B | website has issues | http://jjmobiledetailing.com/,,Car Detailers
Prolific Auto Spa,,+1-907-521-8384,,,Fremont,CA,P4 | Class B | website has issues | https://www.prolificautospa.com/,,Car Detailers
Ultra Detailz,,+1-669-294-0268,,,Fremont,CA,P4 | Class B | website has issues | http://ultradetailz.com/,,Car Detailers
Branditon Auto details,,+1-650-454-0851,,,Gilroy,CA,P4 | Class B | website has issues | https://pocketsuite.io/link/branditon-auto-details,,Car Detailers
California Detail Center,,+1-408-778-7971,,"16375 Monterey Hwy A2, Morgan Hill, CA 95037, United States",Gilroy,CA,P4 | Class B | website has issues | http://californiadetailcenter.com/,,Car Detailers
Frits Detail Shop | #1 Ceramic Coating Shop in Morgan Hill,,+1-408-763-3808,,"16890 Church St Bldg 15, Unit B, Morgan Hill, CA 95037, United States",Gilroy,CA,P4 | Class B | website has issues | https://www.fritsautodetail.com/,,Car Detailers
Shine Coat Auto Detailing,,+1-408-609-9741,,"8885 Forest St Ste E, Gilroy, CA 95020, United States",Gilroy,CA,P4 | Class B | website has issues | http://www.shinecoatautodetailing.com/,,Car Detailers
Supreme Shine Mobile Detailing,,+1-408-332-7308,,,Gilroy,CA,P4 | Class B | website has issues | http://www.supremeshinemobile.com/,,Car Detailers
Xtreme Kustom Details,,+1-408-776-9094,,"Bldg C2, 16840 Joleen Way # D1, Morgan Hill, CA 95037, United States",Gilroy,CA,P4 | Class B | website has issues | http://xtremekustomdetail.com/,,Car Detailers
AJ Professional Detailing,,+1-408-947-1111,,"702 Coleman Ave, San Jose, CA 95110, United States",Milpitas,CA,P4 | Class B | website has issues | https://www.ajautodetail.com/,,Car Detailers
AURENX Car Detailing,,+1-408-886-9576,,"2004 Sierra Rd, San Jose, CA 95131, United States",Milpitas,CA,P4 | Class B | website has issues | https://aurenxdetail.site/,,Car Detailers
Canova Brothers Auto Detail,,+1-408-432-7324,,,Milpitas,CA,P4 | Class B | website has issues | https://canovabrosautodetailing.com/,,Car Detailers
Coating Kings Studio,,+1-650-430-9144,,"3340 Bassett St, Santa Clara, CA 95054, United States",Milpitas,CA,P4 | Class B | website has issues | https://coatingkingstudio.com/,,Car Detailers
K.N.K Detailing,,+1-408-726-3495,,"Flickinger Ave, San Jose, CA 95131, United States",Milpitas,CA,P4 | Class B | website has issues | http://knkdetailing.com/,,Car Detailers
