Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
A70 Detailing,,+1-925-587-4895,,"2529 Mammoth Way, Antioch, CA 94531, United States",Antioch,CA,P4 | Class B | website has issues | https://www.a70detailing.com/,,Car Detailers
AC QuickShine Mobile Detail,,+1-925-383-7852,,"W 10th St, Antioch, CA 94509, United States",Antioch,CA,P4 | Class B | website has issues | https://www.acquickshine.com/,,Car Detailers
Diamond Detailing,,+1-925-428-0182,,,Antioch,CA,P4 | Class B | website has issues | https://diamonddetailing66.godaddysites.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio,,Car Detailers
Driven2Detail,,+1-707-564-7099,,,Antioch,CA,P4 | Class B | website has issues | http://driven2detailca.com/,,Car Detailers
JDI Detailing – Auto Detailing,,+1-925-409-0127,,"792 Peachwillow Dr, Brentwood, CA 94513, United States",Antioch,CA,P4 | Class B | website has issues | https://www.jdidetailing.com/,,Car Detailers
JJ's Elite Details - Premium PPF & Ceramic Coatings,,+1-707-470-7175,,"1806 Verne Roberts Cir, Antioch, CA 94509, United States",Antioch,CA,P4 | Class B | website has issues | https://www.jjselitedetails.com/,,Car Detailers
Just unique auto Detailing,,+1-925-206-8288,,"2201 W 10th St Ste E, Antioch, CA 94509, United States",Antioch,CA,P4 | Class B | website has issues | http://justuniquedetailing.com/,,Car Detailers
NC DETAIL- MOBILE DETAILING SERVICE,,+1-925-954-4939,,,Antioch,CA,P4 | Class B | website has issues | https://www.ncmobiledetail.com/,,Car Detailers
WASHED,,+1-925-308-3916,,"2243 Hemet Ct, Brentwood, CA 94513, United States",Antioch,CA,P4 | Class B | website has issues | http://www.washedmobiledetailing.com/,,Car Detailers
Xtreme Detail LLC (Mobile Detailing),,+1-510-927-1390,,,Benicia,CA,P4 | Class B | website has issues | https://www.xtremedetail.co/,,Car Detailers
510 Mobile Detail,,+1-510-939-1594,,"1024 Avocet Dr, Hercules, CA 94547, United States",Berkeley,CA,P4 | Class B | website has issues | http://www.510mobiledetail.com/,,Car Detailers
Supreme Glow Auto Detailing,,+1-650-586-0012,,,Brentwood,CA,P4 | Class B | website has issues | https://www.supremeglowdetailing.com/,,Car Detailers
Imperial Auto Detailing,,+1-916-279-5822,,,Carmichael,CA,P4 | Class B | website has issues | http://www.imperialautodetailing.com/,,Car Detailers
1032 Mobile Detailing,,+1-925-435-7522,,"1990 Olivera Rd, Concord, CA 94520, United States",Concord,CA,P4 | Class B | website has issues | https://sites.google.com/view/detailme1032/home?authuser=0&utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnW69eXm90OIM4Lncr0BCgYQWon9I20rFMwQ-rmY6wYLelJiaeVlfBueCfS-o_aem_AFDoPStcfnF_5L0V_vIysA,,Car Detailers
Clear Auto Spa,,+1-925-289-8582,,"Parking Level P2, 2121 N California Blvd level p2, Walnut Creek, CA 94596, United States",Concord,CA,P4 | Class B | website has issues | https://clearautospa.com/,,Car Detailers
Crystal Clear Protection Wraps,,+1-925-448-1457,,"2314 Bates Ave Unit C, Concord, CA 94520, United States",Concord,CA,P4 | Class B | website has issues | http://www.crystalclearwraps.com/,,Car Detailers
Devil Mountain Auto Detail,,+1-925-609-9274,,"108 Medburn St, Concord, CA 94520, United States",Concord,CA,P4 | Class B | website has issues | http://www.devilmountainautodetail.com/,,Car Detailers
Fresh N Clean Auto Detailing,,+1-925-255-5525,,"2655 Cloverdale Ave Ste L, Concord, CA 94518, United States",Concord,CA,P4 | Class B | website has issues | http://freshncleanexpress.com/,,Car Detailers
Geronimo's Professional Auto Detailing,,+1-925-360-7495,,"2105 N Broadway, Walnut Creek, CA 94596, United States",Concord,CA,P4 | Class B | website has issues | https://www.geronimosautodetail.com/,,Car Detailers
GoDetailX Fully Mobile (We come to you!),,+1-415-596-8518,,"101 Fountainhead Ct, Martinez, CA 94553, United States",Concord,CA,P4 | Class B | website has issues | https://godetailx.com/east-bay,,Car Detailers
Kaizo Mobile Car Detailing,,+1-510-831-6002,,"5511 Nebraska Dr, Concord, CA 94521, United States",Concord,CA,P4 | Class B | website has issues | https://kaizocleaning.com/,,Car Detailers
MIS Mobile Concord,,+1-925-639-5013,,"5000 Pacheco Blvd, Pacheco, CA 94553, United States",Concord,CA,P4 | Class B | website has issues | https://www.misautodetail.com/concord,,Car Detailers
Ottati Car Detailing,,+1-925-766-5373,,"1410 Concord Ave Ste d, Concord, CA 94520, United States",Concord,CA,P4 | Class B | website has issues | https://ottaticardetailing.com/,,Car Detailers
Pristine Details,,+1-530-407-9134,,,Concord,CA,P4 | Class B | website has issues | http://www.bayareapristinedetails.com/,,Car Detailers
Vision Detailing,,+1-925-665-9436,,"Concord, CA 94520, United States",Concord,CA,P4 | Class B | website has issues | https://visiondetailingco.wixsite.com/autodetailing,,Car Detailers
fast lane detailing 925,,+1-925-378-8083,,"1434 La Vista Ave, Concord, CA 94521, United States",Concord,CA,P4 | Class B | website has issues | https://fld925.xyz/,,Car Detailers
