Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Angelo's Auto Detailing,,+1-805-329-3649,,,Camarillo,CA,P4 | Class B | website has issues | https://pocketsuite.io/link/angelos-auto-detailing,,Car Detailers
DD’s Car Detailing,,+1-833-829-2680,,"3321 Madera Pl, Oxnard, CA 93033, United States",Camarillo,CA,P4 | Class B | website has issues | http://ddscardetailing.com/,,Car Detailers
DK Mobile Wash - Camarillo,,+1-805-833-0167,,"5227 Mission Oaks Blvd, Camarillo, CA 93012, United States",Camarillo,CA,P4 | Class B | website has issues | https://dkmobilewashventura.com/,,Car Detailers
Detail Chicks Mobile Detailing Services,,+1-805-394-8833,,"3851 Harbour Island Ln, Oxnard, CA 93035, United States",Camarillo,CA,P4 | Class B | website has issues | http://detailchicks.com/,,Car Detailers
Exotic Auto Mobile Detailing,,+1-805-794-2948,,,Camarillo,CA,P4 | Class B | website has issues | https://jesus212222.wixsite.com/exotic-auto-detailin,,Car Detailers
Lustra Detail Company,,+1-805-626-0540,,,Camarillo,CA,P4 | Class B | website has issues | https://lustradetail.co/,,Car Detailers
Melgoza Mobile Detailing - Camarillo,,+1-805-814-5691,,"2249 Pickwick Dr, Camarillo, CA 93010, United States",Camarillo,CA,P4 | Class B | website has issues | https://melgozadetailing.com/,,Car Detailers
Mike's Pro Detail,,+1-818-381-9905,,,Camarillo,CA,P4 | Class B | website has issues | https://www.fulldetailpro.com/,,Car Detailers
New Millennium Mobile Car Wash & Auto Detail,,+1-805-276-7171,,"Oxnard, CA 93030, United States",Camarillo,CA,P4 | Class B | website has issues | https://www.nmautodetail.com/,,Car Detailers
Supreme Auto Detail,,+1-805-444-7630,,"1180 Newbury Rd, Newbury Park, CA 91320, United States",Camarillo,CA,P4 | Class B | website has issues | http://supremedetailca.com/,,Car Detailers
TLC Auto Interior Detailing,,+1-805-407-3594,,"4023 Camino Ranchero # I, Camarillo, CA 93012, United States",Camarillo,CA,P4 | Class B | website has issues | http://www.tlc4auto.com/,,Car Detailers
