Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Hard 2 Top Mobile Detail,,+1-510-755-4738,,"4100 Redwood Rd 20A- 706, Oakland, CA 94619, United States",Alameda,CA,P4 | Class B | website has issues | http://www.hard2topdetail.com/,,Car Detailers
MIS Mobile Auto Detailing,,+1-628-224-8000,,"764 Kingston Ave, Oakland, CA 94611, United States",Alameda,CA,P4 | Class B | website has issues | https://misautodetail.com/,,Car Detailers
Markato Hand Carwash And Detail,,+1-415-889-9108,,"1901 Park Blvd, Oakland, CA 94606, United States",Alameda,CA,P4 | Class B | website has issues | https://markatodetailing.com/,,Car Detailers
NorthStar Mobile Detailing,,+1-510-560-3487,,"1192 71st Ave, Oakland, CA 94621, United States",Alameda,CA,P4 | Class B | website has issues | https://northstardetailingmn.com/,,Car Detailers
Prime Shiners Mobile Auto Detailing,,+1-415-990-2900,,"1823 Sixth St #2, Berkeley, CA 94710, United States",Alameda,CA,P4 | Class B | website has issues | http://www.primeshiners.com/,,Car Detailers
Auto Presentation Details,,+1-415-374-4848,,"2821 Shattuck Ave., Berkeley, CA 94705, United States",Berkeley,CA,P4 | Class B | website has issues | http://autopresentationservices.com/,,Car Detailers
Peoples Car Wash - Mobile Detailing Services,,+1-510-978-7603,,"1894 University Ave, Berkeley, CA 94703, United States",Berkeley,CA,P4 | Class B | website has issues | http://www.peoplescarwash.com/,,Car Detailers
Taj's Car Wash,,+1-510-365-5023,,,Berkeley,CA,P4 | Class B | website has issues | http://www.berkeleycarwash.com/#!contact/c1cv0,,Car Detailers
On The Spot mobile Detailing,,+1-510-330-3812,,,Concord,CA,P4 | Class B | website has issues | https://onthespotautos.com/,,Car Detailers
EcoCleanXpressLLC,,+1-925-588-8431,,,Dublin,CA,P4 | Class B | website has issues | http://ecocleanxpress.com/,,Car Detailers
EliteAutoDetailingLlc,,+1-925-895-2781,,,Dublin,CA,P4 | Class B | website has issues | https://elitedetailingcalifornia.com/,,Car Detailers
Rise n Shine Detailing,,+1-510-449-6060,,,Dublin,CA,P4 | Class B | website has issues | http://risenshineautodetail.com/,,Car Detailers
Ace Detail,,+1-510-518-5009,,,Fremont,CA,P4 | Class B | website has issues | http://www.protekshinestudio.com/,,Car Detailers
"Detailershine, Inc.",,+1-510-472-4181,,"43126 Christy St, Fremont, CA 94538, United States",Fremont,CA,P4 | Class B | website has issues | https://detailershine.com/,,Car Detailers
Detailing Boyz,,+1-415-609-3786,,"4546 Peralta Blvd Ste 19, Fremont, CA 94536, United States",Fremont,CA,P4 | Class B | website has issues | http://detailingboyz.com/,,Car Detailers
GC Mobile Auto Detail (Fremont),,+1-408-661-5450,,"45333 Fremont Blvd #4, Fremont, CA 94538, United States",Fremont,CA,P4 | Class B | website has issues | https://gcmobileautodetail.com/,,Car Detailers
MAR Quality Protection,,+1-510-427-1952,,"35325 Fircrest St STE G, Newark, CA 94560, United States",Fremont,CA,P4 | Class B | website has issues | http://www.marqp.com/,,Car Detailers
Marez Detailing,,+1-510-303-0544,,"8331 Mayhews Landing Rd, Newark, CA 94560, United States",Fremont,CA,P4 | Class B | website has issues | https://marezdetailing.com/,,Car Detailers
Premier Protective Films International,,+1-510-623-1308,,"42630 Christy St, Fremont, CA 94538, United States",Fremont,CA,P4 | Class B | website has issues | http://www.premiermobilegroup.com/,,Car Detailers
Royal rides detailing,,+1-510-591-1313,,"34864 Mission Blvd, Union City, CA 94587, United States",Fremont,CA,P4 | Class B | website has issues | https://royalridesdetailing.net/,,Car Detailers
Tin's Garage,,+1-530-863-7975,,"5543 Civic Terrace Ave, Newark, CA 94560, United States",Fremont,CA,P4 | Class B | website has issues | https://tins-garage.com/,,Car Detailers
Titans Auto Detailing,,+1-408-431-8723,,"31685 Hayman St, Hayward, CA 94544, United States",Fremont,CA,P4 | Class B | website has issues | https://titansautodetailing.com/,,Car Detailers
Bay Area Mobile Auto Detailing,,+1-510-314-6399,,"355 Carson Dr, Hayward, CA 94544, United States",Hayward,CA,P4 | Class B | website has issues | http://90mo.wordpress.com/,,Car Detailers
Glorious Mobile Detailing,,+1-408-816-4681,,"23782 Connecticut St, Hayward, CA 94545, United States",Hayward,CA,P4 | Class B | website has issues | https://gloriousmobiledetailing.com/,,Car Detailers
Revibe Auto Detailing Center & Lounge,,+1-347-552-6238,,"1240 Pacific St, Union City, CA 94587, United States",Hayward,CA,P4 | Class B | website has issues | https://www.revibeautodetail.com/,,Car Detailers
Xpel PPF Authorized Installer & Dealer-ShieldTec,,+1-510-258-8888,,"2700 Northern Cross Rd, Hayward, CA 94545, United States",Hayward,CA,P4 | Class B | website has issues | http://www.shieldtecppf.com/,,Car Detailers
Sudzwrks Auto Detail,,+1-925-565-8195,,"2286 Walnut St, Livermore, CA 94551, United States",Livermore,CA,P4 | Class B | website has issues | https://www.sudzwrks.com/home,,Car Detailers
Detailx,,+1-510-461-1293,,"801 Galway Dr, San Lorenzo, CA 94580, United States",San Leandro,CA,P4 | Class B | website has issues | http://thegoalcardetailed.company/,,Car Detailers
