Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Brayan’s Mobile Auto Detailing,,+1-925-726-8867,,,Antioch,CA,P4 | Class B | website has issues | https://brayansmobileautodetailing.com/,,Car Detailers
559 Diamond Details,,+1-559-701-5597,,"3856 Bellaire Ave, Clovis, CA 93619, United States",Clovis,CA,P4 | Class B | website has issues | http://559diamonddetails.co/,,Car Detailers
AJs Car Detail,,+1-559-207-0142,,"3189 Rialto Ave, Clovis, CA 93619, United States",Clovis,CA,P4 | Class B | website has issues | https://www.ajscardetails.com/,,Car Detailers
Bespoke Coatings LLC,,+1-559-421-9005,,,Clovis,CA,P4 | Class B | website has issues | http://www.bespokecoatings.com/,,Car Detailers
Clear Views Detailing,,+1-559-492-6005,,,Clovis,CA,P4 | Class B | website has issues | https://clearviewsdetailing.com/,,Car Detailers
Curbside Detail,,+1-559-328-4564,,,Clovis,CA,P4 | Class B | website has issues | https://www.curbsidedetail.co/,,Car Detailers
Danny Spotless Touch Auto Detailing,,+1-559-550-6721,,"4622 N 3rd St, Fresno, CA 93726, United States",Clovis,CA,P4 | Class B | website has issues | https://dannyspotlesstouch.com/,,Car Detailers
Elite Mobile Detailing,,+1-520-440-4608,,,Clovis,CA,P4 | Class B | website has issues | https://widget.zenbooker.com/book/elitemobiledetailing,,Car Detailers
Exotic Mobile Auto Detailing,,+1-559-818-3320,,"5090 Primitivo Way Apt 240, Fresno, CA 93710, United States",Clovis,CA,P4 | Class B | website has issues | https://exoticmobileautodetailing.com/,,Car Detailers
Guard Auto Detailing,,+1-559-258-2021,,,Clovis,CA,P4 | Class B | website has issues | http://www.guardautodetailing.com/,,Car Detailers
Oxotic Mobile Wash & Detail,,+1-559-345-9274,,"706 W Herndon Ave, Fresno, CA 93650, United States",Clovis,CA,P4 | Class B | website has issues | https://www.oxoticmobilewash.com/,,Car Detailers
Piedra’s Mobile Auto Detailing of Fresno,,+1-559-326-4547,,"1788 N Helm Ave, Fresno, CA 93727, United States",Clovis,CA,P4 | Class B | website has issues | https://piedraautodetails.com/,,Car Detailers
Romero Detailing Force,,+1-559-720-4666,,,Clovis,CA,P4 | Class B | website has issues | https://romerodetailingforce.com/,,Car Detailers
Ryan's Mobile Detailing and Restoration,,+1-559-575-6253,,,Clovis,CA,P4 | Class B | website has issues | https://dot.cards/ryans_detailing?utm_source=nfc&e=ZGV2aWNlLXhJcnJYcVFvdnNELXcyLXc,,Car Detailers
Tailored Whips Mobile Detailing,,+1-559-813-4152,,,Clovis,CA,P4 | Class B | website has issues | https://eiekfo.my.canva.site/tailoredwhipsmd,,Car Detailers
Z’s Prestige Mobile Detailing,,+1-559-770-0318,,,Clovis,CA,P4 | Class B | website has issues | https://booking.detailermade.com/3f6558ba-17e9-4508-89b0-de6e8be264f1,,Car Detailers
Cosmic Clean Auto Detailing LLC,,+1-707-372-6507,,,Fairfield,CA,P4 | Class B | website has issues | https://orbisx.ca/app/booknow/VSnYd,,Car Detailers
10X Mobile Detailing,,+1-559-493-0907,,,Fresno,CA,P4 | Class B | website has issues | https://tenxmobiledetailing.lovable.app/,,Car Detailers
Can't Stop Won't Stop mobile Detailer Fresno Detailer,,+1-773-968-3251,,,Fresno,CA,P4 | Class B | website has issues | https://book.heygoldie.com/Cantstopwontstopmobiledetailing2022,,Car Detailers
Elite Radiance,,+1-559-210-1109,,"682 E Keats Ave, Fresno, CA 93710, United States",Fresno,CA,P4 | Class B | website has issues | http://www.eliteradiance.com/,,Car Detailers
Fresno Mobile Wash,,+1-559-500-3586,,"366 W Lexington Ave, Fresno, CA 93711, United States",Fresno,CA,P4 | Class B | website has issues | http://www.fresnomobilewash.com/,,Car Detailers
Quickdipp559,,+1-559-202-5719,,,Fresno,CA,P4 | Class B | website has issues | http://www.quickdipp559.com/,,Car Detailers
RC Auto Detailing,,+1-559-265-2490,,"417 S Minnewawa Ave, Fresno, CA 93727, United States",Fresno,CA,P4 | Class B | website has issues | https://cadenheadrickey.wixsite.com/autodetailing,,Car Detailers
VC DETAILING,,+1-559-668-8509,,,Fresno,CA,P4 | Class B | website has issues | https://vcdetailing.org/,,Car Detailers
mobiledetailkrew,,+1-559-832-0963,,"2304 N Vista Ave, Fresno, CA 93722, United States",Fresno,CA,P4 | Class B | website has issues | https://mobiledetailkrew559.my.canva.site/mdk22,,Car Detailers
Prestige Auto Care 559,,+1-559-880-6595,,,Hanford,CA,P4 | Class B | website has issues | https://book.sproutcoapp.com/ad5v8d,,Car Detailers
One Detail,,+1-323-427-0400,,,Irvine,CA,P4 | Class B | website has issues | http://one-detail.com/,,Car Detailers
First Pro Auto Detail,,+1-559-718-6815,,,Madera,CA,P4 | Class B | website has issues | http://firstproautodetail.com/,,Car Detailers
Diamond Mobile Detailing,,+1-559-355-7735,,,Mariposa,CA,P4 | Class B | website has issues | https://diamondmobiledetailing0.godaddysites.com/,,Car Detailers
StayPolishedUSA,,+1-831-915-3706,,,Monterey,CA,P4 | Class B | website has issues | http://www.staypolishedusa.com/,,Car Detailers
Azex Mobile Auto Detailing,,+1-760-605-8561,,,Napa,CA,P4 | Class B | website has issues | https://azexautodetailing.com/,,Car Detailers
Water on wheels (WOW) Mobile Detailing,,+1-760-863-9599,,,Rialto,CA,P4 | Class B | website has issues | http://wowdetailing.biz/,,Car Detailers
Blackseries Detailing,,+1-559-653-8777,,,West Sacramento,CA,P4 | Class B | website has issues | http://www.blackseriesdetailing.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18205639905727430935,,Car Detailers
"Singh Brothers Hand car wash & Detail , Tint",,+1-559-213-2748,,,Fresno,CA,V1 | P4 | Class B | website has objective flaws | https://singhbrotherscardetail.com/,,Car Detailers
Specialized Pro Detail | Mobile Detailing | Ceramic Coatings | RV Detailing,,+1-844-757-0524,,,Fresno,CA,V1 | P4 | Class B | website has objective flaws | https://www.specializedprodetail.com/,,Car Detailers
EZ Detail - Professional Car Detailing,,+1-559-480-6747,,,Selma,CA,V1 | P4 | Class B | website has objective flaws | https://www.ezcardetail.com/,,Car Detailers
