Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Ahmad_Detailings,,+1-209-272-6065,,,Ceres,CA,P4 | Class B | website has issues | https://ahmad-detailings-copy-cc70e5e5.base44.app/,,Car Detailers
BBN Detailing - Mobile,,+1-209-737-3596,,,Ceres,CA,P4 | Class B | website has issues | https://bbndetailing-mobile.com/,,Car Detailers
GORDOS MOBILE DETAILING,,+1-209-872-5871,,,Ceres,CA,P4 | Class B | website has issues | https://gordosgarage.com/,,Car Detailers
K1 AutoDetailing,,+1-209-765-7550,,"Mitchell Rd, Ceres, CA 95307, United States",Ceres,CA,P4 | Class B | website has issues | https://k1autodetailing.com/,,Car Detailers
Phenomenal Auto Detailing,,+1-209-416-2600,,"2221 Trina Ln, Ceres, CA 95307, United States",Ceres,CA,P4 | Class B | website has issues | https://phenomenaldetailing209.vercel.app/,,Car Detailers
Skylab Ceramic Details,,+1-209-871-7060,,"1503 Lone Palm Ave, Modesto, CA 95351, United States",Ceres,CA,P4 | Class B | website has issues | https://skylabceramicdetails.com/,,Car Detailers
So Fresh & So Clean Auto Detailing,,+1-209-492-9606,,"830 Kansas Ave # C5, Modesto, CA 95351, United States",Ceres,CA,P4 | Class B | website has issues | https://so-fresh-so-clean-auto-detailing.website.spoton.com/,,Car Detailers
The Optimum Auto Detail,,+1-209-404-0084,,"1121 Doker Dr #1, Modesto, CA 95351, United States",Ceres,CA,P4 | Class B | website has issues | http://www.theoptimumautodetail.com/,,Car Detailers
Veras Auto Detail,,+1-209-272-2089,,"112 N Santa Cruz Ave, Modesto, CA 95354, United States",Ceres,CA,P4 | Class B | website has issues | https://www.verasautodetail.com/,,Car Detailers
ar.auto.detailings,,+1-209-596-2841,,,Ceres,CA,P4 | Class B | website has issues | https://arautodetailings.godaddysites.com/about,,Car Detailers
Harrell's Mobile Detailing,,+1-408-509-2131,,"1005 W Rumble Rd, Modesto, CA 95350, United States",Merced,CA,P4 | Class B | website has issues | https://harrellsmobiledetail.my.canva.site/,,Car Detailers
Refined Mobile Detailing,,+1-559-451-5605,,,Merced,CA,P4 | Class B | website has issues | http://refinedmobiledetailing.co/,,Car Detailers
Speedys Mobile Detailing,,+1-209-202-6353,,"1649 McCormick St, Turlock, CA 95380, United States",Merced,CA,P4 | Class B | website has issues | http://www.speedysmobiledetailing.net/,,Car Detailers
CAL Auto Care,,+1-510-512-4484,,,Modesto,CA,P4 | Class B | website has issues | https://calautocare.shop/,,Car Detailers
Car Pretty,,+1-209-526-8688,,"4207 McHenry Ave, Modesto, CA 95356, United States",Modesto,CA,P4 | Class B | website has issues | http://carpretty.us/,,Car Detailers
Premier Werkz Auto Salon,,+1-408-981-2902,,"4629 Spyres Way F, Modesto, CA 95356, United States",Modesto,CA,P4 | Class B | website has issues | https://www.premierwerkz.com/,,Car Detailers
Valley Detail Co,,+1-209-312-1268,,,Modesto,CA,P4 | Class B | website has issues | https://valleydetailco.site/,,Car Detailers
Exotic Appearance,,+1-209-630-1003,,,Oakdale,CA,P4 | Class B | website has issues | https://www.exoticappearance.com/,,Car Detailers
JTs Oakdale Mobile Detailing,,+1-209-596-1373,,,Oakdale,CA,P4 | Class B | website has issues | http://jtsautomotivedetailing.com/,,Car Detailers
R&D Detailing And Collision,,+1-209-273-0733,,,Oakdale,CA,P4 | Class B | website has issues | https://lidiaquiroz93.wixsite.com/rdcollisiondetail,,Car Detailers
