Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Mike's Craftline Detailing,,+1-510-205-9819,,,Alameda,CA,P4 | Class B | website has issues | https://www.mikescraftlinedetailing.com/,,Car Detailers
Cassius Mobile Car Detailing of North Beach,,+1-510-890-7568,,"1232 Pacific Ave, San Francisco, CA 94109, United States",Berkeley,CA,P4 | Class B | website has issues | https://cassiusmobilecardetailingsf.site/,,Car Detailers
Apex Car Detailing San Francisco,,+1-415-870-7515,,"509 Taraval St, San Francisco, CA 94116, United States",Daly City,CA,P4 | Class B | website has issues | https://darkgreen-seahorse-118170.hostingersite.com/,,Car Detailers
Bright Mobile Auto Detailing,,+1-415-524-3660,,"3090 Vicente St, San Francisco, CA 94116, United States",Daly City,CA,P4 | Class B | website has issues | https://www.brightmobileautodetailing.com/,,Car Detailers
Ceeday Detailing,,+1-415-632-6472,,,Daly City,CA,P4 | Class B | website has issues | http://ceedaydetailing.com/,,Car Detailers
DetailedByPrecision,,+1-415-601-4291,,"318 Paris St, San Francisco, CA 94112, United States",Daly City,CA,P4 | Class B | website has issues | https://detailedbyprecision.com/,,Car Detailers
Elite Car Detailing San Francisco,,+1-415-322-5286,,"2331 39th Ave, San Francisco, CA 94116, United States",Daly City,CA,P4 | Class B | website has issues | https://palegreen-ostrich-304283.hostingersite.com/,,Car Detailers
Pinnacle Car Detailing San Francisco,,+1-415-707-8552,,"918 Castro St, San Francisco, CA 94114, United States",Daly City,CA,P4 | Class B | website has issues | http://pinnaclecardetailingsanfrancisco.com/,,Car Detailers
Precision Car Detailing San Francisco,,+1-415-326-8153,,"735 Mangels Ave, San Francisco, CA 94127, United States",Daly City,CA,P4 | Class B | website has issues | http://precisioncardetailingsanfrancisco.com/,,Car Detailers
Pure Car Detailing San Francisco,,+1-415-965-5742,,"8246 Oceanview Terrace, San Francisco, CA 94132, United States",Daly City,CA,P4 | Class B | website has issues | https://yellowgreen-dog-755835.hostingersite.com/,,Car Detailers
SF Auto Detail,,+1-415-776-1844,,"611 S Van Ness Ave, San Francisco, CA 94110, United States",Daly City,CA,P4 | Class B | website has issues | https://sites.google.com/view/san-francisco-auto-detail/home?fce_id=6767ffe2-71e5-4fb1-ae69-37e2218f1a78%20https://sites.google.com/view/san-francisco-auto-detail/home?fce_id=6767ffe2-71e5-4fb1-ae69-37e2218f1a78,,Car Detailers
Vertex Car Detailing San Francisco,,+1-415-877-3822,,"992 Peralta Ave, San Francisco, CA 94110, United States",Daly City,CA,P4 | Class B | website has issues | https://darksalmon-frog-472852.hostingersite.com/,,Car Detailers
Zenith Car Detailing San Francisco,,+1-415-367-0543,,"1100 Revere Ave, San Francisco, CA 94124, United States",Daly City,CA,P4 | Class B | website has issues | https://whitesmoke-kangaroo-114032.hostingersite.com/,,Car Detailers
Cassius moblie car detailing of pacific heights,,+1-415-358-3821,,"2058 Union St, San Francisco, CA 94123, United States",Richmond,CA,P4 | Class B | website has issues | http://cassiusmobilecardetailingsf.site/,,Car Detailers
