Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Boss Mobile Detailing Pros Roseville,,+1-916-299-3189,,,Citrus Heights,CA,P4 | Class B | website has issues | https://bossdetailingpros.com/,,Car Detailers
Datski Detail,,+1-916-886-3752,,,Citrus Heights,CA,P4 | Class B | website has issues | https://datskidetailing.com/,,Car Detailers
Elite Shine Detailing,,+1-916-807-5231,,,Citrus Heights,CA,P4 | Class B | website has issues | https://tristanhoff07.github.io/elite-shine-details/,,Car Detailers
Fine Edge Detailing,,+1-916-225-1211,,,Citrus Heights,CA,P4 | Class B | website has issues | http://www.fineedgedetailing.com/,,Car Detailers
Intel Mobile Detailing,,+1-916-342-9744,,"Baseline Road, Roseville, CA 95678, United States",Citrus Heights,CA,P4 | Class B | website has issues | https://inteldetailingsacramento.com/,,Car Detailers
JS Auto Mobile Detailing,,+1-916-365-7467,,"2281 Lava Ridge Ct Ste. 200, Roseville, CA 95661, United States",Citrus Heights,CA,P4 | Class B | website has issues | http://916jsautodetailing.com/,,Car Detailers
RRK AUTO MOBILE DETAILING,,+1-530-713-9154,,,Colusa,CA,P4 | Class B | website has issues | http://rrkautomobiledetailing.com/,,Car Detailers
Exlusive Detailing,,+1-707-564-8658,,,Dixon,CA,P4 | Class B | website has issues | https://exlusivedetailing.com/,,Car Detailers
Foothill Shine,,+1-916-500-9102,,,El Dorado Hills,CA,P4 | Class B | website has issues | https://foothillshine.com/,,Car Detailers
One X Mobile Detail,,+1-408-750-6367,,"Elk Grove Blvd &, Bruceville Rd, Elk Grove, CA 95757, United States",Elk Grove,CA,P4 | Class B | website has issues | http://onexmobiledetail.com/,,Car Detailers
It's All In The Details,,+1-530-623-7457,,,Grass Valley,CA,P4 | Class B | website has issues | https://www.itsallinthedetails.net/,,Car Detailers
Kaizen Auto Detailing,,+1-530-863-9791,,,Grass Valley,CA,P4 | Class B | website has issues | https://pocketsuite.io/book/kaizen-auto-detailing,,Car Detailers
Star Wash Express - Mobile Detailing,,+1-530-821-1259,,,Grass Valley,CA,P4 | Class B | website has issues | https://starwashexpress.com/,,Car Detailers
Ballistic Detailing,,+1-916-580-9738,,"1490 Grass Valley Hwy, Auburn, CA 95603, United States",Lincoln,CA,P4 | Class B | website has issues | http://ballisticdetailing.com/,,Car Detailers
C&M car detailing,,+1-916-755-8299,,,Lincoln,CA,P4 | Class B | website has issues | https://c-and-m-detailing.my.canva.site/,,Car Detailers
Premier Auto Detail,,+1-916-659-0616,,,Lincoln,CA,P4 | Class B | website has issues | http://premierautodetailca.weebly.com/,,Car Detailers
Weekend Boys,,+1-916-839-9111,,,Lincoln,CA,P4 | Class B | website has issues | https://dot.cards/brysonmcgraw,,Car Detailers
Thrashers Mobile Detailing & Ceramic Coating,,+1-916-695-8376,,,Rocklin,CA,P4 | Class B | website has issues | https://thrashersautodetailing.godaddysites.com/,,Car Detailers
Pristine Polish Mobile Detailing,,+1-916-214-1164,,,Sacramento,CA,P4 | Class B | website has issues | https://book.sproutcoapp.com/qhgtie,,Car Detailers
AJ's Auto Detailing,,+1-916-756-5317,,,Woodland,CA,P4 | Class B | website has issues | https://www.ajmobiledetailing.co/,,Car Detailers
Detail Me Please,,+1-888-993-3824,,,Auburn,CA,V1 | P4 | Class B | website has objective flaws | http://www.detailmeplease.com/,,Car Detailers
Prime Time Customs,,+1-916-770-0703,,,Auburn,CA,V1 | P4 | Class B | website has objective flaws | http://www.primetimecustoms.com/,,Car Detailers
SanFranDetailing - Car Detailing San Francisco,,+1-415-874-7770,,,Lincoln,CA,V1 | P4 | Class B | website has objective flaws | https://sanfrandetailing.framer.media/,,Car Detailers
"Royal Tint of Rocklin | PPF, Paint Protection Film, Ceramic Coating, Window Tint",,+1-916-840-0030,,,Rocklin,CA,V1 | P4 | Class B | website has objective flaws | http://www.royalwindowtint.com/,,Car Detailers
Elemental,,+1-916-742-3409,,,Roseville,CA,V1 | P4 | Class B | website has objective flaws | https://ceramicprorocklin.com/,,Car Detailers
GEM CARWASH,,+1-916-772-9274,,,Roseville,CA,V1 | P4 | Class B | website has objective flaws | https://fairwaycarwash.com/,,Car Detailers
