Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Coop’s Mobile Detailing,,+1-530-204-7157,,,Davis,CA,P4 | Class B | website has issues | https://coopsmobiledetailing.wuaze.com/,,Car Detailers
Manolitos Auto Detailing (Mobile),,+1-530-750-9687,,,Davis,CA,P4 | Class B | website has issues | http://manolitosautodetailing.com/,,Car Detailers
5 Star Car Wash & Detail Center,,+1-707-448-9274,,"520 Orange Dr, Vacaville, CA 95687, United States",Dixon,CA,P4 | Class B | website has issues | https://www.5starwash.com/,,Car Detailers
ProlineDetails,,+1-707-640-2718,,,Dixon,CA,P4 | Class B | website has issues | https://www.prolinedetails.com/,,Car Detailers
5 Star Car Wash & Detail Center,,+1-707-425-9274,,"900 E Travis Blvd, Fairfield, CA 94533, United States",Fairfield,CA,P4 | Class B | website has issues | https://www.5starwash.com/,,Car Detailers
Alex The Detailer - Mobile Auto Detailing,,+1-707-404-8033,,,Fairfield,CA,P4 | Class B | website has issues | https://sites.google.com/view/alex-the-detailer/home,,Car Detailers
BrotherHood Mobile Detailing,,+1-707-999-7248,,,Fairfield,CA,P4 | Class B | website has issues | http://www.brotherhoodmobiledetailing.com/,,Car Detailers
Fresh Outlook Auto Detailing,,+1-707-285-7771,,,Fairfield,CA,P4 | Class B | website has issues | http://www.freshoutlookautodetailing.com/,,Car Detailers
No Limit Details,,+1-435-619-9967,,,Fairfield,CA,P4 | Class B | website has issues | https://www.nolimitdetails.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4252497641257807147,,Car Detailers
On The Spot Mobile Detail,,+1-510-592-8229,,,Fairfield,CA,P4 | Class B | website has issues | https://www.yocale.com/widget/onthespotmobiledetail,,Car Detailers
Shiny Auto Detail,,+1-707-803-3342,,"1320 N Texas St, Fairfield, CA 94533, United States",Fairfield,CA,P4 | Class B | website has issues | https://fairfielddetailing.com/,,Car Detailers
Step Above Auto Detailing LLC.,,+1-707-470-9943,,"2210 Cordelia Rd, Fairfield, CA 94534, United States",Fairfield,CA,P4 | Class B | website has issues | https://stepaboveautodetailing.com/,,Car Detailers
Superior Tint and Detailing,,+1-707-422-4547,,"1295 Horizon Dr, Fairfield, CA 94534, United States",Fairfield,CA,P4 | Class B | website has issues | http://www.superiortintanddetail.com/,,Car Detailers
Blue sapphire detailing,,+1-707-363-7003,,,Napa,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=blue-sapphire-detailing--LA5QW6,,Car Detailers
Fuego Precision Cleaning Services LLC,,+1-925-597-8533,,,Pittsburg,CA,P4 | Class B | website has issues | https://fuegodetailing.org/,,Car Detailers
Bright High Class Detailing,,+1-760-576-6338,,"167 Woodridge Cir, Vacaville, CA 95687, United States",Vacaville,CA,P4 | Class B | website has issues | https://brighthighclassdetaling.com/,,Car Detailers
Classic Touch Detail Center,,+1-707-372-8510,,"1325 Callen St Suite -E, Vacaville, CA 95688, United States",Vacaville,CA,P4 | Class B | website has issues | https://classictouchdetailcenter.com/,,Car Detailers
Dirty Dan's Auto Detailing,,+1-707-853-7909,,,Benicia,CA,V1 | P4 | Class B | website has objective flaws | https://www.dirtydansdetailing707.com/,,Car Detailers
Esteban's Car Detailing,,+1-707-590-8468,,,Benicia,CA,V1 | P4 | Class B | website has objective flaws | https://eccardetailing.com/,,Car Detailers
Master Paint Guard,,+1-925-922-1714,,,Benicia,CA,V1 | P4 | Class B | website has objective flaws | https://masterpaintguard.com/,,Car Detailers
7 Flags Full Service Car Wash,,+1-707-426-2000,,,Fairfield,CA,V1 | P4 | Class B | website has objective flaws | http://www.7flagscarwash.com/,,Car Detailers
Dre's mobile detailing service,,+1-510-367-0132,,,Fairfield,CA,V1 | P4 | Class B | website has objective flaws | https://www.dresmobiledetailingservice.com/,,Car Detailers
Classic Styles,,+1-707-880-0224,,,Vacaville,CA,V1 | P4 | Class B | website has objective flaws | https://book.housecallpro.com/book/Classic-Styles-Pressure-Washing-Tint-Detailing/cfaa9a1ee5df4773a22bea039ca0899f?v2=true&lead_source=google&merchant_id=5141dbb4-498f-468f-8e2d-4a8dfd2e5bed&rwg_token=AE37R_ig1Kjt832B7BftlnCjhf34WbcXgcMCn-tkWw7rjsSbNo-Gr3BPwIWWs23qSlY-Lkt2u2tooIlxwq3_Zf3GOI2_gDwZug%3D%3D&source=cat,,Car Detailers
"7 Flags Full & Self Service Car Wash & Detail Center - Valle Vista, Vallejo",,+1-707-557-5353,,,Vallejo,CA,V1 | P4 | Class B | website has objective flaws | http://7flagscarwash.com/,,Car Detailers
Tru Tek,,+1-707-654-5601,,,Vallejo,CA,V1 | P4 | Class B | website has objective flaws | https://trutek1.com/,,Car Detailers
