Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Absolute Detailing Bako,,+1-661-516-5054,,,Bakersfield,CA,P4 | Class B | website has issues | https://absolutedetailingbako.com/,,Car Detailers
Boosted Detailing,,+1-661-689-6662,,,Bakersfield,CA,P4 | Class B | website has issues | https://www.boosted-detailing.com/,,Car Detailers
DLG Auto Detail,,+1-661-477-2082,,"6013 Fair Oaks Dr, Bakersfield, CA 93306, United States",Bakersfield,CA,P4 | Class B | website has issues | http://www.dlgautodetail.com/,,Car Detailers
Detailed Detailers,,+1-661-800-8469,,"9800 Cimarron Trails Dr, Bakersfield, CA 93311, United States",Bakersfield,CA,P4 | Class B | website has issues | http://www.ceramicprobakersfield.com/,,Car Detailers
EXODUS AUTO DETAILING LLC,,+1-661-788-9692,,,Bakersfield,CA,P4 | Class B | website has issues | https://exodusautodetailing.com/,,Car Detailers
Exclusive Auto Detailing LLC,,+1-661-717-3637,,,Bakersfield,CA,P4 | Class B | website has issues | http://www.exclusiveautodetailing.org/,,Car Detailers
Hernandez Mobile Car Wash & Detail,,+1-661-912-9134,,,Bakersfield,CA,P4 | Class B | website has issues | https://hernandezmobilecar.wixsite.com/hernandez-mobile,,Car Detailers
J's Detail Center,,+1-661-619-5264,,"3400 Bowman Ct, Bakersfield, CA 93308, United States",Bakersfield,CA,P4 | Class B | website has issues | http://jsmobilewash.com/,,Car Detailers
Mr. Clean Auto Detailing,,+1-805-336-3738,,"1435 S Union Ave, Bakersfield, CA 93307, United States",Bakersfield,CA,P4 | Class B | website has issues | https://www.mrcleanautodetailing661.com/,,Car Detailers
Proto car detailing,,+1-661-451-7543,,"9900 Lightner Way, Bakersfield, CA 93311, United States",Bakersfield,CA,P4 | Class B | website has issues | http://mobiledetailing.site/,,Car Detailers
Royal Detailing,,+1-661-497-8795,,"Shaver Dr, Bakersfield, CA 93313, United States",Bakersfield,CA,P4 | Class B | website has issues | http://royaldetailingbako.com/,,Car Detailers
Smooth Sail Mobile Detail,,+1-661-421-9009,,"4512 Barry St, Bakersfield, CA 93307, United States",Bakersfield,CA,P4 | Class B | website has issues | https://sites.google.com/view/smooth-sail-auto-detail/home,,Car Detailers
Unique Auto Spa,,+1-661-717-9808,,"3740 Sillect Ave #2c, Bakersfield, CA 93308, United States",Bakersfield,CA,P4 | Class B | website has issues | http://uniqueautospaca.com/,,Car Detailers
White Glove Mobile Car Wash & Detail,,+1-661-602-4666,,,Bakersfield,CA,P4 | Class B | website has issues | https://alliancegandp.wixsite.com/white-glove-mobile-c,,Car Detailers
AUX Mobile Car Care,,+1-818-850-8242,,,Pasadena,CA,P4 | Class B | website has issues | http://www.auxmobilecarcare.com/,,Car Detailers
Maldonado Mobile Car Wash & Auto Detailing,,+1-661-364-2608,,,Bakersfield,CA,V1 | P4 | Class B | website has objective flaws | https://maldonadocarwash.com/?utm_source=omg-gbp&utm_medium=webclick,,Car Detailers
Sparkling Image Car Wash,,+1-661-588-4440,,,Bakersfield,CA,V1 | P4 | Class B | website has objective flaws | http://www.sparklingimage.com/,,Car Detailers
Sparkling Image Car Wash,,+1-661-831-3311,,,Bakersfield,CA,V1 | P4 | Class B | website has objective flaws | http://www.sparklingimage.com/,,Car Detailers
Sparkling Image Car Wash,,+1-661-324-8455,,,Bakersfield,CA,V1 | P4 | Class B | website has objective flaws | http://www.sparklingimage.com/,,Car Detailers
Clean Seats Auto Detailing,,+1-952-681-8636,,,Delano,CA,V1 | P4 | Class B | website has objective flaws | http://cleanseatsauto.com/,,Car Detailers
The Best Auto Detailers,,+1-206-931-1379,,,Delano,CA,V1 | P4 | Class B | website has objective flaws | http://thebestautodetailers.com/,,Car Detailers
