Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Coastal Lux Auto Spa,,+1-831-264-3353,,"1390 Hillsdale St, Seaside, CA 93955, United States",Monterey,CA,P4 | Class B | website has issues | https://goldencoastdetails.com/,,Car Detailers
Coastal Shine Auto Detailing,,+1-831-346-0098,,,Monterey,CA,P4 | Class B | website has issues | https://coastalshineautodetailing.com/,,Car Detailers
Detailers by the Sea,,+1-831-620-9125,,,Monterey,CA,P4 | Class B | website has issues | https://www.detailersbythesea.com/,,Car Detailers
Essence pro auto,,+1-831-601-5393,,,Monterey,CA,P4 | Class B | website has issues | https://brand.site/essenceproauto/contact?fbclid=PAQ0xDSwMJwsRleHRuA2FlbQIxMQABp9n4EkmV2ZnL-441TVA3TKfrOpQXjuB5djS37CrHSnbz0yfmhRB2XqTT5oVw_aem_Ri0a7QICWYxrewfng26IeA,,Car Detailers
Jim's Detailing & Auto Stereo,,+1-831-375-5733,,"2230 Del Monte Ave building 5, Monterey, CA 93940, United States",Monterey,CA,P4 | Class B | website has issues | http://jimsdetailing.com/,,Car Detailers
Monterey Bay Auto Spa|Auto Detailing|Mobile Detailing,,+1-831-643-5333,,,Monterey,CA,P4 | Class B | website has issues | http://www.montereybayautospa.com/,,Car Detailers
Pacific Auto Detail,,+1-831-801-8324,,"2969 Monterey - Salinas Hwy Unit C-21, Monterey, CA 93940, United States",Monterey,CA,P4 | Class B | website has issues | http://pacificdetail.com/,,Car Detailers
RestorFx AutoSpa,,+1-831-236-9694,,"224 Reindollar Ave Ste 4114, Marina, CA 93933, United States",Monterey,CA,P4 | Class B | website has issues | http://restorfx.imagedigital10g.com/?fbclid=PAAaaDEefy-1potxDdvIJWlbFTmUoEViCqpVIMgvWm-HVsK3xIOu2DuVqR2XA,,Car Detailers
brothers auto detail,,+1-831-402-2403,,"1187 Del Monte Ave, Monterey, CA 93940, United States",Monterey,CA,P4 | Class B | website has issues | https://brothersautodetails.web.app/,,Car Detailers
shinydetailzz,,+1-831-224-3959,,,Monterey,CA,P4 | Class B | website has issues | https://dot.cards/shinydetailzz,,Car Detailers
2077Chem,,+1-831-400-9600,,"221 Prader St Space B, Salinas, CA 93901, United States",Salinas,CA,P4 | Class B | website has issues | http://2077chem.com/,,Car Detailers
Back to Life Details - Mobile Detailing,,+1-831-210-0444,,,Salinas,CA,P4 | Class B | website has issues | http://www.backtolifedetails.com/,,Car Detailers
Basix Mobile Detailing,,+1-831-444-1447,,,Salinas,CA,P4 | Class B | website has issues | http://basixmobiledetailing.com/,,Car Detailers
Mark's V.I.P Auto Detailing.,,+1-831-597-1787,,"1612 El Dorado Dr, Salinas, CA 93906, United States",Salinas,CA,P4 | Class B | website has issues | https://marksvipautodetailing.com/,,Car Detailers
Optimized Detailing,,+1-831-235-6073,,"1103 Madison Ln Suite H, Salinas, CA 93907, United States",Salinas,CA,P4 | Class B | website has issues | https://optimizeddetailing.com/,,Car Detailers
Monterey Luxe Detailing,,+1-831-275-9100,,"35 Coral St, Pacific Grove, CA 93950, United States",Monterey,CA,P4 | Class B | website has issues | https://montereyluxedetailing.com/,,Car Detailers
Del Rey Car Wash,,+1-831-899-9274,,,Del Rey Oaks,CA,V1 | P4 | Class B | website has objective flaws | http://www.delreycarwash.com/,,Car Detailers
Concours Detailing: 831 AutoWash,,+1-831-204-8177,,,Monterey,CA,V1 | P4 | Class B | website has objective flaws | https://concoursdetailing.carrd.co/,,Car Detailers
El Estero Car Wash,,+1-831-373-1801,,,Monterey,CA,V1 | P4 | Class B | website has objective flaws | http://www.elesterocarwash.com/,,Car Detailers
Pacific Motor Service - Monterey,,+1-831-375-9571,,,Monterey,CA,V1 | P4 | Class B | website has objective flaws | http://www.pacificmotorservice.com/,,Car Detailers
Acme Car Wash,,+1-831-442-8888,,,Salinas,CA,V1 | P4 | Class B | website has objective flaws | http://www.acmecarwashsalinas.com/,,Car Detailers
