Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Auto Shine Mobile Detailing,,+1-415-876-9072,,,Novato,CA,P4 | Class B | website has issues | https://pocketsuite.io/book/auto-shine-mobile-detailing?channel=suitelink,,Car Detailers
Hudson's Mobile Detailing Of Novato,,+1-415-911-3048,,"212 Vintage Way, Novato, CA 94945, United States",Novato,CA,P4 | Class B | website has issues | https://hudsonmobiledetail.com/packages,,Car Detailers
Marin Detailing Company,,+1-415-763-9411,,"55 Galli Dr H, Novato, CA 94949, United States",Novato,CA,P4 | Class B | website has issues | http://marindetailingco.com/,,Car Detailers
Marin Mobile Detailing,,+1-415-761-0270,,,Novato,CA,P4 | Class B | website has issues | https://www.marinmobiledetailing.com/,,Car Detailers
North Bay Auto Care,,+1-415-496-9117,,,Novato,CA,P4 | Class B | website has issues | https://northbayautocare.com/,,Car Detailers
Sam’s Detailing | Auto Detail,,+1-415-622-6966,,,Novato,CA,P4 | Class B | website has issues | https://samsdetailingca.wixsite.com/sams-detailing,,Car Detailers
East Bay Premium Detailing,,+1-510-529-5312,,,Richmond,CA,P4 | Class B | website has issues | http://eastbaypremiumdetailing.com/,,Car Detailers
Alvarez car detailing,,+1-415-286-2551,,"3326 Kerner Blvd, San Rafael, CA 94901, United States",San Rafael,CA,P4 | Class B | website has issues | https://alvarezcardetailing.lovable.app/,,Car Detailers
Corte Madera mobile detailing,,+1-415-944-0536,,,San Rafael,CA,P4 | Class B | website has issues | https://cortemaderadetailing.com/?fbclid=PAVERFWATDR9FwZG9mAmV4dG4DYWVtAjEwAHNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABp1vssFtkgoj4M5EExHEer5mXPgKwZpZGk9m9jLD8U5M_e-LzzmR6Z8PtzMfg_aem_xsIpObSoWRMFCb46Gvsmow#area,,Car Detailers
Hudson's Mobile Detailing,,+1-415-991-3048,,"887 4th St, San Rafael, CA 94901, United States",San Rafael,CA,P4 | Class B | website has issues | https://hudsonmobiledetail.com/sanrafael,,Car Detailers
Hudson's Mobile Detailing Of Mill Valley,,+1-415-301-3649,,"800 Redwood Hwy, Mill Valley, CA 94941, United States",San Rafael,CA,P4 | Class B | website has issues | https://hudsonmobiledetail.com/millvalley,,Car Detailers
P & H Class Details,,+1-415-435-9485,,"Mill Valley, CA 94941, United States",San Rafael,CA,P4 | Class B | website has issues | http://www.ph-classdetails.com/,,Car Detailers
Stellar Details,,+1-415-755-8438,,"70 Larkspur St, San Rafael, CA 94901, United States",San Rafael,CA,P4 | Class B | website has issues | https://stellardetails.net/contact-us,,Car Detailers
Gold star mobile detailing,,+1-707-791-4169,,,Santa Rosa,CA,P4 | Class B | website has issues | http://goldstardetailing.com/,,Car Detailers
Woolf Automotive Detailing,,+1-707-939-5451,,,Novato,CA,V1 | P4 | Class B | website has objective flaws | https://www.maximumdetails.com/,,Car Detailers
"Anthony's Auto Craft, Inc.",,+1-415-456-7591,,,San Rafael,CA,V1 | P4 | Class B | website has objective flaws | https://www.anthonysautocraft.com/,,Car Detailers
Marvin’s Marin Auto Detailing,,+1-415-870-0149,,,San Rafael,CA,V1 | P4 | Class B | website has objective flaws | http://marvinsmarinautodetailing.com/,,Car Detailers
Matt and Jeff's Car Wash & Detail (San Rafael),,+1-415-721-7886,,,San Rafael,CA,V1 | P4 | Class B | website has objective flaws | http://www.mattandjeffs.com/,,Car Detailers
Precision Body Shop & Detail,,+1-415-456-8900,,,San Rafael,CA,V1 | P4 | Class B | website has objective flaws | https://precisionbsd.com/,,Car Detailers
