Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Diamond Auto Detailing,,+1-559-270-3508,,,Porterville,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=diamond-auto-detailing--RPAK3W,,Car Detailers
Mobile Shine Club,,+1-559-258-2158,,,Porterville,CA,P4 | Class B | website has issues | https://themobileshineclub.com/,,Car Detailers
Precision Auto Details,,+1-559-544-7697,,,Porterville,CA,P4 | Class B | website has issues | https://dot.cards/precisionautodetails,,Car Detailers
Curbside Washes,,+1-559-799-5429,,,Tulare,CA,P4 | Class B | website has issues | https://curbsidewashes.onuniverse.com/,,Car Detailers
Excalibur Mobile Detail,,+1-559-802-4392,,,Tulare,CA,P4 | Class B | website has issues | https://www.excaliburmobiledetail.com/,,Car Detailers
Gloss Empire Auto Detail Supply,,+1-559-556-6072,,"1549 Hillman St, Tulare, CA 93274, United States",Tulare,CA,P4 | Class B | website has issues | https://www.glossempire.com/,,Car Detailers
Jays mobile auto detailing,,+1-559-887-2506,,,Tulare,CA,P4 | Class B | website has issues | https://www.jaysmobileautodetailing.com/,,Car Detailers
LMG Detailing,,+1-559-586-8781,,"1367 S Blackstone St, Tulare, CA 93274, United States",Tulare,CA,P4 | Class B | website has issues | https://lmgdetailing.wixsite.com/lmgd/visit,,Car Detailers
OC Luxe Detailing,,+1-559-372-5359,,,Tulare,CA,P4 | Class B | website has issues | https://sites.google.com/view/oc-luxe-detailing-/ag-professional-detailing,,Car Detailers
Prestiq Power & Shine,,+1-661-778-8326,,,Tulare,CA,P4 | Class B | website has issues | http://www.prestiqpowershine.com/,,Car Detailers
The Detail Plug LLC,,+1-559-302-7434,,"1400 N Park St, Visalia, CA 93291, United States",Tulare,CA,P4 | Class B | website has issues | http://thedetailplug.co/,,Car Detailers
Bold Mobile Detailing,,+1-559-750-9262,,"15632 Ave 309, Visalia, CA 93292, United States",Visalia,CA,P4 | Class B | website has issues | http://bolddetailing.net/,,Car Detailers
Exotic Car Cleaners,,+1-559-818-6841,,"Visalia, CA 93292, United States",Visalia,CA,P4 | Class B | website has issues | https://pocketsuite.io/book/exotic-car-cleaners,,Car Detailers
Hydro Mobile Detailing,,+1-559-805-1413,,"3012 W Elowin Ave, Visalia, CA 93291, United States",Visalia,CA,P4 | Class B | website has issues | http://hydromobiledetailing.com/,,Car Detailers
Lujan's Rescue,,+1-559-723-2178,,,Visalia,CA,P4 | Class B | website has issues | https://lujansrescue.wixsite.com/my-site,,Car Detailers
RS Vehicle Detailing,,+1-559-563-1065,,"1634 N Leslie St, Visalia, CA 93291, United States",Visalia,CA,P4 | Class B | website has issues | https://vehicledetailingrs.wixsite.com/rsvehicledetailing,,Car Detailers
LuxeLine Autos,,+1-408-345-3973,,,Campbell,CA,V1 | P4 | Class B | website has objective flaws | http://www.luxelineautos.com/,,Car Detailers
