Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Jeffrey’s Mobile Detailing,,+1-818-419-1469,,"292 Rinconcito, Lompoc, CA 93436, United States",Lompoc,CA,P4 | Class B | website has issues | https://jeffreysmobiledetail.com/,,Car Detailers
805 Ride N Shine Auto Detailing,,+1-805-457-3382,,,Santa Barbara,CA,P4 | Class B | website has issues | https://www.805ridenshine.com/,,Car Detailers
A Better Choice Detailing,,+1-805-697-6756,,,Santa Barbara,CA,P4 | Class B | website has issues | https://abetterchoicee.setmore.com/book,,Car Detailers
Ally Detail,,+1-805-252-3128,,"722 Union Ave, Santa Barbara, CA 93103, United States",Santa Barbara,CA,P4 | Class B | website has issues | https://tyegomez.wixsite.com/allydetail,,Car Detailers
Arturo's Mobile Car Wash and Detail,,+1-805-280-6440,,"1934 Elise Way A, Santa Barbara, CA 93109, United States",Santa Barbara,CA,P4 | Class B | website has issues | http://www.arturosmobiledetail.com/,,Car Detailers
Cesar's Auto Detailing,,+1-805-693-1517,,"3145 CA-246, Santa Ynez, CA 93460, United States",Santa Barbara,CA,P4 | Class B | website has issues | http://www.cesarsautodetailing.com/,,Car Detailers
Cesar's Mobile Auto Detail Santa Barbara,,+1-805-895-7271,,,Santa Barbara,CA,P4 | Class B | website has issues | http://www.cesarsautodetailing.com/,,Car Detailers
Francisco’s Mobile Auto Detailing,,+1-805-729-6367,,,Santa Barbara,CA,P4 | Class B | website has issues | http://franciscosmobiledetailing.com/,,Car Detailers
TLC Expert Auto Detail,,+1-805-689-7195,,"21 S Canada St, Santa Barbara, CA 93103, United States",Santa Barbara,CA,P4 | Class B | website has issues | http://tlcexpertautodetail.com/,,Car Detailers
EZ Car Care,,+1-805-363-9531,,,Santa Maria,CA,P4 | Class B | website has issues | http://www.ezautomotivedetail.com/,,Car Detailers
Quality Refined Customs & Detailing LLC,,+1-805-598-1789,,"2023 S Broadway, Santa Maria, CA 93454, United States",Santa Maria,CA,P4 | Class B | website has issues | http://qualityrefinedcustoms.com/,,Car Detailers
ROCK CHIP ARMOR,,+1-805-878-5867,,"2310 Westgate Rd Ste 16, Santa Maria, CA 93455, United States",Santa Maria,CA,P4 | Class B | website has issues | http://www.rockchiparmor.com/,,Car Detailers
Robinson Royal Mobile Detailing,,+1-805-809-3076,,,Santa Maria,CA,P4 | Class B | website has issues | https://web.detailconnect.app/u=robinson-royal-mobile-detailing-8GAK00,,Car Detailers
Steve's Central Coast Detailing,,+1-805-345-5962,,"2115 S Blosser Rd #106, Santa Maria, CA 93455, United States",Santa Maria,CA,P4 | Class B | website has issues | http://www.stevescentralcoastdetailing.com/,,Car Detailers
shaks mobile detail,,+1-805-354-3400,,"Orcutt, CA 93455, United States",Santa Maria,CA,P4 | Class B | website has issues | https://joey940.wixsite.com/website/recent-work-1,,Car Detailers
CleanWave Car Wash,,+1-805-869-1955,,,Goleta,CA,V1 | P4 | Class B | website has objective flaws | http://cleanwavesb.com/,,Car Detailers
