Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Car detailing / Mobile Detailing & Co.,,+1-626-848-6344,,,Baldwin Park,CA,P4 | Class B | website has issues | https://sites.google.com/view/mobiledetailnco/home,,Car Detailers
Gomes Elite Auto Spa Mobile Car Wash and Detail,,+1-213-925-3311,,,Corona,CA,P4 | Class B | website has issues | https://www.gomeseliteautospa.com/,,Car Detailers
Go Mobile Auto Detailing,,+1-408-595-1823,,,Fremont,CA,P4 | Class B | website has issues | https://www.gomobileautodetailing.com/,,Car Detailers
CHOKO CLEAN INC Detailing & supplies,,+1-559-380-4303,,"416 E 6th St, Hanford, CA 93230, United States",Hanford,CA,P4 | Class B | website has issues | http://www.chokoclean.com/,,Car Detailers
Cruising Clean Mobile Detailing,,+1-559-836-7926,,,Hanford,CA,P4 | Class B | website has issues | https://cruisingcleanmobiledetailing.godaddysites.com/,,Car Detailers
Dugger Detailing,,+1-559-423-0323,,,Hanford,CA,P4 | Class B | website has issues | https://form.jotform.com/250391889691169,,Car Detailers
Fernando Detailing,,+1-559-736-4799,,,Hanford,CA,P4 | Class B | website has issues | https://form.jotform.com/261131017674147?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnJXCNMEaImnKdjU0EXaYLRsnyKZypPcx3qe-DLjXPe41uTqUaUwUFjKohGwo_aem_QW3MDYAihO472Ua61waf-w&utm_id=97760_v0_s00_e0_tv3,,Car Detailers
spotless legend,,+1-559-212-8408,,"416 E 6th St, Hanford, CA 93230, United States",Hanford,CA,P4 | Class B | website has issues | https://www.spotlesslegend.com/,,Car Detailers
Clarence Mobile Car Spa ( Mobile Car Wash ),,+1-323-836-3880,,,Los Angeles,CA,P4 | Class B | website has issues | http://www.clarencemobilecarspa.com/,,Car Detailers
4Wheels Mobile Carwash,,+1-562-488-0019,,,Santa Monica,CA,P4 | Class B | website has issues | https://sites.google.com/view/4-wheels-mobile-carwash/home,,Car Detailers
M.B. AUTO AESTHETIC,,+1-323-833-4130,,,Santa Monica,CA,P4 | Class B | website has issues | https://mbautoaesthetic.com/,,Car Detailers
Dreams Auto Detail Solutions,,+1-559-283-3259,,,Avenal,CA,V1 | P4 | Class B | website has objective flaws | https://www.dreamsautosolutions.com/,,Car Detailers
Elite Auto Spa,,+1-559-201-6849,,,Corcoran,CA,V1 | P4 | Class B | website has objective flaws | https://www.eliteautomotivedetailing.com/,,Car Detailers
MG3 Auto Detailing LLC,,+1-559-406-9179,,,Selma,CA,V1 | P4 | Class B | website has objective flaws | https://mg3autodetailing.com/,,Car Detailers
