Business Name,Contact / First & Last Name,Phone,Email,Address,City,State / Province,Notes,Birthday,Industry
Full Attack Motorsports Detailing,,+1-530-624-7110,,"1377 E 9th St, Chico, CA 95928, United States",Chico,CA,P4 | Class B | website has issues | http://fullattackmotorsports.com/,,Car Detailers
Henri's Auto Detailing,,+1-530-828-8133,,"13303 Cabin Hollow Ct, Chico, CA 95973, United States",Chico,CA,P4 | Class B | website has issues | http://henrisautodetailing.com/,,Car Detailers
Masters Auto Detail,,+1-530-321-2936,,"636 Nord Ave Ste A, Chico, CA 95928, United States",Chico,CA,P4 | Class B | website has issues | https://www.mastersautoexcellence.com/#home,,Car Detailers
Nick's Mobile Detailing,,+1-530-433-4230,,,Chico,CA,P4 | Class B | website has issues | http://www.nicksmobiledetailing.com/,,Car Detailers
Proper Mobile Detailing,,+1-530-227-2770,,,Chico,CA,P4 | Class B | website has issues | https://forms.gle/gf2BP4wDauuQtJRB8,,Car Detailers
Rivera's Exotics Detailing,,+1-530-774-2333,,"Suite #45 Bldg, #3, 629 Entler Ave, Chico, CA 95928, United States",Chico,CA,P4 | Class B | website has issues | http://www.riverasexoticsdetailing.com/,,Car Detailers
autoaesthetics,,+1-530-591-4719,,,Chico,CA,P4 | Class B | website has issues | https://www.autoaestheticschico.com/,,Car Detailers
Ryan's Mobile Detailing,,+1-916-628-6257,,,Colusa,CA,P4 | Class B | website has issues | https://ryansmobiledetailing.com/,,Car Detailers
Mike's Express Detailing,,+1-530-353-8003,,"2610 Olive Hwy Suite 2, Oroville, CA 95966, United States",Oroville,CA,P4 | Class B | website has issues | https://www.orovilledetail.com/,,Car Detailers
California Car Wash,,+1-530-894-3017,,,Chico,CA,V1 | P4 | Class B | website has objective flaws | http://www.californiacarwashchico.com/,,Car Detailers
Mobile Car Wash & Detailing App,,+1-530-685-5757,,,Chico,CA,V1 | P4 | Class B | website has objective flaws | https://www.mobilecarwashapp.com/,,Car Detailers
Scrubbs Inc,,+1-530-893-4885,,,Chico,CA,V1 | P4 | Class B | website has objective flaws | http://www.chicoscrubbs.com/,,Car Detailers
VV Customs LLC,,+1-530-930-4949,,,Chico,CA,V1 | P4 | Class B | website has objective flaws | https://vvcustoms.com/,,Car Detailers
